signature,label,metrics,classifiers,coverage_status,coverage_score,count,distinct_users,sources,mcp_total,mcp_below_floor,mcp_above_floor,genie_total,genie_fail,thumb_down,top_skill,route_hub,priority,examples
m:ftd,"ftd by country, region, day",ftd,country+region+day,partial,51.3,2,2,genie,0,0,0,2,0,0,domain-customer-and-identity,domain-customer-and-identity,2.0,region ftds per day by country | show avg ftda by country for cee markets for ytd
m:deposits+ftd,"deposits, ftd by country, month, region",deposits+ftd,country+month+region,partial,51.3,1,1,mcp,1,0,1,0,0,0,domain-marketing-and-acquisition,domain-customer-and-identity,0.5,cee region ftds first time depositors by country monthly
c:instrument+quarter,"general by instrument, quarter",,instrument+quarter,partial,51.3,1,1,genie,0,0,0,1,0,0,domain-trading,domain-trading,0.5,why do we see a drop in crypto trading quarter by quarter
