object,schema,name,kind,hops_from_seed,mapped_uc,currently_documented,wiki_path,slop_t4_hits
dealing_staging.external_etoro_hedge_manualorderexecutionlog,Dealing_staging,External_Etoro_Hedge_ManualOrderExecutionLog,seed_external,0,dealing.bronze_etoro_hedge_manualorderexecutionlog,false,,0
dealing_staging.external_etoro_hedge_netting,Dealing_staging,External_Etoro_Hedge_Netting,seed_external,0,dealing.bronze_etoro_hedge_netting,false,,0
dealing_staging.external_etoro_history_compoundproperties,Dealing_staging,External_Etoro_History_CompoundProperties,seed_external,0,general.bronze_etoro_history_compoundproperties,false,,0
dealing_staging.external_etoro_history_compoundpropertytorule,Dealing_staging,External_Etoro_History_CompoundPropertyToRule,seed_external,0,general.bronze_etoro_history_compoundpropertytorule,false,,0
dealing_staging.external_etoro_history_conditions,Dealing_staging,External_Etoro_History_Conditions,seed_external,0,general.bronze_etoro_history_conditions,false,,0
dealing_staging.external_etoro_history_conditiontocompoundproperty,Dealing_staging,External_Etoro_History_ConditionToCompoundProperty,seed_external,0,general.bronze_etoro_history_conditiontocompoundproperty,false,,0
dealing_staging.external_etoro_history_customerrisk,Dealing_staging,External_etoro_History_CustomerRisk,seed_external,0,general.bronze_etoro_history_customerrisk,false,,0
dealing_staging.external_etoro_history_instrumentspread,Dealing_staging,External_Etoro_History_InstrumentSpread,seed_external,0,dealing.bronze_etoro_history_instrumentspread,false,,0
dealing_staging.external_etoro_history_interestrateoverride,Dealing_staging,External_Etoro_History_InterestRateOverride,seed_external,0,bi_db.bronze_etoro_history_interestrateoverride,false,,0
dealing_staging.external_etoro_history_listcidmappings,Dealing_staging,External_Etoro_History_ListCIDMappings,seed_external,0,general.bronze_etoro_history_listcidmappings,false,,0
dealing_staging.external_etoro_history_namedlists,Dealing_staging,External_Etoro_History_NamedLists,seed_external,0,general.bronze_etoro_history_namedlists,false,,0
dealing_staging.external_etoro_history_rules,Dealing_staging,External_Etoro_History_Rules,seed_external,0,general.bronze_etoro_history_rules,false,,0
dealing_staging.external_etoro_history_withdrawtofundingaction,Dealing_staging,External_Etoro_History_WithdrawToFundingAction,seed_external,0,general.bronze_etoro_history_withdrawtofundingaction,false,,0
dealing_staging.external_etoro_price_getaccountratesourcemapping,Dealing_staging,External_Etoro_Price_GetAccountRateSourceMapping,seed_external,0,dealing.bronze_etoro_price_getaccountratesourcemapping,false,,0
dealing_staging.external_etoro_price_getinstrumentratesources,Dealing_staging,External_Etoro_Price_GetInstrumentRateSources,seed_external,0,dealing.bronze_etoro_price_getinstrumentratesources,false,,0
dealing_staging.external_etoro_price_instrumentconfiguration,Dealing_staging,External_Etoro_Price_InstrumentConfiguration,seed_external,0,dealing.bronze_etoro_price_instrumentconfiguration,false,,0
dealing_staging.external_etoro_price_pcstoliquidityaccount,Dealing_staging,External_Etoro_Price_PCSToLiquidityAccount,seed_external,0,dealing.bronze_etoro_price_pcstoliquidityaccount,false,,0
dealing_staging.external_etoro_trade_featurethresholdvalues,Dealing_staging,External_Etoro_Trade_FeatureThresholdValues,seed_external,0,trading.bronze_etoro_trade_featurethresholdvalues,false,,0
dealing_staging.external_etoro_trade_instrumentspread,Dealing_staging,External_Etoro_Trade_InstrumentSpread,seed_external,0,trading.bronze_etoro_trade_instrumentspread,false,,0
dealing_staging.external_etoro_trade_liquidityprovidercontracts,Dealing_staging,External_Etoro_Trade_LiquidityProviderContracts,seed_external,0,general.bronze_etoro_trade_liquidityprovidercontracts,false,,0
dealing_staging.external_etoro_trade_providertoinstrument,Dealing_staging,External_Etoro_Trade_ProviderToInstrument,seed_external,0,trading.bronze_etoro_trade_providertoinstrument,false,,0
dealing_staging.external_externaloperations_dictionary_pdtstatus,Dealing_staging,External_ExternalOperations_Dictionary_PdtStatus,seed_external,0,general.bronze_externaloperations_dictionary_pdtstatus,false,,0
dealing_staging.external_externaloperations_trade_pdtoperations,Dealing_staging,External_ExternalOperations_Trade_PdtOperations,seed_external,0,general.bronze_externaloperations_trade_pdtoperations,false,,0
dealing_staging.external_fivetran_dealing_active_hs_mappings,Dealing_staging,External_Fivetran_dealing_active_hs_mappings,seed_external,0,bi_db.bronze_fivetran_dealing_active_hs_mappings,false,,0
dealing_staging.external_fivetran_dealing_instrumentsmapping_dailyspreadsaggregated,Dealing_staging,External_Fivetran_dealing_InstrumentsMapping_DailySpreadsAggregated,seed_external,0,bi_db.bronze_fivetran_dealing_instrumentsmapping_dailyspreadsaggregated,false,,0
dealing_staging.external_marketmaker_dbo_configurations,Dealing_staging,External_MarketMaker_dbo_Configurations,seed_external,0,dealing.bronze_marketmaker_dbo_configurations,false,,0
dealing_staging.external_marketmaker_dbo_exchanges,Dealing_staging,External_MarketMaker_dbo_Exchanges,seed_external,0,dealing.bronze_marketmaker_dbo_exchanges,false,,0
dealing_staging.external_marketmaker_dbo_instruments,Dealing_staging,External_MarketMaker_dbo_Instruments,seed_external,0,dealing.bronze_marketmaker_dbo_instruments,false,,0
dwh_dbo.dim_accountstatus,DWH_dbo,Dim_AccountStatus,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_accountstatus,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_AccountStatus.md,0
dwh_dbo.dim_accounttype,DWH_dbo,Dim_AccountType,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_accounttype,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_AccountType.md,0
dwh_dbo.dim_actiontype,DWH_dbo,Dim_ActionType,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_actiontype,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ActionType.md,1
dwh_dbo.dim_affiliate,DWH_dbo,Dim_Affiliate,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.md,0
dwh_dbo.dim_billingdepot,DWH_dbo,Dim_BillingDepot,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_billingdepot,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_BillingDepot.md,0
dwh_dbo.dim_bonustype,DWH_dbo,Dim_BonusType,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_bonustype,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_BonusType.md,0
dwh_dbo.dim_campaign,DWH_dbo,Dim_Campaign,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_campaign,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Campaign.md,0
dwh_dbo.dim_cardtype,DWH_dbo,Dim_CardType,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_cardtype,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CardType.md,1
dwh_dbo.dim_cashoutfeegroup,DWH_dbo,Dim_CashoutFeeGroup,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_cashoutfeegroup,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CashoutFeeGroup.md,0
dwh_dbo.dim_cashoutmode,DWH_dbo,Dim_CashoutMode,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_cashoutmode,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CashoutMode.md,0
dwh_dbo.dim_cashoutreason,DWH_dbo,Dim_CashoutReason,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_cashoutreason,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CashoutReason.md,1
dwh_dbo.dim_cashoutstatus,DWH_dbo,Dim_CashoutStatus,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_cashoutstatus,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CashoutStatus.md,0
dwh_dbo.dim_channel,DWH_dbo,Dim_Channel,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_channel,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Channel.md,1
dwh_dbo.dim_clientwithdrawreason,DWH_dbo,Dim_ClientWithdrawReason,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_clientwithdrawreason,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ClientWithdrawReason.md,0
dwh_dbo.dim_closepositionreason,DWH_dbo,Dim_ClosePositionReason,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_closepositionreason,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ClosePositionReason.md,0
