wiki_path,synapse_schema,wiki_stem,matched_uc_full_name,match_confidence
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Population_First_Trading_Action.lineage.md,BI_DB_dbo,Function_Population_First_Trading_Action.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Population_First_Trading_Action.md,BI_DB_dbo,Function_Population_First_Trading_Action,main.etoro_kpi_prep.v_population_first_trading_action,fuzzy
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Population_Funded.lineage.md,BI_DB_dbo,Function_Population_Funded.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Population_Funded.md,BI_DB_dbo,Function_Population_Funded,main.etoro_kpi_prep.v_population_funded,fuzzy
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Population_OTD_DateRange.lineage.md,BI_DB_dbo,Function_Population_OTD_DateRange.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Population_OTD_DateRange.md,BI_DB_dbo,Function_Population_OTD_DateRange,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Population_Portfolio_Only.lineage.md,BI_DB_dbo,Function_Population_Portfolio_Only.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Population_Portfolio_Only.md,BI_DB_dbo,Function_Population_Portfolio_Only,main.etoro_kpi_prep.v_population_portfolio_only,fuzzy
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.lineage.md,BI_DB_dbo,Function_Revenue_AdminFee.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,BI_DB_dbo,Function_Revenue_AdminFee,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.review-needed.md,BI_DB_dbo,Function_Revenue_AdminFee.review-needed,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_CashoutFee_ExcludeRedeem.lineage.md,BI_DB_dbo,Function_Revenue_CashoutFee_ExcludeRedeem.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_CashoutFee_ExcludeRedeem.md,BI_DB_dbo,Function_Revenue_CashoutFee_ExcludeRedeem,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_CashoutFee_IncRedeem.lineage.md,BI_DB_dbo,Function_Revenue_CashoutFee_IncRedeem.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_CashoutFee_IncRedeem.md,BI_DB_dbo,Function_Revenue_CashoutFee_IncRedeem,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Commissions.lineage.md,BI_DB_dbo,Function_Revenue_Commissions.lineage,,none
