alter_path,uc_target,statements_total,statements_ok,statements_fail,uc_cols_total,paired_cols,errors
knowledge/ProdSchemas/ComplianceDBs/RiskClassification/Wiki/RiskClassification/Tables/RiskClassification.CySecRiskClassificationParameter.alter.sql,main.bi_db.bronze_riskclassification_riskclassification_cysecriskclassificationparameter,8,8,0,8,8,
knowledge/ProdSchemas/ComplianceDBs/USABroker/Wiki/Apex/Tables/Apex.SketchInvestigationDoNotAppealReason.alter.sql,main.bi_db.bronze_usabroker_apex_sketchinvestigationdonotappealreason,8,8,0,8,8,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/BackOffice/Tables/BackOffice.CompensationReason.alter.sql,main.billing.bronze_etoro_backoffice_compensationreason,8,8,0,8,8,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Billing/Tables/Billing.Depot.alter.sql,main.billing.bronze_etoro_billing_depot,8,8,0,8,8,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Hedge/Tables/Hedge.PortfolioConversionConfigurations.alter.sql,main.dealing.bronze_etoro_hedge_portfolioconversionconfigurations,8,8,0,8,8,
knowledge/ProdSchemas/ExperianceDBs/fiktivo/Wiki/dbo/Tables/dbo.tblaff_Languages.alter.sql,main.bi_db.bronze_fiktivo_dbo_tblaff_languages,8,8,0,8,8,
knowledge/ProdSchemas/PaymentsDBs/MoneyBusDB/Wiki/MoneyBus/Tables/MoneyBus.TransferLimits.alter.sql,main.billing.bronze_moneybusdb_moneybus_transferlimits,8,8,0,8,8,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/History/Tables/History.CurrencyPriceMaxDateWithSplitView.alter.sql,main.bi_db.bronze_etoro_history_currencypricemaxdatewithsplitview,7,7,0,7,7,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Trade/Tables/Trade.InstrumentGroups.alter.sql,main.trading.bronze_etoro_trade_instrumentgroups,5,5,0,7,5,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Billing/Tables/Billing.CurrencySettings.alter.sql,main.bi_db.bronze_etoro_billing_currencysettings,6,6,0,6,6,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Hedge/Tables/Hedge.SupportedInstrumentsAccount.alter.sql,main.dealing.bronze_etoro_hedge_supportedinstrumentsaccount,6,6,0,6,6,
knowledge/ProdSchemas/ComplianceDBs/RiskClassification/Wiki/RiskClassification/Tables/RiskClassification.CustomerOnboardingRiskClassification.alter.sql,main.bi_db.bronze_riskclassification_riskclassification_customeronboardingriskclassification,4,4,0,5,4,
knowledge/ProdSchemas/ComplianceDBs/USABroker/Wiki/Apex/Tables/Apex.OptionsReasoningForm.alter.sql,main.bi_db.bronze_usabroker_apex_optionsreasoningform,5,5,0,5,5,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.State.alter.sql,main.general.bronze_etoro_dictionary_state,4,4,0,4,4,
