source,wiki_md,kind,db,schema,table,uc_target,mapped,uc_exists,uc_table_comment_set,uc_total_cols,uc_commented_cols,uc_tier_drift_cols,uc_col_coverage_pct,bucket
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.HedgeUpdateReason.md,Table,etoro,Dictionary,HedgeUpdateReason,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.HistoryCreditActionsToHide.md,Table,etoro,Dictionary,HistoryCreditActionsToHide,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.IMType_Del.md,Table,etoro,Dictionary,IMType_Del,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.IndexDividenedStatus.md,Table,etoro,Dictionary,IndexDividenedStatus,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.InstrumentOperationMode.md,Table,etoro,Dictionary,InstrumentOperationMode,main.dealing.bronze_etoro_dictionary_instrumentoperationmode,yes,yes,yes,5,2,0,40.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.InstrumentTypeSubCategory.md,Table,etoro,Dictionary,InstrumentTypeSubCategory,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.InterestRate.md,Table,etoro,Dictionary,InterestRate,main.general.bronze_etoro_dictionary_interestrate,yes,yes,yes,13,13,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.InterestRateOld.md,Table,etoro,Dictionary,InterestRateOld,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.InterestRateOverride.md,Table,etoro,Dictionary,InterestRateOverride,main.bi_db.bronze_etoro_dictionary_interestrateoverride,yes,yes,yes,13,13,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.InterestStatus.md,Table,etoro,Dictionary,InterestStatus,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.JobEnvironmentType.md,Table,etoro,Dictionary,JobEnvironmentType,main.general.bronze_etoro_dictionary_jobenvironmenttype,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.Justefied.md,Table,etoro,Dictionary,Justefied,main.general.bronze_etoro_dictionary_justefied,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.KycState.md,Table,etoro,Dictionary,KycState,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.Label.md,Table,etoro,Dictionary,Label,main.general.bronze_etoro_dictionary_label,yes,yes,yes,4,4,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.Language.md,Table,etoro,Dictionary,Language,main.general.bronze_etoro_dictionary_language,yes,yes,yes,4,4,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.Leverage.md,Table,etoro,Dictionary,Leverage,main.general.bronze_etoro_dictionary_leverage,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.LeverageType.md,Table,etoro,Dictionary,LeverageType,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.LeverageTypes.md,Table,etoro,Dictionary,LeverageTypes,main.general.bronze_etoro_dictionary_leveragetypes,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.LiquidityAccountType.md,Table,etoro,Dictionary,LiquidityAccountType,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.ListenerType.md,Table,etoro,Dictionary,ListenerType,main.general.bronze_etoro_dictionary_listenertype,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.LotCount.md,Table,etoro,Dictionary,LotCount,main.general.bronze_etoro_dictionary_lotcount,yes,yes,yes,2,1,0,50.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.LotCountGroup.md,Table,etoro,Dictionary,LotCountGroup,main.general.bronze_etoro_dictionary_lotcountgroup,yes,yes,yes,3,3,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.ManagerPermit.md,Table,etoro,Dictionary,ManagerPermit,main.general.bronze_etoro_dictionary_managerpermit,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.ManagerTitle.md,Table,etoro,Dictionary,ManagerTitle,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.ManualOperationReason.md,Table,etoro,Dictionary,ManualOperationReason,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.MarketingRegion.md,Table,etoro,Dictionary,MarketingRegion,main.general.bronze_etoro_dictionary_marketingregion,yes,no,no,0,0,0,0.0,MISSING_IN_UC
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.MarketRangeValidationType.md,Table,etoro,Dictionary,MarketRangeValidationType,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.MarketStatus.md,Table,etoro,Dictionary,MarketStatus,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.MatchStatus.md,Table,etoro,Dictionary,MatchStatus,main.general.bronze_etoro_dictionary_matchstatus,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.Merchant.md,Table,etoro,Dictionary,Merchant,main.general.bronze_etoro_dictionary_merchant,yes,yes,yes,3,3,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.MerchantAccount.md,Table,etoro,Dictionary,MerchantAccount,main.general.bronze_etoro_dictionary_merchantaccount,yes,yes,yes,4,4,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.Merchant_Old.md,Table,etoro,Dictionary,Merchant_Old,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.MessageGroup.md,Table,etoro,Dictionary,MessageGroup,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.MessageType.md,Table,etoro,Dictionary,MessageType,main.general.bronze_etoro_dictionary_messagetype,yes,yes,yes,3,3,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.MifidCategorization.md,Table,etoro,Dictionary,MifidCategorization,main.general.bronze_etoro_dictionary_mifidcategorization,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.MirrorCalculationType.md,Table,etoro,Dictionary,MirrorCalculationType,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.MirrorDividendRejectionReason.md,Table,etoro,Dictionary,MirrorDividendRejectionReason,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.MirrorMIMOOperation.md,Table,etoro,Dictionary,MirrorMIMOOperation,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.MirrorOperation.md,Table,etoro,Dictionary,MirrorOperation,main.general.bronze_etoro_dictionary_mirroroperation,yes,yes,yes,2,2,0,100.0,OK
