python : [synapse] connecting to prod-synapse-dataplatform-we.sql.azuresynapse.net / sql_dp_prod_we...
At C:\Users\guyman\AppData\Local\Temp\2\ps-script-c32c4adc-4b9c-44ab-b73b-50b8d5a0b39c.ps1:76 char:1
+ python tools/parity_check_ddr_2025.py 2>&1 | Out-File -FilePath ddr_p ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: ([synapse] conne...l_dp_prod_we...:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
[synapse-prod] 487 dateids in 11.6s

[uc] connecting (profile=name-of-profile)...

[uc] 487 dateids in 14.2s

DateID,syn_deposits,uc_deposits,diff_deposits,syn_tp_equity,uc_tp_equity,diff_tp_equity,syn_sdrt,uc_sdrt,diff_sdrt,syn_upnl_change,uc_upnl_change,diff_upnl_change,syn_funded,uc_funded,diff_funded,mismatch_metrics
20250101,14409658.080000,,,15814070268.584500,15814070268.584500,0.000000,,,,377444164.200000,377444164.200000,0.000000,3289669,3289669,0,deposits
20250102,44082217.200000,,,16063739353.964500,16063739353.964500,0.000000,4134.280000,4134.280000,0.000000,241176023.330000,241176023.330000,0.000000,3291361,3291361,0,deposits
20250103,43781250.100000,,,16594209514.884500,16594209514.884500,0.000000,3153.950000,3153.950000,0.000000,512995885.330000,512995885.330000,0.000000,3293165,3293165,0,deposits
20250104,12551856.270000,,,16581409102.874500,16581409102.874500,0.000000,,,,-20049132.200000,-20049132.200000,0.000000,3293964,3293964,0,deposits
20250105,10553256.270000,,,16558707272.694500,16558707272.694500,0.000000,,,,-27750761.970000,-27750761.970000,0.000000,3294852,3294852,0,deposits
20250106,43566317.690000,,,16827930544.164500,16827930544.164500,0.000000,7535.130000,7535.130000,0.000000,246534785.000000,246534785.000000,0.000000,3297868,3297868,0,deposits
20250107,45061901.240000,,,16076907290.174500,16076907290.174500,0.000000,9255.660000,9255.660000,0.000000,-761694354.240000,-761694354.240000,0.000000,3299299,3299299,0,deposits
20250108,43067770.910000,,,15960465699.314500,15960465699.314500,0.000000,4124.960000,4124.960000,0.000000,-120406495.090000,-120406495.090000,0.000000,3300700,3300700,0,deposits
20250109,31009546.620000,,,15678419113.004500,15678419113.004500,0.000000,3162.250000,3162.250000,0.000000,-287679576.460000,-287679576.460000,0.000000,3301643,3301643,0,deposits
20250110,39418333.610000,,,15773655589.924500,15773655589.924500,0.000000,3147.450000,3147.450000,0.000000,92139160.010000,92139160.010000,0.000000,3303311,3303311,0,deposits
20250111,9978034.720000,,,16021471643.494500,16021471643.494500,0.000000,,,,242933495.830000,242933495.830000,0.000000,3304034,3304034,0,deposits
