idx,source_file,uc_table,uc_column,status,error
28,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,eMoneyExternalTransferToIBANLastDate,OK,
29,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,eMoneyDepositToPlatformLastDate,OK,
30,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,eMoneyWithrawalFromPlatformLastDate,OK,
31,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,eMoneyEODBalanceAmount,OK,
32,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,eMoneyEODBalanceDate,OK,
33,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,eMoneyCardTransactionLastDate,OK,
34,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,KYCFlowName,OK,
35,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,KYCLeadScore,OK,
36,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,AirdropCustomerID,OK,
37,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,Credit,OK,
38,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,FirstTimeCopiedDate,OK,
39,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,PrivacyPolicyID,OK,
40,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,LSD,OK,
41,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,LSDDate,OK,
42,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,TX_Tier_3M,OK,
43,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,Amount_Tier_3M,OK,
44,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,TX_Tier_3M_Deposits,OK,
45,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,TX_Tier_3M_CO,OK,
