idx,source_file,uc_table,uc_column,status,error
35,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,PostRootID,OK,
36,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,FullCommission,OK,
37,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,FullCommissionOnClose,OK,
38,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,RedeemID,OK,
39,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,RedeemStatus,OK,
40,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,SessionID,OK,
41,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,IsRedeem,OK,
42,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,RegulationIDOnOpen,OK,
43,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,PlatformID,OK,
44,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,ReopenForPositionID,OK,
45,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,IsReOpen,OK,
46,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,CommissionOnCloseOrig,OK,
47,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,FullCommissionOnCloseOrig,OK,
48,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,OriginalPositionID,OK,
49,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,IsPartialCloseParent,OK,
50,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,IsPartialCloseChild,OK,
51,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,InitialUnits,OK,
52,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,PaymentStatusID,OK,
53,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,IsDiscounted,OK,
54,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,IsSettled,OK,
55,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,CommissionByUnits,OK,
56,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,FullCommissionByUnits,OK,
57,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,IsFTD,OK,
58,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,CountryIDByIP,OK,
59,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,IsAnonymousIP,OK,
60,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,ProxyType,OK,
61,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,IsFeeDividend,OK,
62,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,IsAirDrop,OK,
63,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,DividendID,OK,
64,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,MoveMoneyReasonID,OK,
65,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,SettlementTypeID,OK,
