source_schema,catalog,uc_schema,uc_table,col_count,commented,missing,pct_commented
eMoney_dbo,main,bi_db,gold_sql_dp_prod_we_emoney_dbo_emoney_reports_acquisitionfunnelaggregated,5,5,0,100.0
eMoney_dbo,main,bi_db,gold_sql_dp_prod_we_emoney_dbo_emoney_reports_clubupgrade,13,13,0,100.0
eMoney_dbo,main,bi_db,gold_sql_dp_prod_we_emoney_dbo_emoney_userdata_marketing,13,13,0,100.0
eMoney_dbo,main,bi_db,gold_sql_dp_prod_we_emoney_dbo_emoneyclientbalance,75,75,0,100.0
eMoney_dbo,main,bi_db,gold_sql_dp_prod_we_emoney_dbo_etl_accountsactivities,105,105,0,100.0
eMoney_dbo,main,bi_db,gold_sql_dp_prod_we_emoney_dbo_etl_settlementstransactions,116,116,0,100.0
eMoney_dbo,main,bi_db,gold_sql_dp_prod_we_emoney_dbo_fiataccount,11,11,0,100.0
eMoney_dbo,main,bi_db,gold_sql_dp_prod_we_emoney_dbo_v_emoney_card_instance_summary,17,17,0,100.0
EXW_dbo,main,bi_db,gold_sql_dp_prod_we_exw_dbo_exw_c2f_e2e,103,103,0,100.0
EXW_dbo,main,bi_db,gold_sql_dp_prod_we_exw_dbo_exw_c2p_e2e,90,90,0,100.0
EXW_dbo,main,bi_db,gold_sql_dp_prod_we_exw_dbo_exw_compensationclosingcountries,22,22,0,100.0
EXW_dbo,main,bi_db,gold_sql_dp_prod_we_exw_dbo_exw_dimuser,21,21,0,100.0
EXW_dbo,main,bi_db,gold_sql_dp_prod_we_exw_dbo_exw_ethfeesent_blockchain,19,19,0,100.0
EXW_dbo,main,bi_db,gold_sql_dp_prod_we_exw_dbo_exw_facttransactions,45,45,0,100.0
EXW_dbo,main,bi_db,gold_sql_dp_prod_we_exw_dbo_exw_financereportsbalancesnew,40,40,0,100.0
EXW_dbo,main,bi_db,gold_sql_dp_prod_we_exw_dbo_exw_inventory_snapshot_history,18,18,0,100.0
EXW_dbo,main,bi_db,gold_sql_dp_prod_we_exw_dbo_exw_usersettingswalletallowance,12,12,0,100.0
EXW_dbo,main,bi_db,gold_sql_dp_prod_we_exw_dbo_exw_walletentity,17,17,0,100.0
EXW_dbo,main,bi_db,gold_sql_dp_prod_we_exw_dbo_exw_walletinventory,19,19,0,100.0
EXW_dbo,main,bi_db,gold_sql_dp_prod_we_exw_dbo_getprovideruseridnormalized,7,7,0,100.0
EXW_Wallet,main,bi_db,gold_sql_dp_prod_we_exw_wallet_exw_price,17,17,0,100.0
EXW_Wallet,main,bi_db,gold_sql_dp_prod_we_exw_wallet_exw_pricedaily,10,10,0,100.0
