source_schema,catalog,uc_schema,uc_table,col_count,commented,missing,pct_commented
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_aggregate_level_new,177,176,1,99.4
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_cid_level_new,178,177,1,99.4
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cross_selling_monthly,21,20,1,95.2
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_depositwithdrawfee,48,47,1,97.9
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_money_out_new_management_dashboard,22,21,1,95.5
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_money_out_stpanalysis_ops_dashboard,16,15,1,93.8
Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_clicks_openclose_breakdown,45,44,1,97.8
Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_islamic_daily_spot_price_adjustment,34,33,1,97.1
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_accountstatus,5,5,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_accounttype,6,6,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_actiontype,6,6,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,56,56,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_affiliatecosttype,4,4,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_billingdepot,7,7,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_bonustype,8,8,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_campaign,12,12,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_cardtype,4,4,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_cashoutfeegroup,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_cashoutmode,4,4,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_cashoutreason,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_cashoutstatus,6,6,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_channel,6,6,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_clientwithdrawreason,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_closepositionreason,5,5,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_compensationreason,7,7,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_contacttype,6,6,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_contracttype,4,4,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_country,19,19,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_countrybin,12,12,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_countryip,5,5,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_credittype,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_currency,10,10,0,100.0
