node,total_weight,src_wiki,src_genie,src_kpi,src_kpi_prep,src_tableau
Dictionary.ExtendedUserField,4.00,4,0,0,0,0
Dictionary.Funnel,4.00,4,0,0,0,0
Dictionary.MoveMoneyReason,4.00,4,0,0,0,0
Dictionary.Platform,4.00,2,0,2,0,0
Dictionary.RedeemStatus,4.00,4,0,0,0,0
Dictionary.RegionByIP,4.00,4,0,0,0,0
Dictionary.RiskStatus,4.00,4,0,0,0,0
Dictionary.ScreeningStatus,4.00,4,0,0,0,0
Dim_Country.MarketingRegionManualName,4.00,4,0,0,0,0
Dim_Manager.ManagerID,4.00,4,0,0,0,0
EXW_Currency.Instruments,4.00,4,0,0,0,0
EXW_Wallet.EXW_TransactionsView,4.00,4,0,0,0,0
EXW_dbo.EXW_30DayBalanceExtract,4.00,4,0,0,0,0
EXW_dbo.EXW_ETH_FeeData_Blockchain,4.00,4,0,0,0,0
Wallet.SentTransactionStatuses,4.00,4,0,0,0,0
bi_db.bronze_moneybusdb_dictionary_accounttypes,4.00,0,0,2,2,0
bi_dealing_stg.bi_output_dealing_nixar_adivolumes3,4.00,0,4,0,0,0
bi_dealing_stg.bi_output_dealing_nixar_cryptodata,4.00,0,4,0,0,0
bi_dealing_stg.bi_output_dealing_nixar_cryptoprices,4.00,0,4,0,0,0
bi_dealing_stg.bi_output_dealing_nixar_fireblocksfinal,4.00,0,4,0,0,0
bi_dealing_stg.bi_output_dealing_nixar_historicalprices2,4.00,0,4,0,0,0
bi_output.bi_output_vg_case,4.00,0,4,0,0,0
bi_output.vg_fact_billingdepost_forgenie_new,4.00,0,4,0,0,0
bi_output.vg_fullbincodelist,4.00,0,4,0,0,0
bi_output_stg.bi_output_emoney_static_currency_iso_instrument_mapping,4.00,0,4,0,0,0
bi_output_stg.churn_winback_recent_targets,4.00,0,4,0,0,0
bi_output_stg.churn_winback_summary,4.00,0,4,0,0,0
crm.silver_crm_survey__c,4.00,0,4,0,0,0
crm.silver_crm_survey_question__c,4.00,0,4,0,0,0
crm.silver_crm_surveyquestionresponse__c,4.00,0,4,0,0,0
data.bronze_gdpr_gdpr_processconfiguration,4.00,0,4,0,0,0
dbo.FiatCards,4.00,4,0,0,0,0
dbo.Publications,4.00,4,0,0,0,0
dbo.SubPrograms,4.00,4,0,0,0,0
eMoney_Tribe.CardsSnapshots_BankAccounts-83854,4.00,4,0,0,0,0
eMoney_dbo.eMoney_Calculated_Balance,4.00,4,0,0,0,0
eMoney_dbo.eMoney_Customer_Risk_Assessment,4.00,4,0,0,0,0
eMoney_dbo.eMoney_Dictionary_CurrencyBalanceStatus,4.00,4,0,0,0,0
eMoney_dbo.eMoney_Dictionary_TransactionCategory,4.00,4,0,0,0,0
eMoney_dbo.eMoney_Dictionary_TribeScriptStatus,4.00,4,0,0,0,0
etoro_kpi_prep.v_copyfund_positions,4.00,0,0,0,4,0
etoro_kpi_prep.v_fact_customeraction_enriched,4.00,0,0,0,4,0
etoro_kpi_prep.v_mimo_emoneyplatform,4.00,0,0,0,4,0
etoro_kpi_prep.v_mimo_optionsplatform,4.00,0,0,0,4,0
etoro_kpi_prep.v_population_first_trading_action,4.00,0,0,0,4,0
etoro_kpi_prep.v_revenue_cryptotofiat_c2f,4.00,0,0,0,4,0
etoro_kpi_prep.v_revenue_interestfee,4.00,0,0,0,4,0
etoro_kpi_prep.v_revenue_ticketfee_bypercent,4.00,0,0,0,4,0
etoro_kpi_prep.v_revenue_ticketfee_fixed,4.00,0,0,0,4,0
etoro_kpi_prep_stg.v_ddr_mimo_emoney,4.00,0,0,0,4,0
etoro_kpi_prep_stg.v_ddr_mimo_options,4.00,0,0,0,4,0
etoro_kpi_stg.v_marketing_campaigns_funnel,4.00,0,0,0,4,0
etoro_kpi_stg.vw_raf_config_for_genie,4.00,0,2,0,2,0
general.etoroGeneral_History_GuruCopiers,4.00,4,0,0,0,0
monitoring.app_genie_app_cost30d,4.00,0,4,0,0,0
monitoring.app_genie_mcp_and_warehouse_cost30d,4.00,0,4,0,0,0
monitoring.app_llm_endpoint_cost30d,4.00,0,4,0,0,0
monitoring.dba_output_genie_workspace_names,4.00,0,4,0,0,0
monitoring.dba_total_genie_costs,4.00,0,4,0,0,0
query.history,4.00,0,4,0,0,0
wallet.bronze_marketratesdb_currency_currencies,4.00,0,4,0,0,0
wallet.bronze_marketratesdb_currency_currencyrateproviders,4.00,0,4,0,0,0
BI_DB_dbo.AML_InstrumentMetaData_Daily_Email,3.00,3,0,0,0,0
BI_DB_dbo.BI_DB_AGGSilverpopCampaign_ByDomain,3.00,3,0,0,0,0
BI_DB_dbo.BI_DB_AMLComment_Risk_Score_Report_Ext,3.00,3,0,0,0,0
BI_DB_dbo.BI_DB_AML_Multiple_Accounts_Dep,3.00,3,0,0,0,0
BI_DB_dbo.BI_DB_AML_Multiple_Accounts_DeviceID,3.00,3,0,0,0,0
BI_DB_dbo.BI_DB_ASIC_Monthly_Positions,3.00,3,0,0,0,0
BI_DB_dbo.BI_DB_Adwords_Conversion_Performance_Report,3.00,3,0,0,0,0
BI_DB_dbo.BI_DB_Airdrop_Data,3.00,3,0,0,0,0
BI_DB_dbo.BI_DB_All_Deposit_Hourly,3.00,3,0,0,0,0
BI_DB_dbo.BI_DB_ClusteringDailyPrepData,3.00,3,0,0,0,0
BI_DB_dbo.BI_DB_Compliance_Restriction_Lists_CIDs,3.00,3,0,0,0,0
BI_DB_dbo.BI_DB_Crypto_NOP_CID,3.00,0,3,0,0,0
BI_DB_dbo.BI_DB_DDR_TimeRange_Aggregated_Country_Level,3.00,3,0,0,0,0
BI_DB_dbo.BI_DB_DailyCommisionReport_Yesterday,3.00,3,0,0,0,0
BI_DB_dbo.BI_DB_Deposits_WiresFromGooglesheets,3.00,3,0,0,0,0
BI_DB_dbo.BI_DB_Finance_eToro_vs_Positions,3.00,3,0,0,0,0
BI_DB_dbo.BI_DB_PositionPnL_SWITCH,3.00,3,0,0,0,0
BI_DB_dbo.BI_DB_US_Apex_Stocks_Activity_Apex,3.00,3,0,0,0,0
BI_DB_dbo.BI_DB_US_Stocks,3.00,3,0,0,0,0
BI_DB_dbo.BI_DB_US_Stocks_Transactions_Per_Time_Unit,3.00,3,0,0,0,0
BI_DB_dbo.BI_DB_YearlyGain,3.00,3,0,0,0,0
BI_DB_dbo.External_etoro_BackOffice_Customer,3.00,3,0,0,0,0
BI_DB_dbo.Function_MIMO_First_Deposit_All_Platforms,3.00,3,0,0,0,0
BI_DB_dbo.SP_DDR_Fact_Fact_MIMO_AllPlatforms,3.00,3,0,0,0,0
BI_OUTPUT.Customer_Support_Agent_User,3.00,3,0,0,0,0
CopyFromLake.WalletDB_Dictionary_RequestStatuses,3.00,3,0,0,0,0
Customer.BlockedCustomerOperations,3.00,3,0,0,0,0
DWH_Migration.Dim_CustomerChangeType,3.00,3,0,0,0,0
DWH_dbo.Dim_CashoutFeeGroup,3.00,3,0,0,0,0
DWH_dbo.Dim_CreditType,3.00,3,0,0,0,0
DWH_dbo.Dim_ExtendedUserField,3.00,3,0,0,0,0
DWH_dbo.Dim_Product,3.00,3,0,0,0,0
DWH_dbo.Dim_VerificationStatus,3.00,3,0,0,0,0
DWH_dbo.Ext_Dim_Country,3.00,3,0,0,0,0
DWH_dbo.SP_Fact_CustomerAction,3.00,3,0,0,0,0
DWH_staging.EndOfDay_EOD_SettlementPrices,3.00,3,0,0,0,0
Dealing_dbo.Dealing_CEPWeeklyAudit_NameLists,3.00,3,0,0,0,0
Dealing_dbo.Dealing_CEP_ExecutionMonitoring,3.00,3,0,0,0,0
Dictionary.AccountTypes,3.00,3,0,0,0,0
Dictionary.CalculationType,3.00,3,0,0,0,0
Dictionary.CashoutFeeGroup,3.00,3,0,0,0,0
Dictionary.EvMatchStatus,3.00,3,0,0,0,0
Dictionary.PendingClosureStatus,3.00,3,0,0,0,0
Dictionary.RegionName,3.00,3,0,0,0,0
Dictionary.RiskClassification,3.00,3,0,0,0,0
Dictionary.ThreeDsResponseTypes,3.00,3,0,0,0,0
Dictionary.VerificationStatus,3.00,3,0,0,0,0
Dictionary.WorldCheck,3.00,3,0,0,0,0
Dim_Affiliate.AffiliateID,3.00,3,0,0,0,0
Dim_Customer.CID,3.00,3,0,0,0,0
Dim_Date.DateKey,3.00,3,0,0,0,0
Dim_Instrument.InstrumentDisplayName,3.00,3,0,0,0,0
Dim_PlayerStatus.Name,3.00,3,0,0,0,0
Dim_Position.PositionID,3.00,3,0,0,0,0
EXW_Wallet.EXW_CustomerWalletsView,3.00,3,0,0,0,0
EXW_dbo.EXW_AML_Users_Report,3.00,3,0,0,0,0
EXW_dbo.EXW_Transactions_Monthly,3.00,3,0,0,0,0
EXW_dbo.EXW_UserCalculatedBalance,3.00,3,0,0,0,0
SubPrograms.Id,3.00,3,0,0,0,0
Tribe.CardsSnapshots_Account-513255,3.00,3,0,0,0,0
Wallet.CustomerTermsAndConditions,3.00,3,0,0,0,0
Wallet.TermsAndConditions,3.00,3,0,0,0,0
Wallet.TransactionsView,3.00,3,0,0,0,0
bi_dealing.bi_output_dealing_cidage_data,3.00,0,0,3,0,0
bi_output.bi_output_customer_customer_facing_club_inventory_asset,3.00,0,3,0,0,0
bi_output.bi_output_customer_customer_facing_club_loyalty_offer,3.00,0,3,0,0,0
bi_output.bi_output_customer_customer_facing_club_loyalty_offer_request,3.00,0,3,0,0,0
bi_output.bi_output_customer_customer_support_salesforce_reply,3.00,0,3,0,0,0
bi_output_stg.bi_output_customer_customer_support_salesforce_reply,3.00,0,3,0,0,0
billing.bronze_moneybusdb_moneybus_transactions,3.00,0,3,0,0,0
compute.warehouse_events,3.00,0,3,0,0,0
crm.gold_crm_salesforcetobomanagermapping,3.00,0,3,0,0,0
crm.silver_casehistory,3.00,0,3,0,0,0
crm.silver_crm_casehistory,3.00,0,3,0,0,0
crm.silver_crm_livechattranscriptevent,3.00,0,3,0,0,0
data_rooms.bi_output_marketing_liveacquisitiondashboard_mt,3.00,0,3,0,0,0
data_rooms.dealing_clicks_openclose_breakdown_mt,3.00,0,3,0,0,0
dbo.FiatBankAccount,3.00,3,0,0,0,0
dbo.FiatCardInstances,3.00,3,0,0,0,0
dbo.FiatCurrencyBalances,3.00,3,0,0,0,0
dbo.etoro_Hedge_InstrumentBoundaries,3.00,3,0,0,0,0
dealing.bronze_etoro_hedge_executionlog_v,3.00,0,3,0,0,0
dealing.bronze_pricesfromprovider_marketcurrencyprice,3.00,0,3,0,0,0
dealing.candles_get_spreaded_price_candle60min_splitted,3.00,0,3,0,0,0
eMoney_Dictionary_AccountProgram.AccountProgramID,3.00,3,0,0,0,0
eMoney_Dim_Account.CardID,3.00,3,0,0,0,0
eMoney_Tribe.SettlementsTransactions-333243,3.00,3,0,0,0,0
eMoney_dbo.ETL_Authorize,3.00,3,0,0,0,0
eMoney_dbo.ETL_SettlementsTransactions,3.00,3,0,0,0,0
eMoney_dbo.eMoney_Country_Codes_Mapping_ISO,3.00,3,0,0,0,0
eMoney_dbo.eMoney_Currency_Instrument_Mapping_Static,3.00,3,0,0,0,0
etoro_kpi.ftd_click_v,3.00,0,0,3,0,0
etoro_kpi.ftd_funnel_kyc,3.00,0,0,3,0,0
etoro_kpi.vg_ddr_revenue,3.00,0,0,3,0,0
etoro_kpi_prep.v_dim_dataplatform_uuid,3.00,0,0,0,3,0
etoro_kpi_prep.v_fact_customeraction,3.00,0,0,0,3,0
etoro_kpi_prep.v_mimo_options_platform,3.00,0,0,0,3,0
etoro_kpi_prep.v_options_aum,3.00,0,0,0,3,0
etoro_kpi_prep.v_revenue_cashoutfee_excluderedeem,3.00,0,0,0,3,0
etoro_kpi_prep.v_revenue_cashoutfee_incredeem,3.00,0,0,0,3,0
etoro_kpi_prep.v_revenue_dormantfee,3.00,0,0,0,3,0
etoro_kpi_prep.v_revenue_share_lending,3.00,0,0,0,3,0
etoro_kpi_prep.v_revenue_transfercoinfee,3.00,0,0,0,3,0
experience.bronze_notificationdb_notifications_salesforcecontact,3.00,0,3,0,0,0
general.bronze_etorogeneral_history_gurucopiers_new,3.00,0,3,0,0,0
general.bronze_sodreconciliation_apex_ext981_buypowersummary,3.00,0,0,0,3,0
general.gold_lukka_all_transfers,3.00,0,3,0,0,0
general.gold_lukka_flat_custom_report,3.00,0,3,0,0,0
github.cursor_usage,3.00,0,3,0,0,0
github.github_copilot_metrics_code_completions,3.00,0,3,0,0,0
github.github_copilot_seatsusage,3.00,0,3,0,0,0
github.linearb_rawmeasurements,3.00,0,3,0,0,0
spaceship.bronze_spaceship_metabase_contact,3.00,0,0,2,1,0
spaceship.bronze_spaceship_metabase_user_beta,3.00,0,0,2,1,0
trading.bronze_iban_trade_ordertoexternaloperation,3.00,0,3,0,0,0
trading_stg.silver_etoro_trade_position,3.00,0,3,0,0,0
Apex.ApexData,2.00,2,0,0,0,0
BI_DB_Bing_PBI_Campaign_Dict.id,2.00,2,0,0,0,0
BI_DB_CID_MonthlyPanel_FullData.ClusterDetail,2.00,2,0,0,0,0
BI_DB_DailyDividendsByPosition.DividendID,2.00,2,0,0,0,0
BI_DB_dbo.Apex_UserProgramEnrolment_2024_01_25,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_AML_FCA_Crypto_Threshold,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_AdvancedDeposit_Ext,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_AffID_Dictionary,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_AppFlyer_Reports,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_CID_DailyPanel_FullData_SWITCH,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_CID_VerificationLevel,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_CMR_Phase2_CycleGap,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_Compliance_Restriction_Lists_Countries,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_Compliance_Restriction_Lists_Forbidden_Trading,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_CreditLineData_Optimove,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_CustomerDTDAggregatedData,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_DDR_Daily_Aggregated_Auxiliary_Metrics,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_Equity_Real_Crypto_Stocks_Total_Cash_by_Regulation,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_FB_Conversion,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_InterestDaily,2.00,1,1,0,0,0
BI_DB_dbo.BI_DB_KYCUserRawDataLeveled,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_MonthlyGain,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_PIPs_Report_MID_Settings,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_PI_Dashboard,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_Social_Activity_Type,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_Tax_Compliance_W8,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_User_Segment_Snapshot,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_V_DDR_*,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_V_DDR_AUM,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_W_Wed_Compliance_Vulnerability_ALL,2.00,2,0,0,0,0
BI_DB_dbo.BI_DB_eTorian_NetProfit,2.00,2,0,0,0,0
BI_DB_dbo.Bi_Db_Ddr_Daily_Aggregated,2.00,0,2,0,0,0
BI_DB_dbo.Dealing_CryptoRebate,2.00,2,0,0,0,0
BI_DB_dbo.External_Fivetran_google_sheets_population_1_1099,2.00,2,0,0,0,0
BI_DB_dbo.External_Gold_DE_FiatDwhDB_CustomerEODBalance_ClubChange,2.00,2,0,0,0,0
BI_DB_dbo.External_UserApiDB_KYC_Answers,2.00,2,0,0,0,0
BI_DB_dbo.External_UserApiDB_KYC_Questions,2.00,2,0,0,0,0
BI_DB_dbo.External_etoro_BackOffice_CustomerDocument,2.00,2,0,0,0,0
BI_DB_dbo.External_etoro_Billing_ProtocolMIDSettings,2.00,2,0,0,0,0
BI_DB_dbo.External_etoro_Dictionary_MarketingRegion,2.00,2,0,0,0,0
BI_DB_dbo.External_etoro_Dictionary_Response,2.00,2,0,0,0,0
BI_DB_dbo.Function_Population_First_Time_Funded,2.00,2,0,0,0,0
BI_DB_dbo.SP_DDR_Customer_Daily_Status,2.00,2,0,0,0,0
BI_DB_dbo.SP_EY_Audit_Auditor_Unrealized_Calculations,2.00,2,0,0,0,0
BI_DB_dbo.SP_EY_Audit_BO_Deposits_With_PIPs,2.00,2,0,0,0,0
BI_DB_dbo.SP_H_Deposits,2.00,2,0,0,0,0
BI_DB_dbo.SP_LTV_Multiplier_Model,2.00,2,0,0,0,0
BI_DB_dbo.SP_M_AML_Report,2.00,2,0,0,0,0
BI_DB_dbo.SP_MarketingCloudDaily,2.00,2,0,0,0,0
BI_DB_dbo.SP_W_Tue_Email_for_KYT,2.00,2,0,0,0,0
BackOffice.CustomerDocumentToDocumentType,2.00,2,0,0,0,0
Billing.DepositRollbackTracking,2.00,2,0,0,0,0
Billing.Login,2.00,2,0,0,0,0
Compensations.CreditDate,2.00,2,0,0,0,0
Compliance.UserInteractionDetails,2.00,2,0,0,0,0
CopyFromLake.WalletDB_Dictionary_RequestTypes,2.00,2,0,0,0,0
CopyFromLake.WalletDB_Dictionary_WalletPoolStatuses,2.00,2,0,0,0,0
CopyFromLake.etoro_History_Mirror,2.00,2,0,0,0,0
CryptoTypes.InstrumentId,2.00,2,0,0,0,0
Customer.Customermoney,2.00,0,0,0,2,0
Customer.FirstTimeDeposits,2.00,2,0,0,0,0
Customer.PlayerLevel,2.00,2,0,0,0,0
DWH_dbo.Dim_ContractType,2.00,2,0,0,0,0
DWH_dbo.Dim_ExchangeInfo,2.00,2,0,0,0,0
DWH_dbo.Dim_GetSpreadedPriceCandle60MinSplitted,2.00,2,0,0,0,0
DWH_dbo.Dim_HedgeServer,2.00,2,0,0,0,0
DWH_dbo.Dim_Position_Account_Statement_AmountInUnitsDecimal,2.00,2,0,0,0,0
DWH_dbo.Dim_Position_Account_Statement_NetProfit,2.00,2,0,0,0,0
DWH_dbo.Ext_Dim_Country_Region_Desk,2.00,2,0,0,0,0
DWH_dbo.Ext_FCPWS_Instrument,2.00,2,0,0,0,0
DWH_dbo.Fact_AffiliateCommission,2.00,2,0,0,0,0
DWH_dbo.Fact_BillingCompensation,2.00,2,0,0,0,0
DWH_dbo.Fact_Positions,2.00,2,0,0,0,0
DWH_dbo.SP_Dim_Instrument,2.00,2,0,0,0,0
DWH_dbo.SP_Dim_Position_DL_To_Synapse,2.00,2,0,0,0,0
DWH_dbo.SP_Dim_Position_PositionHedgeServerChangeLog,2.00,2,0,0,0,0
DWH_dbo.SP_Fact_BillingDeposit,2.00,2,0,0,0,0
DWH_dbo.V_Fact_SnapshotCustomer,2.00,2,0,0,0,0
DWH_dbo.V_Fact_SnapshotEquity,2.00,2,0,0,0,0
DWH_dbo.V_M2M_Date_DateRange,2.00,2,0,0,0,0
DWH_watchlists.Fact_WatchlistsItems,2.00,2,0,0,0,0
Dealing_Duco_ActivityRecon.ClientAmount,2.00,2,0,0,0,0
Dealing_Duco_ActivityRecon.ClientUnits,2.00,2,0,0,0,0
Dealing_Duco_ActivityRecon.eToroLocalAmount,2.00,2,0,0,0,0
Dealing_Duco_EODRecon.ClientAmount,2.00,2,0,0,0,0
Dealing_Duco_EODRecon.ClientUnits,2.00,2,0,0,0,0
Dealing_Duco_EODRecon.eToroUSDAmount,2.00,2,0,0,0,0
Dealing_Duco_EODRecon.eToro_Units,2.00,2,0,0,0,0
Dealing_dbo.Dealing_AbuseAPI,2.00,2,0,0,0,0
Dealing_dbo.Dealing_Apex_PnL_EE,2.00,2,0,0,0,0
Dealing_dbo.Dealing_Boundary_Cost_H_Indices,2.00,2,0,0,0,0
Dealing_dbo.Dealing_CFDs_Stocks_Credit_Risk,2.00,2,0,0,0,0
Dealing_dbo.Dealing_DealingDashboard_Clients,2.00,0,2,0,0,0
Dealing_dbo.Dealing_NumberofPositionsOpened_Agg,2.00,2,0,0,0,0
Dealing_dbo.External_Gold_Dealing_Marex_Trader_OrderID,2.00,2,0,0,0,0
Dealing_staging.External_Etoro_CEP_CompoundProperties,2.00,2,0,0,0,0
Dealing_staging.External_Etoro_CEP_Conditions,2.00,2,0,0,0,0
Dealing_staging.External_Etoro_CEP_ListCIDMappings,2.00,2,0,0,0,0
Dealing_staging.LP_APEX_EXT869_3EU,2.00,2,0,0,0,0
Dealing_staging.LP_APEX_EXT981_3EU,2.00,2,0,0,0,0
Dictionary.AccountPrograms,2.00,2,0,0,0,0
Dictionary.AccountStatuses,2.00,2,0,0,0,0
Dictionary.ApexStatus,2.00,2,0,0,0,0
Dictionary.AuthorizationTypes,2.00,2,0,0,0,0
Dictionary.CardStatuses,2.00,2,0,0,0,0
Dictionary.CashoutReason,2.00,2,0,0,0,0
Dictionary.ClientWithdrawReason,2.00,2,0,0,0,0
Dictionary.ClosePositionActionType,2.00,2,0,0,0,0
Dictionary.CostConfigurationId,2.00,2,0,0,0,0
Dictionary.CostSubtype,2.00,2,0,0,0,0
Dictionary.CostType,2.00,2,0,0,0,0
Dictionary.CountryRiskGroup,2.00,2,0,0,0,0
Dictionary.CurrencyBalanceStatuses,2.00,2,0,0,0,0
Dictionary.ExchangeInfo,2.00,2,0,0,0,0
Dictionary.ExecutionOperationType,2.00,2,0,0,0,0
Dictionary.ExtendedUserValueType,2.00,2,0,0,0,0
Dictionary.FeeOperationTypes,2.00,2,0,0,0,0
Dictionary.FundType,2.00,2,0,0,0,0
Dictionary.MirrorType,2.00,2,0,0,0,0
Dictionary.PaymentSchemaType,2.00,2,0,0,0,0
Dictionary.PaymentSpecificationTypes,2.00,2,0,0,0,0
Dictionary.PaymentStatuses,2.00,2,0,0,0,0
Dictionary.Playerlevel,2.00,0,0,0,2,0
Dictionary.Providers,2.00,2,0,0,0,0
Dictionary.RedeemReason,2.00,2,0,0,0,0
Dictionary.RiskManagementStatus,2.00,2,0,0,0,0
Dictionary.TransactionCategories,2.00,2,0,0,0,0
Dictionary.TransactionStatuses,2.00,2,0,0,0,0
Dictionary.TransactionTypes,2.00,2,0,0,0,0
Dictionary.TribeScriptStatus,2.00,2,0,0,0,0
Dim_AccountStatus.AccountStatusName,2.00,2,0,0,0,0
Dim_Country.Abbreviation,2.00,2,0,0,0,0
Dim_Country.Region,2.00,2,0,0,0,0
Dim_Country.RiskGroupID,2.00,2,0,0,0,0
Dim_Instrument.InstrumentID,2.00,2,0,0,0,0
Dim_Instrument.Name,2.00,2,0,0,0,0
Dim_Position.OpenOccurred,2.00,2,0,0,0,0
Dim_Regulation.ID,2.00,2,0,0,0,0
EXW_Dictionary.ReceivedTransactionTypes,2.00,2,0,0,0,0
EXW_Dictionary.TransactionStatus,2.00,2,0,0,0,0
EXW_Dictionary.TransactionTypes,2.00,2,0,0,0,0
EXW_Dictionary.WalletTypes,2.00,2,0,0,0,0
EXW_ECPBank.uti,2.00,2,0,0,0,0
EXW_PaymentReconciliation.UTI,2.00,2,0,0,0,0
EXW_SimplexMapping.long_id,2.00,2,0,0,0,0
EXW_dbo.EXW_C2P_E2E,2.00,0,0,0,2,0
EXW_dbo.EXW_Inventory_Snapshot_History,2.00,2,0,0,0,0
EXW_dbo.EXW_ReimbursementSumTable,2.00,2,0,0,0,0
EXW_dbo.Hourly_CustomerBalances,2.00,2,0,0,0,0
EXW_dbo.SP_EXW_Hourly,2.00,2,0,0,0,0
EXW_dbo.SP_EXW_UserSettingsWalletAllowance,2.00,2,0,0,0,0
External_.closed_to_iban_parquet,2.00,2,0,0,0,0
External_.opened_from_iban_parquet,2.00,2,0,0,0,0
History.BackOfficeCustomer,2.00,2,0,0,0,0
History.BlockedCustomerOperations,2.00,2,0,0,0,0
History.vWithdrawToFundingAction,2.00,2,0,0,0,0
KYC.ReasonsForNoTaxID,2.00,2,0,0,0,0
LP_IG_OH_OrderHistory.Deal,2.00,2,0,0,0,0
LP_JPM_EOD_eToro_Report_ComponentUnderlyings.Market,2.00,2,0,0,0,0
Settings.CustomerData,2.00,2,0,0,0,0
Settings.Resources,2.00,2,0,0,0,0
Staking.StakingTransactions,2.00,2,0,0,0,0
StsAudit.UserOperations,2.00,2,0,0,0,0
Trade.Adminpositionlog,2.00,0,0,0,2,0
Trade.FuturesMetaData,2.00,2,0,0,0,0
Trading.Position,2.00,2,0,0,0,0
Tribe.CardsSnapshots_BankAccounts-83854,2.00,2,0,0,0,0
Tribe.FilesScriptHistoryStatus,2.00,2,0,0,0,0
Wallet.PaymentStatuses,2.00,2,0,0,0,0
bi_dealing.bi_output_dealing_premier_clients_2026_positions_report,2.00,0,2,0,0,0
bi_dealing.bi_output_dealing_premier_customer_2026,2.00,0,2,0,0,0
bi_dealing.bi_output_dealing_premier_customer_2026_info,2.00,0,2,0,0,0
bi_output.bi_ouput_v_dim_instrumenttype,2.00,0,0,2,0,0
bi_output.bi_output_customer_ddr_revenue_metrics,2.00,0,0,1,1,0
bi_output.bi_output_urban_notifications_daily_panel,2.00,0,2,0,0,0
bi_output.bi_output_urban_notifications_daily_panel_agg,2.00,0,2,0,0,0
bi_output.bi_output_vg_copy_mimo,2.00,0,2,0,0,0
bi_output.bi_output_vg_parentcid,2.00,0,2,0,0,0
bi_output.vg_emoney_potentialclients_attributes,2.00,0,2,0,0,0
bi_output.vg_emoney_txs,2.00,0,2,0,0,0
bi_output_stg.customer_radar_2_table_customer_action,2.00,0,2,0,0,0
bi_output_stg.customer_radar_2_table_dim_customer,2.00,0,2,0,0,0
billing.usage,2.00,0,2,0,0,0
compute.clusters,2.00,0,2,0,0,0
compute.node_timeline,2.00,0,2,0,0,0
data_rooms.vw_history_mirror,2.00,0,2,0,0,0
data_rooms.vw_trade_mirror,2.00,0,2,0,0,0
dealing.bronze_dealingstreaming_pnl_dealing_account_pl,2.00,0,2,0,0,0
dealing.bronze_dealingstreaming_pnl_dealing_realized_customer_pl,2.00,0,2,0,0,0
dealing.bronze_dealingstreaming_pnl_dealing_unrealized_customer_pl,2.00,0,2,0,0,0
eMoneyClientBalance.BalanceDateID,2.00,2,0,0,0,0
eMoney_Dim_Account.AccountID,2.00,2,0,0,0,0
eMoney_Dim_Account.CurrencyBalanceID,2.00,2,0,0,0,0
eMoney_dbo.CustomerEODBalance,2.00,2,0,0,0,0
eMoney_dbo.ETL_AccountSnapshot,2.00,2,0,0,0,0
eMoney_dbo.SP_eMoney_ClientBalance,2.00,2,0,0,0,0
eMoney_dbo.eMoneyProcessStatusLog,2.00,2,0,0,0,0
eMoney_dbo.eMoney_Dictionary_AuthorizationType,2.00,2,0,0,0,0
eMoney_dbo.eMoney_Dictionary_PaymentSchemaType,2.00,2,0,0,0,0
eMoney_dbo.eMoney_Dictionary_PaymentSpecificationType,2.00,2,0,0,0,0
eMoney_dbo.eMoney_Dictionary_Provider,2.00,2,0,0,0,0
eMoney_dbo.eMoney_Risk_Portfolio,2.00,2,0,0,0,0
etoro.CustomerFinanceDB,2.00,2,0,0,0,0
etoro_kpi.customer_segments_mail_v,2.00,0,0,2,0,0
etoro_kpi.de_output_ftd_click,2.00,0,0,2,0,0
etoro_kpi_prep.v_globalftdplatform,2.00,0,0,0,2,0
etoro_kpi_prep.v_instrument_conversion_rates_dwh,2.00,0,0,0,2,0
etoro_kpi_prep.v_moneyfarm_aum,2.00,0,0,0,2,0
etoro_kpi_prep.v_moneyfarm_mimo,2.00,0,0,0,2,0
etoro_kpi_prep.v_population_otd_daterange,2.00,0,0,0,2,0
