ProcedureName,TableName,FrequencySP,ProcessName,Priority,max_update,modify_date,freshness_method,tableau_workbooks,total_views_sum,newest_wb_updated,newest_wb_age_days,is_feeder,verdict,decision
Dealing_dbo.SP_Staking,Dealing_dbo.Dealing_Staking_Summary,Daily,SB_Daily,0,5/4/2026 10:32,12/16/2024 11:53,UpdateDate,2,8925,5/4/2026,27,Y,KEEP,
Dealing_dbo.SP_Staking,Dealing_dbo.Dealing_Staking_Position,Daily,SB_Daily,0,5/4/2026 10:32,8/12/2024 10:57,UpdateDate,2,8925,5/4/2026,27,,KEEP,
Dealing_dbo.SP_Staking,Dealing_dbo.Dealing_Staking_Results,Daily,SB_Daily,0,5/6/2026 6:30,11/2/2023 13:04,UpdateDate,2,8925,5/4/2026,27,Y,KEEP,
Dealing_dbo.SP_Staking_DailyPool,Dealing_dbo.Dealing_Staking_DailyPool,Daily,SB_Daily,0,5/31/2026 6:31,11/28/2023 7:27,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Staking_DailyPool_US,Dealing_dbo.Dealing_Staking_DailyPool_US,Daily,SB_Daily,0,5/31/2026 6:31,8/10/2025 8:09,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Staking_Emails,Dealing_dbo.Dealing_Staking_Compensation,Daily,SB_Daily,0,5/6/2026 6:30,10/2/2023 10:56,UpdateDate,2,8925,5/4/2026,27,,KEEP,
Dealing_dbo.SP_Staking_Emails_US,Dealing_dbo.Dealing_Staking_Compensation_US,Daily,SB_Daily,0,5/6/2026 6:30,8/5/2025 9:37,UpdateDate,1,1012,5/5/2026,26,,KEEP,
Dealing_dbo.SP_Staking_Emails_US,Dealing_dbo.Dealing_Staking_Emails_US,Daily,SB_Daily,0,5/6/2026 6:30,11/10/2025 11:17,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Staking_US,Dealing_dbo.Dealing_Staking_Results_US,Daily,SB_Daily,0,5/6/2026 6:30,3/8/2026 15:51,UpdateDate,1,1012,5/5/2026,26,Y,KEEP,
Dealing_dbo.SP_Staking_US,Dealing_dbo.Dealing_Staking_Summary_US,Daily,SB_Daily,0,5/4/2026 11:04,8/3/2025 10:57,UpdateDate,1,1012,5/5/2026,26,Y,KEEP,
Dealing_dbo.SP_Staking_US,Dealing_dbo.Dealing_Staking_Position_US,Daily,SB_Daily,0,5/4/2026 11:04,5/10/2026 15:01,UpdateDate,1,1012,5/5/2026,26,,KEEP,
Dealing_dbo.SP_Staking_US,Dealing_dbo.Dealing_Staking_Club_US,Daily,SB_Daily,0,5/4/2026 11:04,8/3/2025 10:57,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_StocksOverrideRateLog,Dealing_dbo.StocksOverrideRateLog,Daily,SB_Daily,0,5/31/2026 6:31,8/10/2023 9:36,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_SuspiciousActivityTrading_24H,Dealing_dbo.Dealing_SuspiciousActivityTrading_24H,Daily,SB_Daily,0,5/31/2026 6:22,3/26/2024 11:37,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_US_Stocks_SmartPortfolio,Dealing_dbo.Dealing_US_Stocks_SmartPortfolio,Daily,SB_Daily,0,5/31/2026 6:22,2/20/2024 11:46,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Vision_Recon,Dealing_dbo.Dealing_VisionRecon_EODHoldings,Daily,SB_Daily,0,1/17/3922 0:00,11/14/2023 8:02,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Vision_Recon,Dealing_dbo.Dealing_VisionRecon_Trades,Daily,SB_Daily,0,5/30/2026 6:46,11/14/2023 8:02,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_W_CEPWeeklyAudit,Dealing_dbo.Dealing_CEPWeeklyAudit_CP,Weekly Sunday,SB_Daily,0,5/31/2026 6:47,11/26/2023 15:15,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_W_CEPWeeklyAudit,Dealing_dbo.Dealing_CEPWeeklyAudit_CPToRule,Weekly Sunday,SB_Daily,0,5/31/2026 6:48,11/26/2023 15:15,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_W_CEPWeeklyAudit,Dealing_dbo.Dealing_CEPWeeklyAudit_Rules,Weekly Sunday,SB_Daily,0,5/31/2026 6:47,11/26/2023 15:15,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_W_CEPWeeklyAudit,Dealing_dbo.Dealing_CEPWeeklyAudit_NameLists,Weekly Sunday,SB_Daily,0,5/31/2026 6:48,11/26/2023 15:15,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_W_CEPWeeklyAudit,Dealing_dbo.Dealing_CEPWeeklyAudit_Conditions,Weekly Sunday,SB_Daily,0,5/31/2026 6:47,11/26/2023 15:15,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_W_CEPWeeklyAudit,Dealing_dbo.Dealing_CEPWeeklyAudit_ConditionToCP,Weekly Sunday,SB_Daily,0,5/31/2026 6:47,11/26/2023 15:15,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_W_CEPWeeklyAudit,Dealing_dbo.Dealing_CEPWeeklyAudit_ListCIDMapping,Weekly Sunday,SB_Daily,0,5/31/2026 6:48,11/26/2023 15:15,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_W_Sat_WeeklyClientData,Dealing_dbo.Dealing_ClientsDataChange_6Months,Weekly Saturday,SB_Daily,0,5/30/2026 6:56,4/3/2024 12:31,UpdateDate,1,1003,2/24/2025,461,,KEEP,
Dealing_dbo.SP_W_Sat_WeeklyClientData,Dealing_dbo.Dealing_ClientsDataChange_3Months,Weekly Saturday,SB_Daily,0,5/30/2026 6:56,4/3/2024 12:31,UpdateDate,1,1003,2/24/2025,461,,KEEP,
Dealing_dbo.SP_W_Sat_WeeklyClientData,Dealing_dbo.Dealing_ClientDataFinal,Weekly Saturday,SB_Daily,0,5/30/2026 6:56,4/3/2024 12:31,UpdateDate,1,1003,2/24/2025,461,,KEEP,
Dealing_dbo.SP_W_Sat_WeeklyClientData,Dealing_dbo.Dealing_ClientDataTop50,Weekly Saturday,SB_Daily,0,5/30/2026 6:55,4/3/2024 12:31,UpdateDate,1,1003,2/24/2025,461,,KEEP,
Dealing_dbo.SP_W_Sat_WeeklyClientData,Dealing_dbo.Dealing_ClientDataRecurring,Weekly Saturday,SB_Daily,0,5/30/2026 6:56,4/3/2024 12:31,UpdateDate,1,1003,2/24/2025,461,,KEEP,
Dealing_dbo.SP_IntraHourIndexReport,Dealing_dbo.Dealing_IndiciesIntraHour_Clients,Daily,SB_Daily,1,5/31/2026 5:36,5/1/2024 12:07,UpdateDate,1,595,5/5/2024,756,,KEEP,
Dealing_dbo.SP_IntraHourIndexReport,Dealing_dbo.Dealing_IndiciesIntraHour_Etoro,Daily,SB_Daily,1,5/31/2026 5:36,5/1/2024 12:07,UpdateDate,1,595,5/5/2024,756,,KEEP,
BI_DB_dbo.SP_CMR_Automation_Phase2_FinraGap,BI_DB_dbo.BI_DB_CMR_Phase2_FinraGap,Daily,SB_Daily,15,5/31/2026 4:36,5/20/2023 17:41,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,keep
BI_DB_dbo.SP_CMR_Phase2_ClientBalance,BI_DB_dbo.BI_DB_CMR_Phase2_ClientBalance,Daily,SB_Daily,15,5/31/2026 4:38,3/21/2023 16:20,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,keep
BI_DB_dbo.SP_CMR_Phase2_CycleGap,BI_DB_dbo.BI_DB_CMR_Phase2_CycleGap,Daily,SB_Daily,15,5/29/2026 4:32,5/20/2023 17:50,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,keep
BI_DB_dbo.SP_CMR_Phase2_EU_Outliers,BI_DB_dbo.BI_DB_CMR_Phase2_EU_Outliers,Daily,SB_Daily,15,5/28/2026 4:32,5/20/2023 17:44,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,keep
BI_DB_dbo.SP_CMR_Phase2_Finra_NonCash_Comps,BI_DB_dbo.BI_DB_CMR_Phase2_Finra_NonCash_Comps,Daily,SB_Daily,15,5/22/2026 4:41,11/17/2024 8:38,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,keep
BI_DB_dbo.SP_CMR_Phase2_LiabilityDecomp,BI_DB_dbo.BI_DB_CMR_Phase2_LiabilityDecomp,Daily,SB_Daily,15,5/31/2026 4:37,5/20/2023 17:39,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,keep
BI_DB_dbo.SP_CMR_Phase2_USA_CustomerBalance_ApexAdjusted,BI_DB_dbo.BI_DB_CMR_Phase2_USA_CustomerBalance_ApexAdjusted,Daily,SB_Daily,15,5/31/2026 4:36,5/20/2023 17:35,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,keep
BI_DB_dbo.SP_AccountClosure,BI_DB_dbo.BI_DB_AccountClosure,Daily,SB_Daily,20,5/31/2026 7:09,6/28/2023 14:59,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_Affiliate_Fraud_Loss,BI_DB_dbo.BI_DB_Affiliate_Fraud_Loss,Daily,SB_Daily,20,5/15/2026 4:55,11/17/2024 9:42,UpdateDate,2,3075,8/19/2025,285,,KEEP,
BI_DB_dbo.SP_AffiliateFTDsAndURLS,BI_DB_dbo.BI_DB_AffiliateFTDsAndURLS,Daily,SB_Daily,20,5/31/2026 5:01,3/2/2025 7:14,UpdateDate,1,790,5/31/2026,0,,KEEP,
BI_DB_dbo.SP_Affiliates_VerificationSLA,BI_DB_dbo.BI_DB_Affiliates_VerificationSLA,Daily,SB_Daily,20,5/31/2026 4:13,11/17/2024 8:35,UpdateDate,2,831,2/12/2024,839,,KEEP,
BI_DB_dbo.SP_AM_Contacted,BI_DB_dbo.BI_DB_AM_Contacted,Daily,SB_Daily,20,5/31/2026,3/22/2022 9:08,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_AML_Documents_Dashboard,BI_DB_dbo.BI_DB_AML_Documents_Dashboard,Daily,SB_Daily,20,5/31/2026 4:16,6/1/2023 10:06,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_AML_PlayerStatus_Changes,BI_DB_dbo.BI_DB_AML_PlayerStatus_Changes,Daily,SB_Daily,20,5/31/2026 4:03,5/14/2023 13:04,UpdateDate,10,3215,5/31/2026,0,Y,KEEP,
BI_DB_dbo.SP_AML_SAR_Report,BI_DB_dbo.BI_DB_AML_SAR_Report_FCA,Daily,SB_Daily,20,5/31/2026 5:35,7/25/2023 17:50,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_AML_SubEntity_Categorization,BI_DB_dbo.BI_DB_AML_SubEntity_Categorization,Daily,SB_Daily,20,5/31/2026 4:08,1/1/2025 14:17,UpdateDate,2,1726,9/15/2025,258,Y,KEEP,
BI_DB_dbo.SP_ASIC_CreditLine_At_transfer,BI_DB_dbo.BI_DB_ASIC_CreditLine_At_transfer,Daily,SB_Daily,20,5/31/2026 4:02,5/9/2023 11:16,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_ASIC_Monthly_Positions,BI_DB_dbo.BI_DB_ASIC_Monthly_Positions,Daily,SB_Daily,20,5/31/2026 4:07,4/29/2021 15:45,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_AvgHoldingTime,BI_DB_dbo.BI_DB_AvgHoldingTime,Daily,SB_Daily,20,5/3/2026 4:06,3/15/2023 6:58,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_BI_DB_Crypto_Airdrop,BI_DB_dbo.BI_DB_Crypto_Airdrop,Daily,SB_Daily,20,5/31/2026 5:07,11/17/2024 8:38,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_BI_DB_Scored_Appropriateness_Negative_Market,BI_DB_dbo.BI_DB_Scored_Appropriateness_Negative_Market,Daily,SB_Daily,20,5/31/2026 4:41,7/30/2023 15:04,UpdateDate,8,6804,5/31/2026,0,Y,KEEP,
BI_DB_dbo.SP_Bing_PBI,BI_DB_dbo.BI_DB_Bing_PBI_Group_Dict,Daily,SB_Daily,20,5/31/2026 5:28,5/9/2023 12:50,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_Bing_PBI,BI_DB_dbo.BI_DB_Bing_PBI_Campaign_Dict,Daily,SB_Daily,20,5/31/2026 5:28,5/9/2023 12:50,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_Blocked_Customers,BI_DB_dbo.BI_DB_Blocked_Customers,Daily,SB_Daily,20,5/31/2026 5:02,6/13/2023 12:23,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_ChargebackReport,BI_DB_dbo.BI_DB_ChargebackReport,Daily,SB_Daily,20,5/30/2026,11/17/2024 8:36,UpdateDate,3,7072,5/31/2026,0,,KEEP,
BI_DB_dbo.SP_CID_Compliance_CID_And_Country_Risk_Lists,BI_DB_dbo.BI_DB_Compliance_Restriction_Lists_Forbidden_Trading,Daily,SB_Daily,20,5/31/2026 4:11,11/23/2023 19:02,UpdateDate,0,0,,,Y,B_FEEDER_KEEP,
BI_DB_dbo.SP_CID_Compliance_CID_And_Country_Risk_Lists,BI_DB_dbo.BI_DB_Compliance_Restriction_Lists_CIDs,Daily,SB_Daily,20,5/31/2026 4:11,11/17/2024 8:36,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_CID_Compliance_CID_And_Country_Risk_Lists,BI_DB_dbo.BI_DB_Compliance_Restriction_Lists_Countries,Daily,SB_Daily,20,5/31/2026 4:11,4/29/2021 15:51,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_CID_Daily_AcquisitionFunnel_VBT,BI_DB_dbo.BI_DB_CID_Daily_AcquisitionFunnel_VBT,Daily,SB_Daily,20,5/31/2026 5:04,4/29/2021 15:50,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_CID_DailyCopyRevenue,BI_DB_dbo.BI_DB_DailyCopyRevenue,Daily,SB_Daily,20,5/31/2026 4:08,6/29/2023 11:04,UpdateDate,7,5788,5/31/2026,0,,KEEP,
BI_DB_dbo.SP_CIDFunnelFlow,BI_DB_dbo.BI_DB_CIDFunnelFlow,Daily,SB_Daily,20,5/31/2026 4:16,4/29/2021 15:46,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_Client_Balance_Breakdown,BI_DB_dbo.Client_Balance_Breakdown_Instrument_Level,Daily,SB_Daily,20,5/31/2026 4:41,12/3/2025 11:00,UpdateDate,9,4727,5/26/2026,5,Y,KEEP,
BI_DB_dbo.SP_ClubChangeLogProduct,BI_DB_dbo.BI_DB_ClubChangeLogProduct,Daily,SB_Daily,20,5/31/2026 4:08,6/6/2023 9:53,UpdateDate,9,1503,1/5/2026,146,Y,KEEP,
BI_DB_dbo.SP_ClusteringDailyPrepData,BI_DB_dbo.BI_DB_ClusteringDailyPrepData,Daily,SB_Daily,20,5/31/2026 6:09,4/29/2021 15:51,UpdateDate,0,0,,,Y,B_FEEDER_KEEP,
BI_DB_dbo.SP_CorporatesSummaryReport,BI_DB_dbo.BI_DB_Corporates_SummaryReport,Daily,SB_Daily,20,5/31/2026 4:05,11/17/2024 8:36,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_CryptoDashboard,BI_DB_dbo.BI_DB_Crypto_Dashboard,Daily,SB_Daily,20,5/31/2026 4:09,6/27/2023 14:03,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_D_LTV_BI_Actual_Snapshot,BI_DB_dbo.BI_DB_LTV_BI_Actual_Daily_Snapshot,Daily,SB_Daily,20,5/31/2026 7:37,10/30/2024 12:31,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_Daily_TradeData,BI_DB_dbo.BI_DB_Daily_TradeData,Daily,SB_Daily,20,5/31/2026 4:07,4/29/2021 15:54,UpdateDate,4,2918,5/31/2026,0,Y,KEEP,
BI_DB_dbo.SP_DailyCommisionReport,BI_DB_dbo.BI_DB_DailyCommisionReport_ThisMonth,Daily,SB_Daily,20,5/31/2026 4:10,10/29/2025 10:18,UpdateDate,9,2179,5/31/2026,0,,KEEP,
BI_DB_dbo.SP_DailyCommisionReport,BI_DB_dbo.BI_DB_DailyCommisionReport_Last2weeks,Daily,SB_Daily,20,5/31/2026 4:10,10/29/2025 10:18,UpdateDate,4,1643,12/24/2025,158,,KEEP,
BI_DB_dbo.SP_DailyCommisionReport,BI_DB_dbo.BI_DB_DailyCommisionReport,Daily,SB_Daily,20,5/31/2026 4:10,10/29/2025 10:18,UpdateDate,17,6627,5/31/2026,0,Y,KEEP,
BI_DB_dbo.SP_DailyCommisionReport,BI_DB_dbo.BI_DB_RollOverFee_ByInstrument,Daily,SB_Daily,20,5/31/2026 4:13,10/29/2025 10:18,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_DailyCommisionReport,BI_DB_dbo.BI_DB_DailyCommisionReport_Yesterday,Daily,SB_Daily,20,5/31/2026 4:10,10/29/2025 10:18,UpdateDate,9,2179,5/31/2026,0,,KEEP,
BI_DB_dbo.SP_DailyCommisionReport,BI_DB_dbo.BI_DB_DailyCommisionReport_Instrument_Agg,Daily,SB_Daily,20,5/31/2026 4:10,10/29/2025 10:18,UpdateDate,13,3048,5/31/2026,0,,KEEP,
BI_DB_dbo.SP_DailyCommisionReport,BI_DB_dbo.BI_DB_DailyCommisionReport_MonthlyData,Daily,SB_Daily,20,5/31/2026 4:16,10/29/2025 10:18,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_DailyCommisionReport,BI_DB_dbo.BI_DB_DailyCommisionReport_LastYear,Daily,SB_Daily,20,5/31/2026 4:11,10/29/2025 10:18,UpdateDate,4,1643,12/24/2025,158,,KEEP,
BI_DB_dbo.SP_DailyCommisionReport,BI_DB_dbo.BI_DB_DailyCommisionReport_ThisYear,Daily,SB_Daily,20,5/31/2026 4:10,10/29/2025 10:18,UpdateDate,9,2179,5/31/2026,0,,KEEP,
BI_DB_dbo.SP_DepositUsersFirstTouchPoints,BI_DB_dbo.BI_DB_DepositUsersFirstTouchPoints,Daily,SB_Daily,20,5/31/2026 5:23,1/23/2024 13:07,UpdateDate,4,8543,5/31/2026,0,Y,KEEP,
BI_DB_dbo.SP_Equity_Real_Crypto_Stocks_Total_Cash_by_Regulation,BI_DB_dbo.BI_DB_Equity_Real_Crypto_Stocks_Total_Cash_by_Regulation,Daily,SB_Daily,20,5/31/2026 4:02,1/16/2024 13:28,UpdateDate,1,84,2/20/2024,831,,KEEP,
BI_DB_dbo.SP_eTorian_PnL_NetProfit,BI_DB_dbo.BI_DB_eTorian_NetProfit,Daily,SB_Daily,20,5/31/2026 4:02,2/26/2023 6:59,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_FCA_Liabilities,BI_DB_dbo.BI_DB_FCA_Liabilities,Daily,SB_Daily,20,5/31/2026 4:02,4/29/2021 15:54,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_Finance_Net_MIMO,BI_DB_dbo.BI_DB_Finance_Net_MIMO,Daily,SB_Daily,20,5/31/2026 4:06,4/29/2021 15:54,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_Finance_Panel_Reports_New,BI_DB_dbo.BI_DB_Finance_Panel_Reports_New,Daily,SB_Daily,20,5/30/2026 4:03,12/16/2024 9:55,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_Flare_Eligibility,BI_DB_dbo.BI_DB_Flare_Eligibility,Daily,SB_Daily,20,5/31/2026,11/17/2024 8:36,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_HighCOsAndRedeemsWithSF,BI_DB_dbo.BI_DB_HighCOsAndRedeemsWithSF,Daily,SB_Daily,20,5/31/2026 4:18,11/17/2024 8:36,UpdateDate,1,1136,2/9/2024,842,,KEEP,
BI_DB_dbo.SP_HighRedeemsApprovalForManagement,BI_DB_dbo.BI_DB_D_HighRedeemsApprovalForManagement,Daily,SB_Daily,20,5/31/2026 4:27,11/17/2024 8:36,UpdateDate,1,480,2/12/2024,839,,KEEP,
BI_DB_dbo.SP_IFRS_15_Balance,BI_DB_dbo.BI_DB_IFRS15_Daily_Balance,Daily,SB_Daily,20,5/31/2026 5:16,12/16/2025 13:48,UpdateDate,6,1796,4/6/2026,55,,KEEP,
BI_DB_dbo.SP_IFRS_15_Balance,BI_DB_dbo.BI_DB_IFRS_15_Daily_Positions,Daily,SB_Daily,20,5/31/2026 5:16,12/16/2025 13:47,UpdateDate,1,21,6/11/2025,354,,KEEP,
BI_DB_dbo.SP_Inactivity_Fees,BI_DB_dbo.BI_DB_InactivityFees,Daily,SB_Daily,20,5/31/2026 5:05,6/13/2023 13:10,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_Index_Divident_TaxReport,BI_DB_dbo.BI_DB_Index_Dividend_TaxReport,Daily,SB_Daily,20,5/31/2026 4:03,2/9/2022 8:25,UpdateDate,1,2035,3/30/2026,62,,KEEP,
BI_DB_dbo.SP_Index_Divident_TaxReport_CID_Level,BI_DB_dbo.BI_DB_Index_Dividend_TaxReport_CID_Level,Daily,SB_Daily,20,5/31/2026 4:04,5/2/2023 6:40,UpdateDate,5,2835,3/30/2026,62,,KEEP,
BI_DB_dbo.SP_InstrumentsAlerts,BI_DB_dbo.BI_DB_InstrumentsAlerts,Daily,SB_Daily,20,5/31/2026 5:21,4/13/2023 12:01,UpdateDate,1,802,4/13/2026,48,,KEEP,
BI_DB_dbo.SP_InvestorKPI,BI_DB_dbo.BI_DB_InvestorsKPI,Daily,SB_Daily,20,5/31/2026 6:41,2/9/2022 8:25,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_InvestorReportDetails,BI_DB_dbo.BI_DB_InvestorsDetail,Daily,SB_Daily,20,5/31/2026 4:18,3/13/2024 13:57,UpdateDate,9,36114,5/31/2026,0,,KEEP,
BI_DB_dbo.SP_InvestorReportTop10,BI_DB_dbo.BI_DB_Investors_Top10,Daily,SB_Daily,20,5/31/2026 6:48,4/29/2021 15:55,UpdateDate,8,10842,5/31/2026,0,,KEEP,
BI_DB_dbo.SP_KYC_eToroMoney_UpgradedClubMembers,BI_DB_dbo.BI_DB_KYC_eToroMoney_UpgradedClubMembers,Daily,SB_Daily,20,5/31/2026 6:17,7/27/2023 14:13,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_LimitedAccountsWithReasons,BI_DB_dbo.BI_DB_LimitedAccountsWithReasons,Daily,SB_Daily,20,5/31/2026 5:03,11/17/2024 8:37,UpdateDate,1,1499,5/31/2026,0,,KEEP,
BI_DB_dbo.SP_LiveAcquisitionDashboard_Daily,BI_DB_dbo.BI_DB_LiveAcquisitionDashboard_Daily,Daily,SB_Daily,20,5/31/2026 4:03,4/29/2021 15:56,UpdateDate,0,0,,,Y,B_FEEDER_KEEP,
BI_DB_dbo.SP_M_Active_Aff_Monthly_Region_GroupAff,BI_DB_dbo.BI_DB_ActiveAffActualMonthly_Region_GroupAffName,Monthly,SB_Daily,20,5/1/2026 5:06,4/29/2021 15:45,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_M_Active_Affiliate_Monthly,BI_DB_dbo.BI_DB_ActiveAffiliatesPlanned_Actual,Monthly,SB_Daily,20,5/1/2026 5:07,2/9/2022 8:15,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_M_AML_Report,BI_DB_dbo.BI_DB_M_AML_Report_AGG,Monthly,SB_Daily,20,5/1/2026 4:20,1/6/2025 14:48,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_M_AML_Report,BI_DB_dbo.BI_DB_M_AML_Report,Monthly,SB_Daily,20,5/1/2026 4:20,1/6/2025 14:48,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_M_Finance_Audit_Auxillary_Datapoints,BI_DB_dbo.BI_DB_Finance_Audit_Auxillary_Datapoints,Monthly,SB_Daily,20,5/1/2026 4:59,10/20/2025 16:15,UpdateDate,2,920,12/22/2025,160,,KEEP,
BI_DB_dbo.SP_M_Subsidieries_Realized_Commissions_Adjustments,BI_DB_dbo.BI_DB_Subsidieries_Realized_Commissions_Adjustments,Monthly,SB_Daily,20,5/1/2026,9/19/2023 7:23,UpdateDate,1,237,2/7/2024,844,,KEEP,
BI_DB_dbo.SP_M_UK_CommissionReport_byLeverage,BI_DB_dbo.BI_DB_UK_CommissionReport_byLeverage,Monthly,SB_Daily,20,5/1/2026 4:17,2/9/2022 8:30,UpdateDate,1,271,11/11/2025,201,,KEEP,
BI_DB_dbo.SP_MifidAccountType_Count,BI_DB_dbo.BI_DB_MifidAccountType_Count,Daily,SB_Daily,20,5/31/2026 4:02,2/9/2022 17:08,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_NOP_Distribution_Crypto,BI_DB_dbo.BI_DB_NOP_Distribution_Crypto,Daily,SB_Daily,20,5/31/2026 4:08,5/24/2026 15:04,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_OperationsMonthlyAffiliateKPIsFullData,BI_DB_dbo.BI_DB_Operations_Monthly_KPIs_Affiliates,Daily,SB_Daily,20,5/31/2026 4:13,11/17/2024 8:37,UpdateDate,3,222,5/31/2026,0,,KEEP,
BI_DB_dbo.SP_PositionHoldingTime,BI_DB_dbo.BI_DB_PositionHoldingTime,Daily,SB_Daily,20,5/31/2026 4:11,7/2/2023 19:47,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_Publications,BI_DB_dbo.BI_DB_Publications,Daily,SB_Daily,20,5/31/2026 4:11,4/29/2021 16:00,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_Regulation_Change_Abuse,BI_DB_dbo.BI_DB_Regulation_Change_Abuse_Categories,Daily,SB_Daily,20,5/31/2026 5:33,9/19/2023 7:23,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
BI_DB_dbo.SP_Regulation_Change_Abuse,BI_DB_dbo.BI_DB_Regulation_Change_Abuse_CIDs,Daily,SB_Daily,20,5/31/2026 5:34,9/11/2023 13:17,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
