ProcedureName,TableName,FrequencySP,ProcessName,Priority,max_update,modify_date,freshness_method,tableau_workbooks,total_views_sum,newest_wb_updated,newest_wb_age_days,is_feeder,verdict,decision
Dealing_dbo.SP_CEP_ExecutionMonitoring,Dealing_dbo.Dealing_CEP_ExecutionMonitoring,Daily,SB_Daily,0,5/31/2026 6:22,8/13/2025 11:24,UpdateDate,3,1167,4/5/2026,56,,KEEP,
Dealing_dbo.SP_CEPDailyAudit,Dealing_dbo.Dealing_CEPDailyAudit_Rules,Daily,SB_Daily,0,5/29/2026 6:54,12/13/2023 14:24,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_CEPDailyAudit,Dealing_dbo.Dealing_CEPDailyAudit_NameLists,Daily,SB_Daily,0,4/18/2026 6:59,12/13/2023 14:24,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_CEPDailyAudit,Dealing_dbo.Dealing_CEPDailyAudit_CP,Daily,SB_Daily,0,5/29/2026 6:55,12/13/2023 14:25,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_CEPDailyAudit,Dealing_dbo.Dealing_CEPDailyAudit_CPToRule,Daily,SB_Daily,0,5/30/2026 6:54,12/13/2023 14:25,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_CEPDailyAudit,Dealing_dbo.Dealing_CEPDailyAudit_ConditionToCP,Daily,SB_Daily,0,5/29/2026 6:55,12/13/2023 14:25,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_CEPDailyAudit,Dealing_dbo.Dealing_CEPDailyAudit_ListCIDMapping,Daily,SB_Daily,0,4/18/2026 7:00,12/13/2023 14:25,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_CEPDailyAudit,Dealing_dbo.Dealing_CEPDailyAudit_Conditions,Daily,SB_Daily,0,5/29/2026 6:55,12/13/2023 14:25,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_CEPDailyAudit_Emails,Dealing_dbo.V_Dealing_CEPDailyAudit_Rules_Last180Days,Daily,SB_Daily,0,5/29/2026 6:54,7/2/2025 11:18,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_CEPDailyAudit_Emails,Dealing_dbo.V_Dealing_CEPDailyAudit_Conditions_Last180Days,Daily,SB_Daily,0,5/29/2026 6:55,7/2/2025 11:22,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_CEPDailyAudit_Emails,Dealing_dbo.V_Dealing_CEPDailyAudit_CP_Last180Days,Daily,SB_Daily,0,5/29/2026 6:55,7/2/2025 11:21,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Clicks_OpenClose_Breakdown,Dealing_dbo.Dealing_Clicks_OpenClose_Breakdown,Daily,SB_Daily,0,5/31/2026 6:31,5/24/2026 14:58,UpdateDate,1,164,4/1/2025,425,,KEEP,
Dealing_dbo.SP_ClientCountry,Dealing_dbo.Dealing_ClientCountry,Daily,SB_Daily,0,5/31/2026 6:22,9/4/2023 9:05,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_ClientCountry,Dealing_dbo.Dealing_ClientCountry_Reg,Daily,SB_Daily,0,5/31/2026 6:22,9/4/2023 9:05,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_CloseOnly_Recon,Dealing_dbo.Dealing_CloseOnly_Recon,Daily,SB_Daily,0,5/30/2026 6:37,7/30/2024 13:14,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_CommissionsAndFails_PerCID,Dealing_dbo.Dealing_FailReasons,Daily,SB_Daily,0,5/31/2026 6:31,12/19/2023 14:57,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_CommissionsAndFails_PerCID,Dealing_dbo.Dealing_FailReasons_PIs,Daily,SB_Daily,0,5/31/2026 6:31,12/19/2023 14:57,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_CommissionsAndFails_PerCID,Dealing_dbo.Dealing_CIDs_CommissionsAndFails_PIs,Daily,SB_Daily,0,5/31/2026 6:31,12/19/2023 14:57,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_CommissionsAndFails_PerCID,Dealing_dbo.Dealing_CIDs_CommissionsAndFails,Daily,SB_Daily,0,5/31/2026 6:31,1/16/2024 17:59,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_CommissionsAndFails_PerCID,Dealing_dbo.Dealing_FailReasons_Top20_PIs,Daily,SB_Daily,0,5/31/2026 6:31,12/19/2023 14:58,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_CommissionsAndFails_PerCID,Dealing_dbo.Dealing_FailReasons_Top20,Daily,SB_Daily,0,5/31/2026 6:31,12/19/2023 14:57,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
