ProcedureName,TableName,FrequencySP,ProcessName,Priority,blacklist_reason,source_phase,source_verdict,max_update,modify_date,days_stale
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.eToroLogs_Real_Hedge_RequestLimitExecutionLog,CopyFromLake.eToroLogs_Real_Hedge_RequestLimitExecutionLog,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.WalletBalancesReportDB_Wallet_FinanceReportsBalances,CopyFromLake.WalletBalancesReportDB_Wallet_FinanceReportsBalances,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
DE_dbo.SP_CopyLakeToSynapse-DE_dbo.FiatCurrencyBalancesStatuses,DE_dbo.FiatCurrencyBalancesStatuses,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
DE_dbo.SP_CopyLakeToSynapse-general.KycAnalyzer_ClientRiskProfile,general.KycAnalyzer_ClientRiskProfile,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
DE_dbo.SP_CopyLakeToSynapse-general.SolarisBankIdentDb_SolarisBankIdent,general.SolarisBankIdentDb_SolarisBankIdent,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
DE_dbo.SP_CopyLakeToSynapse-general.VideoIdentDb_VideoIdent,general.VideoIdentDb_VideoIdent,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
DE_dbo.SP_DWH_CIDsDailyRisk,DE_dbo.DWH_CIDsRisk,Daily,SB_Daily,90,A4_DAILY_365D,A0,A4_DAILY_365D,,,
DE_dbo.SP_SourcesFromDataLakeToSynapse,general.VideoIdentDb_VideoIdent,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
DE_dbo.SP_UsageTracking_SF,DE_dbo.BI_DB_UsageTracking_SF,Daily,SB_Daily,70,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_dbo.SP_Apex_PnL,Dealing_dbo.Dealing_Apex_PnL_EE_Daily,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_dbo.SP_Best_Execution,Dealing_dbo.Dealing_Best_Execution_Compensation_HBC,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_dbo.SP_DailySpreadsAggregated,Dealing_dbo.Dealing_DailySpreadsAggregated,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_dbo.SP_DailySpreadsAggregatedFX,Dealing_dbo.Dealing_DailySpreadsAggregatedFX,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_dbo.SP_Execution_Slippage,Dealing_dbo.Dealing_Execution_Slippage_RequestTime,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_dbo.SP_Failures,Dealing_dbo.Dealing_Failures_Rate,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_dbo.SP_Latency_Report,Dealing_dbo.Dealing_Daily_Latency_Compensation,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_dbo.SP_Manual_Exec,Dealing_dbo.Dealing_Manual_Exec,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_dbo.SP_NewHedgeDash_Email_CSV_0230AM,,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_dbo.SP_NewHedgeDash_Email_CSV_1130PM,,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_dbo.SP_OccurredAtProvider_Latency,Dealing_dbo.Dealing_OccurredAtProvider_Latency_PCSID,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_dbo.SP_Positions_OpenClose_Breakdown,Dealing_dbo.Dealing_Positions_OpenClose_Breakdown,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_dbo.SP_Regime_Flags,Dealing_dbo.Dealing_Regime_Flags,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_dbo.SP_SelfCopyingPI,Dealing_dbo.Dealing_SelfCopyingPI,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_dbo.SP_Slippage_Report,Dealing_dbo.Dealing_Daily_Slippage_Totals,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_dbo.SP_USTradeReports,Dealing_dbo.Dealing_US_OriginalEntryTradeTicket,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Copy_Etoro_Hedge_HBCExecutionLog,Dealing_staging.Etoro_Hedge_HBCExecutionLog,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Copy_Etoro_Hedge_HBCOrderLog,Dealing_staging.Etoro_Hedge_HBCOrderLog,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Copy_eToroLogs_Real_Hedge_EMSOrders,Dealing_staging.External_eToroLogs_Real_Hedge_EMSOrders,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Copy_eToroLogs_Real_Hedge_RequestExecutionLog,Dealing_staging.External_eToroLogs_Hedge_RequestExecutionLog,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Copy_eToroLogs_Real_Hedge_RequestLimitExecutionLog,Dealing_staging.External_eToroLogs_Real_Hedge_RequestLimitExecutionLog,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Copy_ExternalSources_LP_APEX_EXT869_3EU,Dealing_staging.LP_APEX_EXT869_3EU,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Copy_ExternalSources_LP_APEX_EXT872_3EU_217314,Dealing_staging.LP_APEX_EXT872_3EU_217314,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Copy_ExternalSources_LP_APEX_EXT981_3EU,Dealing_staging.LP_APEX_EXT981_3EU,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Copy_ExternalSources_LP_APEX_EXT982_3EU,Dealing_staging.LP_APEX_EXT982_3EU,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Copy_PositionFailReal_History_PositionFail_DWH,Dealing_staging.PositionFailReal_History_PositionFail_DWH,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Copy_PriceLog_History_CurrencyPrice,Dealing_staging.PriceLog_History_CurrencyPrice,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Copy_PricesFromProvider_MarketCurrencyPrice,Dealing_staging.PricesFromProvider_MarketCurrencyPrice,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Create_External_DB_Logs_History_OrderForClose,Dealing_staging.External_DB_Logs_History_OrderForClose,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Create_External_DB_Logs_History_OrderForOpen,Dealing_staging.External_DB_Logs_History_OrderForOpen,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Create_External_Etoro_History_CEPListCIDMappings,Dealing_staging.External_Etoro_History_CEPListCIDMappings,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Create_External_etoro_History_Mirror,Dealing_staging.External_etoro_History_Mirror,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Create_External_Etoro_History_OrdersEntryTbl,Dealing_staging.External_Etoro_History_OrdersEntryTbl,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Create_External_Etoro_History_OrdersExitTbl,Dealing_staging.External_Etoro_History_OrdersExitTbl,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Create_External_Etoro_Trade_OrdersEntryTbl,Dealing_staging.External_Etoro_Trade_OrdersEntryTbl,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Create_External_Etoro_Trade_OrdersExitTbl,Dealing_staging.External_Etoro_Trade_OrdersExitTbl,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Create_External_etoroGeneral_History_GuruCopiers,Dealing_staging.External_etoroGeneral_History_GuruCopiers,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Create_External_eToroLogs_Real_Hedge_ExecutionStrategyOrderLog,Dealing_staging.External_eToroLogs_Real_Hedge_ExecutionStrategyOrderLog,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Create_External_eToroLogs_Real_Hedge_OrderLog,Dealing_staging.External_eToroLogs_Real_Hedge_OrderLog,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Create_External_Sodreconciliation_apex_EXT869_CashActivity,Dealing_staging.External_Sodreconciliation_apex_EXT869_CashActivity,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
Dealing_staging.SP_Create_Rankings_StockInfo_DailyInstrumentInfo,Dealing_staging.External_Rankings_StockInfo_DailyInstrumentInfo,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
DWH_watchlists.Fact_Watchlists,DWH_watchlists.Fact_Watchlists,Daily,COPY DATA,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
DWH_watchlists.Fact_WatchlistsItems,DWH_watchlists.Fact_WatchlistsItems,Daily,COPY DATA,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
eMoney_dbo.SP_eMoney_Yearly_Volume_Target_2023,eMoney_dbo.eMoney_Yearly_Volume_Target_2023,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
EXW_dbo.SP_EXW_EthFee_Blockchain,EXW_dbo.EXW_EthFeeSent_Blockchain,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DataBricks-Compliance_MAS_Daily_Client_Metrics,main.bi_output.bi_output_customer_compliance_mas_daily_client_metrics,Daily,Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DataBricks-Compliance_MAS_Population,main.bi_output_stg.bi_output_customer_compliance_mas_population,Daily,Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DataBricks-operations_ops_mimo_data,analysis/BI_OUTPUT/Operations/ops/mimo_data,Daily,Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DataBricks-SP_Customer_Customer_Support_AML_Handling_Days_Main,bi_output_customer_customer_support_aml_handling_days,Daily,Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DataBricks-SP_Customer_Customer_Support_Case,analysis/BI_OUTPUT/Customer/Customer_Support/Case,Daily,Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DataBricks-SP_Customer_Customer_Support_Cases_Update_Main,analysis/BI_OUTPUT/Customer/Customer_Support/Case,Daily,Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DataBricks-SP_Customer_Customer_Support_CSAT_Main,analysis/BI_OUTPUT/Customer/Customer_Support/CSAT,Daily,Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DataBricks-SP_Customer_Customer_Support_Live_Chat_Transcript_Main,bi_output_customer_customer_support_live_chat_transcript,Daily,Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DataBricks-SP_Customer_Customer_Support_Salesforce_Reply_Main,bi_output_customer_customer_support_salesforce_reply,Daily,Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DataBricks-SP_External_ISA,bi_output_customer_external_table_isa,Daily,Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DataBricks-SP_Marketing_Acquisition_Anomalies_Daily_Main,bi_output_marketing_acquisition,Daily,Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_CashRiskMatrix,BI_DB_dbo.BI_DB_CashRiskMatrix,Daily,SB_Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_CID_NPS_Panel,BI_DB_dbo.BI_DB_CID_NPS_Panel,Daily,SB_Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_Deposit_Reversals_PIPs,BI_DB_dbo.BI_DB_Deposit_Reversals_PIPs,Daily,SB_Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_DepositWithdrawFee_2025,BI_DB_dbo.BI_DB_DepositWithdrawFee_2025_Reversals,Daily,SB_Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_DLT_Report,,Daily,SB_Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_EY_Audit_Automation_CashoutReason,BI_DB_dbo.BI_DB_EY_Audit_CashoutReason,Daily,SB_Daily,10,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_EY_Audit_Automation_Configuration,BI_DB_dbo.BI_DB_EY_Audit_Configurations_Thresholds,Daily,SB_Daily,10,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_EY_Audit_Automation_LastOpRate_OnOpen_Daily,BI_DB_dbo.EY_Audit_Automation_LastOpRate,Daily,SB_Daily,10,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_EY_Audit_Automation_Opened_Positions_Config_Daily,BI_DB_dbo.EY_Audit_Automation_Position_Open_Configs,Daily,SB_Daily,10,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_EY_Audit_BO_Deposits_With_PIPs,BI_DB_dbo.BI_DB_EY_Audit_BO_Deposits_With_PIPs,Daily,SB_Daily,10,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_EY_Audit_CashoutFees,BI_DB_dbo.BI_DB_EY_Audit_CashoutFees,Daily,SB_Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_EY_Audit_ChangeLog,BI_DB_dbo.BI_DB_EY_Audit_ChangeLog,Daily,SB_Daily,10,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_EY_Audit_Client_Balance,BI_DB_dbo.BI_DB_EY_Audit_Client_Balance,Daily,SB_Daily,10,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_EY_Audit_Closed_Positions,BI_DB_dbo.BI_DB_EY_Audit_Closed_Positions,Daily,SB_Daily,10,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_EY_Audit_Compensation,BI_DB_dbo.BI_DB_EY_Audit_Compensation,Daily,SB_Daily,10,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_EY_Audit_Conversions,BI_DB_dbo.BI_DB_EY_Audit_Conversions,Daily,SB_Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_EY_Audit_Deposit_Cashouts,BI_DB_dbo.BI_DB_EY_Audit_Deposits,Daily,SB_Daily,10,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_EY_Audit_IBAN_Trades_MIMO,BI_DB_dbo.BI_DB_EY_Audit_IBAN_Trades_MIMO,Daily,SB_Daily,10,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_EY_Audit_IFRS_Control,BI_DB_dbo.BI_DB_EY_Audit_Automation_IFRSControl_Results,Daily,SB_Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_EY_Audit_Negative_Refill,BI_DB_dbo.BI_DB_EY_Audit_Negative_Refill,Daily,SB_Daily,10,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_EY_Audit_Ran_Prices,BI_DB_dbo.BI_DB_EY_Audit_Ran_Prices,Daily,SB_Daily,10,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_EY_Audit_Redeem,BI_DB_dbo.BI_DB_EY_Audit_Redeem,Daily,SB_Daily,10,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_EY_Audit_Redeem_Per_CID,BI_DB_dbo.BI_DB_EY_Audit_Redeem_per_CID,Daily,SB_Daily,10,A4_DAILY_90D,A0,A4_DAILY_90D,,,
