ProcedureName,TableName,FrequencySP,ProcessName,Priority,object_type,max_update,modify_date,freshness_method,days_stale,verdict,decision
BI_DB_dbo.SP_BI_AMLPeriodicReview,BI_DB_dbo.BI_DB_AMLPeriodicReview,Daily,SB_Daily,0,USER_TABLE,5/31/2026 6:41,8/12/2025 8:46,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_BI_DB_AMLPeriodicReview_PostReview,BI_DB_dbo.BI_DB_AMLPeriodicReview_PostReview,Daily,SB_Daily,0,USER_TABLE,5/31/2026 7:09,7/1/2025 13:56,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_BI_DB_ApproperiatenessTest_FTP_CID_Level,BI_DB_dbo.BI_DB_ApproperiatenessTest_FTP_CID_Level,Daily,SB_Daily,0,USER_TABLE,5/31/2026 5:03,5/24/2026 15:06,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_BI_DB_BODailyCompensations,BI_DB_dbo.BI_DB_BODailyCompensations,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:42,12/2/2024 10:59,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_BI_DB_CO_Cluster_Daily,BI_DB_dbo.BI_DB_CO_Cluster_Daily,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:46,8/20/2025 11:23,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_BI_DB_Compliance_BI_Leverage_Dashboard,BI_DB_dbo.Compliance_BI_Leverage_Dashboard,Daily,SB_Daily,0,USER_TABLE,,9/19/2023 7:28,modify_date,985.2,A3_DAILY_365D,blacklist
BI_DB_dbo.SP_BI_DB_CryptoDashboardNew,BI_DB_dbo.BI_DB_CryptoDashboardNew,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:50,9/24/2024 15:35,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_BI_DB_DLT_Tangany_Trades_Netting,BI_DB_dbo.BI_DB_DLT_Tangany_Trades_Netting,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:58,6/8/2025 5:52,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_BI_DB_German_Crypto_Transition_To_Tangany,BI_DB_dbo.BI_DB_German_Crypto_Transition_To_Tangany,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:46,2/11/2024 16:42,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_BI_DB_German_Open_Real_Crypto_Positions_Daily,BI_DB_dbo.BI_DB_German_Open_Real_Crypto_Positions_Daily,Daily,SB_Daily,0,USER_TABLE,5/31/2026,1/16/2024 12:46,UpdateDate,0.5,KEEP,KEEP
BI_DB_dbo.SP_BI_DB_High_Cashout_Emails_For_Management_Analysis,BI_DB_dbo.BI_DB_High_Cashout_Emails_For_Management_Analysis,Daily,SB_Daily,0,USER_TABLE,5/31/2026,11/17/2024 8:37,UpdateDate,0.5,KEEP,KEEP
BI_DB_dbo.SP_BI_DB_M_ESMA_ProfitableClients_CFD_Last12Months,BI_DB_dbo.BI_DB_M_ESMA_ProfitableClients_CFD_Last12Months_Instrument,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:47,3/13/2024 7:15,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_BI_DB_M_ESMA_ProfitableClients_CFD_Last12Months,BI_DB_dbo.BI_DB_M_ESMA_ProfitableClients_CFD_Last12Months,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:47,3/13/2024 7:13,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_BI_DB_PLTV,BI_DB_dbo.BI_DB_PLTV,Monthly,SB_Daily,0,USER_TABLE,,6/6/2024 13:02,modify_date,724,A3_MONTHLY_STALE,blacklist
BI_DB_dbo.SP_BI_DB_PositionPnL_EU_Custody,BI_DB_dbo.BI_DB_PositionPnL_UK_Custody,Daily,SB_Daily,0,USER_TABLE,5/31/2026 3:04,1/10/2024 11:41,UpdateDate,0.4,KEEP,KEEP
BI_DB_dbo.SP_BI_DB_PositionPnL_EU_Custody,BI_DB_dbo.BI_DB_PositionPnL_EU_Custody,Daily,SB_Daily,0,USER_TABLE,5/31/2026 3:04,12/27/2023 8:19,UpdateDate,0.4,KEEP,KEEP
BI_DB_dbo.SP_BI_DB_PositionPnL_EU_Custody,BI_DB_dbo.BI_DB_PositionPnL_EU_Custody_Instrument_Agg,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:47,1/10/2024 11:41,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_BI_DB_PositionPnL_EU_Custody,BI_DB_dbo.BI_DB_PositionPnL_UK_Instrument_Agg,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:47,1/10/2024 11:41,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_BI_DB_PositionPnL_EU_Custody,BI_DB_dbo.BI_DB_PositionPnL_UK_Custody_Resolver,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:48,2/15/2026 15:57,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_BI_DB_ReturnCalculation,BI_DB_dbo.BI_DB_ReturnCalculation,Daily,SB_Daily,0,USER_TABLE,5/31/2026 7:48,5/20/2024 3:15,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_BI_DB_ReturnCalculation,BI_DB_dbo.BI_DB_ReturnCalculation_Daily_Data,Daily,SB_Daily,0,USER_TABLE,5/31/2026 7:42,5/20/2024 3:14,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_BI_DB_W8_Users_Status,BI_DB_dbo.BI_DB_W8_Users_Status,Daily,SB_Daily,0,USER_TABLE,5/31/2026 5:04,2/2/2025 7:15,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_BO_Generated_Compensations,BI_DB_dbo.BI_DB_BO_Generated_Compensations,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:41,4/2/2024 3:55,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_BuyTax_Fix,BI_DB_dbo.BI_DB_BuyTax_Fix,Daily,SB_Daily,0,USER_TABLE,,1/3/2024 8:27,modify_date,879.1,A3_DAILY_365D,blacklist
BI_DB_dbo.SP_Capital_Guarantee_Panel,BI_DB_dbo.BI_DB_CapitalGuarantee_Panel,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:46,3/5/2025 10:32,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_CID_BalanceDays,BI_DB_dbo.BI_DB_CID_BalanceDays,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:50,4/29/2021 15:46,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_CID_DailyCluster,BI_DB_dbo.BI_DB_CID_DailyCluster,Daily,SB_Daily,0,USER_TABLE,5/31/2026 6:32,2/9/2022 8:15,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_CID_DailyPanel_Club,BI_DB_dbo.BI_DB_CID_DailyPanel_Club,Daily,SB_Daily,0,USER_TABLE,5/31/2026 6:10,9/10/2023 13:02,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_CID_DailyPanel_FullData,BI_DB_dbo.BI_DB_CID_DailyPanel_FullData,Daily,SB_Daily,0,USER_TABLE,5/31/2026 7:02,5/1/2026 2:17,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_CID_Investment_PIMeetup,BI_DB_dbo.BI_DB_Investment_PIMeetup,Daily,SB_Daily,0,USER_TABLE,,9/14/2025 8:54,modify_date,259.1,A3_DAILY_90D,blacklist
BI_DB_dbo.SP_CID_LifeStageDefinition,BI_DB_dbo.BI_DB_CID_LifeStageDefinition,Daily,SB_Daily,0,USER_TABLE,5/31/2026 5:10,11/18/2025 12:05,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_CID_MonthlyPanel_FullData,BI_DB_dbo.BI_DB_CID_MonthlyPanel_FullData,Daily,SB_Daily,0,USER_TABLE,5/31/2026 7:12,8/19/2025 7:34,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_CID_VerificationLevel,BI_DB_dbo.BI_DB_CID_VerificationLevel,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:41,4/29/2021 16:03,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_CID_WeeklyPanel_FullData,BI_DB_dbo.BI_DB_CID_WeeklyPanel_FullData,Daily,SB_Daily,0,USER_TABLE,5/31/2026 7:11,8/19/2025 8:29,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_Client_Balance_and_DailyZero_TreeSize_Alert,BI_DB_dbo.BI_DB_CBZero_TreesizeZero_Alert,Daily,SB_Daily,0,USER_TABLE,,11/6/2023 14:55,modify_date,936.9,A3_DAILY_365D,blacklist
BI_DB_dbo.SP_Client_Balance_CID_Level_New_Blocked,BI_DB_dbo.BI_DB_Client_Balance_CID_Level_New_Blocked,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:46,11/17/2024 8:36,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_ClientBalance_DDR_Data_Integrity_Alert,BI_DB_dbo.BI_DB_ClientBalance_DDR_Data_Integrity_Alert,Daily,SB_Daily,0,USER_TABLE,,11/7/2023 15:00,modify_date,935.9,A3_DAILY_365D,blacklist
BI_DB_dbo.SP_ClubChangeLog,BI_DB_dbo.BI_DB_ClubChangeLog,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:56,4/29/2021 15:50,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_ClubUsersDataRemarketingGoogle,BI_DB_dbo.BI_DB_ClubUsersDataRemarketingGoogle,Daily,SB_Daily,0,USER_TABLE,5/31/2026 7:47,6/29/2023 12:41,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_Compensation_Activity_Data,BI_DB_dbo.BI_DB_Compensation_Activity_Data_Regulation,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:45,10/13/2024 13:19,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_Compensation_Activity_Data,BI_DB_dbo.BI_DB_Compensation_Activity_Data_CompensationReason,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:45,10/13/2024 13:19,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_Compliance_BI_Clients_Dashboard,BI_DB_dbo.BI_DB_Compliance_Clients_Dashboard_EOM_Pos,Daily,SB_Daily,0,USER_TABLE,5/1/2026 4:45,11/28/2023 12:37,UpdateDate,30.3,A3_DAILY_30D,blacklist
BI_DB_dbo.SP_Compliance_Forbidden_Trades,BI_DB_dbo.BI_DB_Compliance_Illegal_Trades_Alerts,Daily,SB_Daily,0,USER_TABLE,5/31/2026 5:12,3/9/2025 12:41,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_Compliance_VP_Monthly_MI,BI_DB_dbo.BI_DB_Compliance_VP_Monthly_MI,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:47,1/19/2025 15:41,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_CopyBlockedAUM,BI_DB_dbo.BI_DB_CopyBlockedAUMHistory,Daily,SB_Daily,0,USER_TABLE,5/31/2026 6:40,12/27/2023 12:45,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_CopyBlockedAUM,BI_DB_dbo.BI_DB_CopyBlockedAUM,Daily,SB_Daily,0,USER_TABLE,5/31/2026 6:40,12/27/2023 12:43,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_CopycatsOfCopyfunds,BI_DB_dbo.BI_DB_CopycatsOfCopyfunds,Daily,SB_Daily,0,USER_TABLE,5/31/2026 6:39,4/29/2021 15:51,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_CopyDailyData,BI_DB_dbo.BI_DB_CopyDailyData,Daily,SB_Daily,0,USER_TABLE,5/31/2026 6:41,2/9/2022 8:22,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_CopyFund_Positions,BI_DB_dbo.BI_DB_CopyFund_Positions,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:46,5/24/2026 15:02,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_Copyfunds_SignificantAllocation,BI_DB_dbo.BI_DB_Copyfunds_SignificantAllocation,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:47,12/1/2024 13:39,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_CopyMilestone,BI_DB_dbo.BI_DB_CopyMilestone,Daily,SB_Daily,0,USER_TABLE,5/31/2026 6:47,4/29/2021 15:51,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_Create_External_Price_History_LastPriceBeforeClose_Range,BI_DB_dbo.External_Price_History_LastPriceBeforeClose_Range,Daily,SB_Daily,0,USER_TABLE,,5/31/2026 7:31,modify_date,0.2,KEEP,KEEP
BI_DB_dbo.SP_Cross_Selling_Daily,BI_DB_dbo.BI_DB_Cross_Selling_Daily,Daily,SB_Daily,0,USER_TABLE,5/31/2026 7:34,2/19/2025 5:24,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_Cross_Selling_Monthly,BI_DB_dbo.BI_DB_Cross_Selling_Monthly,Daily,SB_Daily,0,USER_TABLE,5/1/2026 7:29,2/19/2025 5:10,UpdateDate,30.2,A3_DAILY_30D,blacklist
BI_DB_dbo.SP_Crypto_Active_Open_Churn_Winback,BI_DB_dbo.BI_DB_Crypto_Active_Open_Churn_Winback,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:52,10/27/2024 5:54,UpdateDate,0.3,KEEP,KEEP
