"ProcedureName","TableName","TableSchema","BareTable","FrequencySP","Priority","ProcessType","ProcessName"
"BI_DB_dbo.SP_AML_PI_Abuse","BI_DB_dbo.BI_DB_AML_PI_Abuse_SameIP","BI_DB_dbo","BI_DB_AML_PI_Abuse_SameIP","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_PI_Abuse","BI_DB_dbo.BI_DB_AML_PI_Abuse_DeviceID_PI_Side","BI_DB_dbo","BI_DB_AML_PI_Abuse_DeviceID_PI_Side","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_PI_Abuse","BI_DB_dbo.BI_DB_AML_PI_Abuse_FID_Same_Copy","BI_DB_dbo","BI_DB_AML_PI_Abuse_FID_Same_Copy","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_PI_Abuse","BI_DB_dbo.BI_DB_AML_PI_Abuse","BI_DB_dbo","BI_DB_AML_PI_Abuse","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_PI_Abuse","BI_DB_dbo.BI_DB_AML_PI_Abuse_DeviceID_Copy_Side","BI_DB_dbo","BI_DB_AML_PI_Abuse_DeviceID_Copy_Side","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_PI_Abuse","BI_DB_dbo.BI_DB_AML_PI_Abuse_FID_Same_as_pi","BI_DB_dbo","BI_DB_AML_PI_Abuse_FID_Same_as_pi","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_PI_Abuse","BI_DB_dbo.BI_DB_AML_PI_Abuse_DeviceID_AS_PI","BI_DB_dbo","BI_DB_AML_PI_Abuse_DeviceID_AS_PI","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_PI_Abuse","BI_DB_dbo.BI_DB_AML_PI_Abuse_CopierTable","BI_DB_dbo","BI_DB_AML_PI_Abuse_CopierTable","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_Sanctions_Trade_InstrumentMetaData_For_Email","BI_DB_dbo.AML_InstrumentMetaData_Daily_Email","BI_DB_dbo","AML_InstrumentMetaData_Daily_Email","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_Sanctions_Trade_InstrumentMetaData_For_Email_DayToDay_Changes","BI_DB_dbo.AML_InstrumentMetaData_Daily_Email_DayToDay_Changes","BI_DB_dbo","AML_InstrumentMetaData_Daily_Email_DayToDay_Changes","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_Singapore_Risk_Classification","BI_DB_dbo.BI_DB_AML_Singapore_Risk_Classification ","BI_DB_dbo","BI_DB_AML_Singapore_Risk_Classification ","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AppFlyer_Geo","BI_DB_dbo.BI_DB_AppFlyer_Geo","BI_DB_dbo","BI_DB_AppFlyer_Geo","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AppFlyer_Reports","BI_DB_dbo.BI_DB_AppFlyer_Reports","BI_DB_dbo","BI_DB_AppFlyer_Reports","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_ASIC_GAML_Invested_Amount","BI_DB_dbo.BI_DB_ASIC_GAML_Invested_Amount","BI_DB_dbo","BI_DB_ASIC_GAML_Invested_Amount","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_ASIC_Monitoring_CFD_W_Sun","BI_DB_dbo.BI_DB_ASIC_Monitoring_CFD_W_Sun","BI_DB_dbo","BI_DB_ASIC_Monitoring_CFD_W_Sun","Weekly Sunday","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_AMLPeriodicReview","BI_DB_dbo.BI_DB_AMLPeriodicReview","BI_DB_dbo","BI_DB_AMLPeriodicReview","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_DB_AMLPeriodicReview_PostReview","BI_DB_dbo.BI_DB_AMLPeriodicReview_PostReview","BI_DB_dbo","BI_DB_AMLPeriodicReview_PostReview","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_DB_ApproperiatenessTest_FTP_CID_Level","BI_DB_dbo.BI_DB_ApproperiatenessTest_FTP_CID_Level","BI_DB_dbo","BI_DB_ApproperiatenessTest_FTP_CID_Level","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_DB_BODailyCompensations","BI_DB_dbo.BI_DB_BODailyCompensations","BI_DB_dbo","BI_DB_BODailyCompensations","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_DB_CO_Cluster_Daily","BI_DB_dbo.BI_DB_CO_Cluster_Daily","BI_DB_dbo","BI_DB_CO_Cluster_Daily","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_DB_Compliance_BI_Leverage_Dashboard","BI_DB_dbo.Compliance_BI_Leverage_Dashboard","BI_DB_dbo","Compliance_BI_Leverage_Dashboard","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_DB_CryptoDashboardNew","BI_DB_dbo.BI_DB_CryptoDashboardNew","BI_DB_dbo","BI_DB_CryptoDashboardNew","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_DB_DLT_Tangany_Trades_Netting","BI_DB_dbo.BI_DB_DLT_Tangany_Trades_Netting","BI_DB_dbo","BI_DB_DLT_Tangany_Trades_Netting","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_DB_German_Crypto_Transition_To_Tangany","BI_DB_dbo.BI_DB_German_Crypto_Transition_To_Tangany","BI_DB_dbo","BI_DB_German_Crypto_Transition_To_Tangany","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_DB_German_Open_Real_Crypto_Positions_Daily","BI_DB_dbo.BI_DB_German_Open_Real_Crypto_Positions_Daily","BI_DB_dbo","BI_DB_German_Open_Real_Crypto_Positions_Daily","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_DB_High_Cashout_Emails_For_Management_Analysis","BI_DB_dbo.BI_DB_High_Cashout_Emails_For_Management_Analysis","BI_DB_dbo","BI_DB_High_Cashout_Emails_For_Management_Analysis","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_DB_M_ESMA_ProfitableClients_CFD_Last12Months","BI_DB_dbo.BI_DB_M_ESMA_ProfitableClients_CFD_Last12Months_Instrument","BI_DB_dbo","BI_DB_M_ESMA_ProfitableClients_CFD_Last12Months_Instrument","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_DB_M_ESMA_ProfitableClients_CFD_Last12Months","BI_DB_dbo.BI_DB_M_ESMA_ProfitableClients_CFD_Last12Months","BI_DB_dbo","BI_DB_M_ESMA_ProfitableClients_CFD_Last12Months","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_DB_PLTV","BI_DB_dbo.BI_DB_PLTV","BI_DB_dbo","BI_DB_PLTV","Monthly","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_DB_PositionPnL_EU_Custody","BI_DB_dbo.BI_DB_PositionPnL_UK_Custody","BI_DB_dbo","BI_DB_PositionPnL_UK_Custody","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_DB_PositionPnL_EU_Custody","BI_DB_dbo.BI_DB_PositionPnL_EU_Custody","BI_DB_dbo","BI_DB_PositionPnL_EU_Custody","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_DB_PositionPnL_EU_Custody","BI_DB_dbo.BI_DB_PositionPnL_EU_Custody_Instrument_Agg","BI_DB_dbo","BI_DB_PositionPnL_EU_Custody_Instrument_Agg","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_DB_PositionPnL_EU_Custody","BI_DB_dbo.BI_DB_PositionPnL_UK_Instrument_Agg","BI_DB_dbo","BI_DB_PositionPnL_UK_Instrument_Agg","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_DB_PositionPnL_EU_Custody","BI_DB_dbo.BI_DB_PositionPnL_UK_Custody_Resolver","BI_DB_dbo","BI_DB_PositionPnL_UK_Custody_Resolver","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_DB_ReturnCalculation","BI_DB_dbo.BI_DB_ReturnCalculation","BI_DB_dbo","BI_DB_ReturnCalculation","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_DB_ReturnCalculation","BI_DB_dbo.BI_DB_ReturnCalculation_Daily_Data","BI_DB_dbo","BI_DB_ReturnCalculation_Daily_Data","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BI_DB_W8_Users_Status","BI_DB_dbo.BI_DB_W8_Users_Status","BI_DB_dbo","BI_DB_W8_Users_Status","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BO_Generated_Compensations","BI_DB_dbo.BI_DB_BO_Generated_Compensations","BI_DB_dbo","BI_DB_BO_Generated_Compensations","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_BuyTax_Fix","BI_DB_dbo.BI_DB_BuyTax_Fix","BI_DB_dbo","BI_DB_BuyTax_Fix","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Capital_Guarantee_Panel","BI_DB_dbo.BI_DB_CapitalGuarantee_Panel","BI_DB_dbo","BI_DB_CapitalGuarantee_Panel","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_CID_BalanceDays","BI_DB_dbo.BI_DB_CID_BalanceDays","BI_DB_dbo","BI_DB_CID_BalanceDays","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_CID_DailyCluster","BI_DB_dbo.BI_DB_CID_DailyCluster","BI_DB_dbo","BI_DB_CID_DailyCluster","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_CID_DailyPanel_Club","BI_DB_dbo.BI_DB_CID_DailyPanel_Club","BI_DB_dbo","BI_DB_CID_DailyPanel_Club","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_CID_DailyPanel_FullData","BI_DB_dbo.BI_DB_CID_DailyPanel_FullData","BI_DB_dbo","BI_DB_CID_DailyPanel_FullData","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_CID_Investment_PIMeetup","BI_DB_dbo.BI_DB_Investment_PIMeetup","BI_DB_dbo","BI_DB_Investment_PIMeetup","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_CID_LifeStageDefinition","BI_DB_dbo.BI_DB_CID_LifeStageDefinition","BI_DB_dbo","BI_DB_CID_LifeStageDefinition","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_CID_MonthlyPanel_FullData","BI_DB_dbo.BI_DB_CID_MonthlyPanel_FullData","BI_DB_dbo","BI_DB_CID_MonthlyPanel_FullData","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_CID_VerificationLevel","BI_DB_dbo.BI_DB_CID_VerificationLevel","BI_DB_dbo","BI_DB_CID_VerificationLevel","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_CID_WeeklyPanel_FullData","BI_DB_dbo.BI_DB_CID_WeeklyPanel_FullData","BI_DB_dbo","BI_DB_CID_WeeklyPanel_FullData","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Client_Balance_and_DailyZero_TreeSize_Alert","BI_DB_dbo.BI_DB_CBZero_TreesizeZero_Alert","BI_DB_dbo","BI_DB_CBZero_TreesizeZero_Alert","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Client_Balance_CID_Level_New_Blocked","BI_DB_dbo.BI_DB_Client_Balance_CID_Level_New_Blocked","BI_DB_dbo","BI_DB_Client_Balance_CID_Level_New_Blocked","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_ClientBalance_DDR_Data_Integrity_Alert","BI_DB_dbo.BI_DB_ClientBalance_DDR_Data_Integrity_Alert","BI_DB_dbo","BI_DB_ClientBalance_DDR_Data_Integrity_Alert","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_ClubChangeLog","BI_DB_dbo.BI_DB_ClubChangeLog","BI_DB_dbo","BI_DB_ClubChangeLog","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_ClubUsersDataRemarketingGoogle","BI_DB_dbo.BI_DB_ClubUsersDataRemarketingGoogle","BI_DB_dbo","BI_DB_ClubUsersDataRemarketingGoogle","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Compensation_Activity_Data","BI_DB_dbo.BI_DB_Compensation_Activity_Data_Regulation","BI_DB_dbo","BI_DB_Compensation_Activity_Data_Regulation","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Compensation_Activity_Data","BI_DB_dbo.BI_DB_Compensation_Activity_Data_CompensationReason","BI_DB_dbo","BI_DB_Compensation_Activity_Data_CompensationReason","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Compliance_BI_Clients_Dashboard","BI_DB_dbo.BI_DB_Compliance_Clients_Dashboard_EOM_Pos","BI_DB_dbo","BI_DB_Compliance_Clients_Dashboard_EOM_Pos","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Compliance_Forbidden_Trades","BI_DB_dbo.BI_DB_Compliance_Illegal_Trades_Alerts","BI_DB_dbo","BI_DB_Compliance_Illegal_Trades_Alerts","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Compliance_VP_Monthly_MI","BI_DB_dbo.BI_DB_Compliance_VP_Monthly_MI","BI_DB_dbo","BI_DB_Compliance_VP_Monthly_MI","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_CopyBlockedAUM","BI_DB_dbo.BI_DB_CopyBlockedAUMHistory","BI_DB_dbo","BI_DB_CopyBlockedAUMHistory","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_CopyBlockedAUM","BI_DB_dbo.BI_DB_CopyBlockedAUM","BI_DB_dbo","BI_DB_CopyBlockedAUM","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_CopycatsOfCopyfunds","BI_DB_dbo.BI_DB_CopycatsOfCopyfunds","BI_DB_dbo","BI_DB_CopycatsOfCopyfunds","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_CopyDailyData","BI_DB_dbo.BI_DB_CopyDailyData","BI_DB_dbo","BI_DB_CopyDailyData","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_CopyFund_Positions","BI_DB_dbo.BI_DB_CopyFund_Positions","BI_DB_dbo","BI_DB_CopyFund_Positions","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Copyfunds_SignificantAllocation","BI_DB_dbo.BI_DB_Copyfunds_SignificantAllocation","BI_DB_dbo","BI_DB_Copyfunds_SignificantAllocation","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_CopyMilestone","BI_DB_dbo.BI_DB_CopyMilestone","BI_DB_dbo","BI_DB_CopyMilestone","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Create_External_Price_History_LastPriceBeforeClose_Range","BI_DB_dbo.External_Price_History_LastPriceBeforeClose_Range","BI_DB_dbo","External_Price_History_LastPriceBeforeClose_Range","Daily","0","1","SB_Daily"
