"ProcedureName","TableName","IsActive","FrequencySP","ProcessType","ProcessName","Priority","last_success","last_failure","last_seen","successes_90d","failures_90d","phase_a_verdict","proc_kind"
"Dealing_dbo.SP_Apex_PnL","Dealing_dbo.Dealing_Apex_PnL_EE_Daily","1","Daily","1","SB_Daily","0","2024-06-08 09:19:29","2023-10-29 14:10:49","2024-06-08 09:19:29","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_dbo.SP_Best_Execution","Dealing_dbo.Dealing_Best_Execution_Compensation_HBC","1","Daily","1","SB_Daily","20","2025-01-12 07:56:10","","2025-01-12 07:56:10","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_dbo.SP_DailySpreadsAggregated","Dealing_dbo.Dealing_DailySpreadsAggregated","1","Daily","1","SB_Daily","0","2025-02-18 14:13:12","2024-06-19 06:02:17","2025-02-18 14:13:12","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_dbo.SP_DailySpreadsAggregatedFX","Dealing_dbo.Dealing_DailySpreadsAggregatedFX","1","Daily","1","SB_Daily","0","2024-04-11 05:17:26","","2024-04-11 05:17:26","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_dbo.SP_Execution_Slippage","Dealing_dbo.Dealing_Execution_Slippage_RequestTime","1","Daily","1","SB_Daily","0","2025-01-12 05:15:59","2024-08-03 06:01:24","2025-01-12 05:15:59","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_dbo.SP_Failures","Dealing_dbo.Dealing_Failures_Rate","1","Daily","1","SB_Daily","0","2025-04-22 10:06:56","2025-02-11 19:32:59","2025-04-22 10:06:56","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_dbo.SP_Latency_Report","Dealing_dbo.Dealing_Daily_Latency_Compensation","1","Daily","1","SB_Daily","0","2025-01-12 07:41:52","2024-02-21 06:23:36","2025-01-12 07:41:52","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_dbo.SP_Manual_Exec","Dealing_dbo.Dealing_Manual_Exec","1","Daily","1","SB_Daily","0","2024-06-09 05:32:52","2024-02-06 05:02:38","2024-06-09 05:32:52","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_dbo.SP_NewHedgeDash_Email_CSV_0230AM","","1","Daily","3","SB_Daily","0","2025-05-12 06:36:02","2025-05-08 14:11:15","2025-05-12 06:36:02","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_dbo.SP_NewHedgeDash_Email_CSV_1130PM","","1","Daily","3","SB_Daily","0","2025-05-12 06:41:23","2025-05-08 14:11:17","2025-05-12 06:41:23","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_dbo.SP_OccurredAtProvider_Latency","Dealing_dbo.Dealing_OccurredAtProvider_Latency_PCSID","1","Daily","1","SB_Daily","0","2025-01-12 05:07:14","2024-10-27 05:06:53","2025-01-12 05:07:14","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_dbo.SP_Positions_OpenClose_Breakdown","Dealing_dbo.Dealing_Positions_OpenClose_Breakdown","1","Daily","1","SB_Daily","0","2024-09-01 06:03:23","","2024-09-01 06:03:23","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_dbo.SP_Regime_Flags","Dealing_dbo.Dealing_Regime_Flags","1","Daily","1","SB_Daily","0","2025-01-20 05:19:55","","2025-01-20 05:19:55","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_dbo.SP_SelfCopyingPI","Dealing_dbo.Dealing_SelfCopyingPI","1","Daily","1","SB_Daily","20","2023-09-04 11:46:02","2023-08-31 12:45:31","2023-09-04 11:46:02","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_dbo.SP_Slippage_Report","Dealing_dbo.Dealing_Daily_Slippage_Totals","1","Daily","1","SB_Daily","20","2025-01-12 07:34:06","2024-07-28 06:15:28","2025-01-12 07:34:06","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_dbo.SP_USTradeReports","Dealing_dbo.Dealing_US_OriginalEntryTradeTicket","1","Daily","1","SB_Daily","0","2025-01-14 06:44:40","2024-09-19 07:55:00","2025-01-14 06:44:40","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Copy_Etoro_Hedge_HBCExecutionLog","Dealing_staging.Etoro_Hedge_HBCExecutionLog","1","Daily","1","SB_Daily","20","2023-12-28 05:06:37","2024-01-04 05:40:59","2024-01-04 05:40:59","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Copy_Etoro_Hedge_HBCOrderLog","Dealing_staging.Etoro_Hedge_HBCOrderLog","1","Daily","1","SB_Daily","20","2023-12-28 04:06:35","2024-01-04 04:55:56","2024-01-04 04:55:56","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Copy_eToroLogs_Real_Hedge_EMSOrders","Dealing_staging.External_eToroLogs_Real_Hedge_EMSOrders","1","Daily","1","SB_Daily","20","2025-01-26 04:12:04","2023-05-02 13:52:20","2025-01-26 04:12:04","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Copy_eToroLogs_Real_Hedge_RequestExecutionLog","Dealing_staging.External_eToroLogs_Hedge_RequestExecutionLog","1","Daily","1","SB_Daily","20","2023-12-29 04:11:11","2024-01-04 05:03:34","2024-01-04 05:03:34","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Copy_eToroLogs_Real_Hedge_RequestLimitExecutionLog","Dealing_staging.External_eToroLogs_Real_Hedge_RequestLimitExecutionLog","1","Daily","1","SB_Daily","20","2023-11-14 04:41:37","2024-01-04 05:03:30","2024-01-04 05:03:30","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Copy_ExternalSources_LP_APEX_EXT869_3EU","Dealing_staging.LP_APEX_EXT869_3EU","1","Daily","1","SB_Daily","0","2023-10-29 13:55:31","2023-11-02 08:07:24","2023-11-02 08:07:24","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Copy_ExternalSources_LP_APEX_EXT872_3EU_217314","Dealing_staging.LP_APEX_EXT872_3EU_217314","1","Daily","1","SB_Daily","0","2023-10-29 14:00:55","2023-11-02 08:11:21","2023-11-02 08:11:21","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Copy_ExternalSources_LP_APEX_EXT981_3EU","Dealing_staging.LP_APEX_EXT981_3EU","1","Daily","1","SB_Daily","0","2023-10-29 14:00:54","2023-11-02 08:08:41","2023-11-02 08:08:41","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Copy_ExternalSources_LP_APEX_EXT982_3EU","Dealing_staging.LP_APEX_EXT982_3EU","1","Daily","1","SB_Daily","0","2023-10-29 14:00:50","2023-11-02 08:08:48","2023-11-02 08:08:48","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Copy_PositionFailReal_History_PositionFail_DWH","Dealing_staging.PositionFailReal_History_PositionFail_DWH","1","Daily","1","SB_Daily","0","2024-03-28 06:07:52","","2024-03-28 06:07:52","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Copy_PriceLog_History_CurrencyPrice","Dealing_staging.PriceLog_History_CurrencyPrice","1","Daily","1","SB_Daily","20","2024-06-09 04:14:26","2024-06-18 04:24:11","2024-06-18 04:24:11","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Copy_PricesFromProvider_MarketCurrencyPrice","Dealing_staging.PricesFromProvider_MarketCurrencyPrice","1","Daily","1","SB_Daily","20","2025-01-12 04:32:56","2024-01-28 05:13:01","2025-01-12 04:32:56","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Create_External_DB_Logs_History_OrderForClose","Dealing_staging.External_DB_Logs_History_OrderForClose","1","Daily","1","SB_Daily","20","2024-01-07 05:16:10","2023-06-29 06:42:48","2024-01-07 05:16:10","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Create_External_DB_Logs_History_OrderForOpen","Dealing_staging.External_DB_Logs_History_OrderForOpen","1","Daily","1","SB_Daily","20","2024-01-07 05:25:46","2023-06-23 05:13:20","2024-01-07 05:25:46","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Create_External_Etoro_History_CEPListCIDMappings","Dealing_staging.External_Etoro_History_CEPListCIDMappings","1","Daily","1","SB_Daily","0","2023-11-20 05:30:53","","2023-11-20 05:30:53","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Create_External_etoro_History_Mirror","Dealing_staging.External_etoro_History_Mirror","1","Daily","1","SB_Daily","0","2024-01-16 04:32:53","2023-12-21 04:27:30","2024-01-16 04:32:53","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Create_External_Etoro_History_OrdersEntryTbl","Dealing_staging.External_Etoro_History_OrdersEntryTbl","1","Daily","1","SB_Daily","20","2023-12-27 04:16:14","2024-01-04 05:16:44","2024-01-04 05:16:44","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Create_External_Etoro_History_OrdersExitTbl","Dealing_staging.External_Etoro_History_OrdersExitTbl","1","Daily","1","SB_Daily","20","2023-11-15 04:16:26","2023-12-19 04:25:52","2023-12-19 04:25:52","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Create_External_Etoro_Trade_OrdersEntryTbl","Dealing_staging.External_Etoro_Trade_OrdersEntryTbl","1","Daily","1","SB_Daily","20","2025-04-22 04:46:15","2023-09-27 04:31:31","2025-04-22 04:46:15","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Create_External_Etoro_Trade_OrdersExitTbl","Dealing_staging.External_Etoro_Trade_OrdersExitTbl","1","Daily","1","SB_Daily","20","2025-04-22 04:46:00","2023-08-18 04:36:04","2025-04-22 04:46:00","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Create_External_etoroGeneral_History_GuruCopiers","Dealing_staging.External_etoroGeneral_History_GuruCopiers","1","Daily","1","SB_Daily","0","2023-06-14 04:29:16","","2023-06-14 04:29:16","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Create_External_eToroLogs_Real_Hedge_ExecutionStrategyOrderLog","Dealing_staging.External_eToroLogs_Real_Hedge_ExecutionStrategyOrderLog","1","Daily","1","SB_Daily","20","2024-01-13 04:25:51","2024-01-16 04:56:01","2024-01-16 04:56:01","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Create_External_eToroLogs_Real_Hedge_OrderLog","Dealing_staging.External_eToroLogs_Real_Hedge_OrderLog","1","Daily","1","SB_Daily","20","2023-12-18 04:45:51","2023-09-27 04:37:48","2023-12-18 04:45:51","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Create_External_Sodreconciliation_apex_EXT869_CashActivity","Dealing_staging.External_Sodreconciliation_apex_EXT869_CashActivity","1","Daily","1","SB_Daily","20","2024-11-13 14:02:28","2024-11-14 05:12:15","2024-11-14 05:12:15","0","0","A4_DAILY_365D","synapse_sp"
"Dealing_staging.SP_Create_Rankings_StockInfo_DailyInstrumentInfo","Dealing_staging.External_Rankings_StockInfo_DailyInstrumentInfo","1","Daily","1","SB_Daily","20","2024-01-31 04:11:19","2024-02-05 04:21:11","2024-02-05 04:21:11","0","0","A4_DAILY_365D","synapse_sp"
"DWH_watchlists.Fact_Watchlists","DWH_watchlists.Fact_Watchlists","1","Daily","1","COPY DATA","0","2024-06-01 09:33:42","2024-06-02 08:30:38","2024-06-02 08:30:38","0","0","A4_DAILY_365D","synapse_sp"
"DWH_watchlists.Fact_WatchlistsItems","DWH_watchlists.Fact_WatchlistsItems","1","Daily","1","COPY DATA","0","2024-06-01 09:33:55","2024-06-02 08:30:42","2024-06-02 08:30:42","0","0","A4_DAILY_365D","synapse_sp"
"eMoney_dbo.SP_eMoney_Yearly_Volume_Target_2023","eMoney_dbo.eMoney_Yearly_Volume_Target_2023","1","Daily","1","SB_Daily","0","2024-01-01 05:16:27","2024-01-02 10:24:54","2024-01-02 10:24:54","0","0","A4_DAILY_365D","synapse_sp"
"EXW_dbo.SP_EXW_EthFee_Blockchain","EXW_dbo.EXW_EthFeeSent_Blockchain","1","Daily","1","SB_Daily","0","2024-07-29 06:11:50","2024-08-11 05:15:50","2024-08-11 05:15:50","0","0","A4_DAILY_365D","synapse_sp"
"BI_DataBricks-Compliance_MAS_Daily_Client_Metrics","main.bi_output.bi_output_customer_compliance_mas_daily_client_metrics","1","Daily","12","Daily","0","2025-07-16 05:55:07","2025-07-21 04:38:03","2025-07-21 04:38:03","0","0","A4_DAILY_90D","databricks_job"
"BI_DataBricks-Compliance_MAS_Population","main.bi_output_stg.bi_output_customer_compliance_mas_population","1","Daily","12","Daily","0","2025-07-08 05:58:14","2025-07-15 05:18:32","2025-07-15 05:18:32","0","0","A4_DAILY_90D","databricks_job"
"BI_DataBricks-operations_ops_mimo_data","analysis/BI_OUTPUT/Operations/ops/mimo_data","1","Daily","12","Daily","0","2025-06-30 10:09:01","2025-07-01 06:36:41","2025-07-01 06:36:41","0","0","A4_DAILY_90D","databricks_job"
"BI_DataBricks-SP_Customer_Customer_Support_AML_Handling_Days_Main","bi_output_customer_customer_support_aml_handling_days","1","Daily","12","Daily","0","2025-09-01 10:28:17","2025-09-09 04:51:34","2025-09-09 04:51:34","0","0","A4_DAILY_90D","databricks_job"
"BI_DataBricks-SP_Customer_Customer_Support_Case","analysis/BI_OUTPUT/Customer/Customer_Support/Case","1","Daily","12","Daily","0","2025-08-20 04:12:08","2025-08-25 07:52:06","2025-08-25 07:52:06","0","0","A4_DAILY_90D","databricks_job"
"BI_DataBricks-SP_Customer_Customer_Support_Cases_Update_Main","analysis/BI_OUTPUT/Customer/Customer_Support/Case","1","Daily","12","Daily","0","2025-08-26 14:08:19","2024-09-02 08:49:08","2025-08-26 14:08:19","0","0","A4_DAILY_90D","databricks_job"
"BI_DataBricks-SP_Customer_Customer_Support_CSAT_Main","analysis/BI_OUTPUT/Customer/Customer_Support/CSAT","1","Daily","12","Daily","0","2025-08-20 04:12:29","2025-08-25 06:59:37","2025-08-25 06:59:37","0","0","A4_DAILY_90D","databricks_job"
"BI_DataBricks-SP_Customer_Customer_Support_Live_Chat_Transcript_Main","bi_output_customer_customer_support_live_chat_transcript","1","Daily","12","Daily","0","2025-08-20 04:29:21","2025-09-09 05:34:44","2025-09-09 05:34:44","0","0","A4_DAILY_90D","databricks_job"
"BI_DataBricks-SP_Customer_Customer_Support_Salesforce_Reply_Main","bi_output_customer_customer_support_salesforce_reply","1","Daily","12","Daily","0","2025-08-20 05:00:02","2025-09-09 04:39:42","2025-09-09 04:39:42","0","0","A4_DAILY_90D","databricks_job"
"BI_DataBricks-SP_External_ISA","bi_output_customer_external_table_isa","1","Daily","12","Daily","0","2025-12-15 10:58:56","","2025-12-15 10:58:56","0","0","A4_DAILY_90D","databricks_job"
"BI_DataBricks-SP_Marketing_Acquisition_Anomalies_Daily_Main","bi_output_marketing_acquisition","1","Daily","12","Daily","0","2025-12-29 04:27:34","2025-12-30 04:39:25","2025-12-30 04:39:25","0","0","A4_DAILY_90D","databricks_job"
"BI_DB_dbo.SP_CashRiskMatrix","BI_DB_dbo.BI_DB_CashRiskMatrix","1","Daily","1","SB_Daily","0","2025-10-06 04:49:56","2025-10-08 05:19:19","2025-10-08 05:19:19","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_CID_NPS_Panel","BI_DB_dbo.BI_DB_CID_NPS_Panel","1","Daily","1","SB_Daily","0","2025-07-11 05:42:42","2025-07-28 16:30:54","2025-07-28 16:30:54","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_Deposit_Reversals_PIPs","BI_DB_dbo.BI_DB_Deposit_Reversals_PIPs","1","Daily","1","SB_Daily","0","2025-09-11 04:59:29","2025-09-17 05:19:59","2025-09-17 05:19:59","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_DepositWithdrawFee_2025","BI_DB_dbo.BI_DB_DepositWithdrawFee_2025_Reversals","1","Daily","1","SB_Daily","0","2025-07-27 04:58:41","2025-07-28 05:07:14","2025-07-28 05:07:14","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_DLT_Report","","1","Daily","1","SB_Daily","0","2025-11-18 04:50:59","","2025-11-18 04:50:59","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_Automation_CashoutReason","BI_DB_dbo.BI_DB_EY_Audit_CashoutReason","1","Daily","3","SB_Daily","10","2025-10-28 11:02:15","2023-06-27 04:48:31","2025-10-28 11:02:15","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_Automation_Configuration","BI_DB_dbo.BI_DB_EY_Audit_Configurations_Thresholds","1","Daily","3","SB_Daily","10","2025-10-28 11:05:36","2024-01-16 11:02:54","2025-10-28 11:05:36","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_Automation_LastOpRate_OnOpen_Daily","BI_DB_dbo.EY_Audit_Automation_LastOpRate","1","Daily","3","SB_Daily","10","2025-10-28 11:02:29","","2025-10-28 11:02:29","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_Automation_Opened_Positions_Config_Daily","BI_DB_dbo.EY_Audit_Automation_Position_Open_Configs","1","Daily","3","SB_Daily","10","2025-07-01 06:43:14","2025-05-08 05:56:28","2025-07-01 06:43:14","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_BO_Deposits_With_PIPs","BI_DB_dbo.BI_DB_EY_Audit_BO_Deposits_With_PIPs","1","Daily","3","SB_Daily","10","2025-10-28 11:06:18","2025-05-13 11:11:00","2025-10-28 11:06:18","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_CashoutFees","BI_DB_dbo.BI_DB_EY_Audit_CashoutFees","1","Daily","3","SB_Daily","0","2025-10-28 11:01:57","","2025-10-28 11:01:57","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_ChangeLog","BI_DB_dbo.BI_DB_EY_Audit_ChangeLog","1","Daily","3","SB_Daily","10","2025-10-28 11:04:59","","2025-10-28 11:04:59","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_Client_Balance","BI_DB_dbo.BI_DB_EY_Audit_Client_Balance","1","Daily","3","SB_Daily","10","2025-10-28 11:04:55","2023-07-08 04:23:25","2025-10-28 11:04:55","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_Closed_Positions","BI_DB_dbo.BI_DB_EY_Audit_Closed_Positions","1","Daily","3","SB_Daily","10","2025-10-28 11:05:28","","2025-10-28 11:05:28","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_Compensation","BI_DB_dbo.BI_DB_EY_Audit_Compensation","1","Daily","3","SB_Daily","10","2025-10-28 11:02:05","","2025-10-28 11:02:05","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_Conversions","BI_DB_dbo.BI_DB_EY_Audit_Conversions","1","Daily","3","SB_Daily","0","2025-07-27 11:01:10","2025-08-03 11:10:39","2025-08-03 11:10:39","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_Deposit_Cashouts","BI_DB_dbo.BI_DB_EY_Audit_Deposits","1","Daily","3","SB_Daily","10","2025-10-28 11:04:14","","2025-10-28 11:04:14","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_IBAN_Trades_MIMO","BI_DB_dbo.BI_DB_EY_Audit_IBAN_Trades_MIMO","1","Daily","3","SB_Daily","10","2025-10-28 11:02:05","","2025-10-28 11:02:05","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_IFRS_Control","BI_DB_dbo.BI_DB_EY_Audit_Automation_IFRSControl_Results","1","Daily","1","SB_Daily","0","2025-07-01 11:45:08","2025-06-30 12:09:17","2025-07-01 11:45:08","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_Negative_Refill","BI_DB_dbo.BI_DB_EY_Audit_Negative_Refill","1","Daily","3","SB_Daily","10","2025-10-28 11:02:10","","2025-10-28 11:02:10","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_Ran_Prices","BI_DB_dbo.BI_DB_EY_Audit_Ran_Prices","1","Daily","3","SB_Daily","10","2025-10-28 11:06:13","2025-01-20 11:22:06","2025-10-28 11:06:13","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_Redeem","BI_DB_dbo.BI_DB_EY_Audit_Redeem","1","Daily","3","SB_Daily","10","2025-10-28 11:02:18","","2025-10-28 11:02:18","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_Redeem_Per_CID","BI_DB_dbo.BI_DB_EY_Audit_Redeem_per_CID","1","Daily","3","SB_Daily","10","2025-10-28 11:02:03","","2025-10-28 11:02:03","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_RedeemsFee","BI_DB_dbo.BI_DB_EY_Audit_RedeemsFee","1","Daily","3","SB_Daily","10","2025-10-28 11:01:57","2025-06-29 11:15:28","2025-10-28 11:01:57","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_Reopen_Positions","BI_DB_dbo.BI_DB_EY_Audit_Closed_Positions_IsReopen1","1","Daily","3","SB_Daily","10","2025-10-28 11:02:03","","2025-10-28 11:02:03","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_RollOverFee","BI_DB_dbo.BI_DB_EY_Audit_RollOverFees","1","Daily","3","SB_Daily","10","2025-10-28 11:02:17","2023-09-30 11:12:09","2025-10-28 11:02:17","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_EY_Audit_Withdraws_With_PIPs","BI_DB_dbo.EY_Audit_Automation_BO_Withdraws_With_PIPs","1","Daily","3","SB_Daily","10","2025-10-28 11:03:39","2025-08-26 11:02:41","2025-10-28 11:03:39","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_PIPs_Report_MID_Settings","BI_DB_dbo.BI_DB_PIPs_Report_MID_Settings","1","Daily","1","SB_Daily","0","2025-09-11 04:59:09","2025-09-17 05:06:55","2025-09-17 05:06:55","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_Reg_UK_Compliance_SocialActivity","BI_DB_dbo.BI_DB_Reg_UK_Compliance_SocialActivity","1","Daily","1","SB_Daily","20","2025-09-05 05:02:34","2023-07-13 18:26:03","2025-09-05 05:02:34","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_Reg_UK_Compliance_SocialActivityM","BI_DB_dbo.BI_DB_Reg_UK_Compliance_SocialActivityM","1","Daily","1","SB_Daily","20","2025-09-05 05:03:38","2023-06-12 10:42:06","2025-09-05 05:03:38","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_Social_Activity","BI_DB_dbo.BI_DB_Social_Activity","1","Daily","1","SB_Daily","1","2025-09-05 04:56:56","2025-09-21 05:06:42","2025-09-21 05:06:42","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_Social_Activity_GDRP","BI_DB_dbo.BI_DB_Social_Activity_GDRP_PostsComments","1","Daily","1","SB_Daily","0","2025-09-21 09:40:46","2024-01-28 13:22:19","2025-09-21 09:40:46","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_Social_Activity_Updates","BI_DB_dbo.BI_DB_Social_Activity_Updates","1","Daily","1","SB_Daily","1","2025-09-21 04:56:31","2024-03-08 07:00:37","2025-09-21 04:56:31","0","0","A4_DAILY_90D","synapse_sp"
"BI_DB_dbo.SP_Withdraw_Rollback_PIPs","BI_DB_dbo.BI_DB_Withdraw_Rollback_PIPs","1","Daily","1","SB_Daily","0","2025-09-11 05:12:37","2025-09-17 05:23:21","2025-09-17 05:23:21","0","0","A4_DAILY_90D","synapse_sp"
"DataBricks-DLT_Recon","internal-sources/Gold/DE/DLT/Reconciliation_Report","1","Daily","10","Daily","0","2025-11-01 06:59:31","2025-07-14 07:21:00","2025-11-01 06:59:31","0","0","A4_DAILY_90D","other"
"DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.customerfinancedb_customer_firsttimedeposits","CopyFromLake.customerfinancedb_customer_firsttimedeposits","1","Daily","6","SB_Daily","0","2025-09-09 07:32:35","2025-07-11 11:21:53","2025-09-09 07:32:35","0","0","A4_DAILY_90D","synapse_sp"
"Dealing_dbo.SP_Market_Manipulation_Report_FCA","Dealing_dbo.Dealing_Market_Manipulation_Report_FCA","1","Daily","1","SB_Daily","0","2025-07-13 06:27:24","2025-07-16 06:51:54","2025-07-16 06:51:54","0","0","A4_DAILY_90D","synapse_sp"
"eMoney_dbo.SP_eMoney_Calculated_Balance","eMoney_dbo.eMoney_Calculated_Balance","1","Daily","1","SB_Daily","60","2025-06-11 04:47:30","2025-06-09 13:18:49","2025-06-11 04:47:30","0","0","A4_DAILY_90D","synapse_sp"
"BI_DataBricks_H_Dealing_Production_Diffusion_Analysis","analysis/BI_OUTPUT/Dealing/Nixar/Delta/DiffusionAnalysis","1","Hourly","12","Daily","0","2024-05-02 04:27:10","2024-04-15 04:19:29","2024-05-02 04:27:10","0","0","A4_HOURLY","other"
"BI_DB_dbo.SP_H_Deposits","BI_DB_dbo.BI_DB_Deposits","1","Hourly","1","SB_Daily","0","2024-01-17 09:16:30","2024-01-09 04:03:05","2024-01-17 09:16:30","0","0","A4_HOURLY","synapse_sp"
"BI_DB_dbo.SP_H_Deposits_Wires_From_Googlesheet","BI_DB_dbo.BI_DB_Deposits_WiresFromGooglesheets","1","Hourly","1","SB_Hourly","0","2026-05-14 08:25:14","2026-04-26 20:14:49","2026-05-14 08:25:14","1282","2","A4_HOURLY","synapse_sp"
"BI_DB_dbo.SP_H_PaymentSent_Results","BI_DB_dbo.BI_DB_PaymentSent_Results","1","Hourly","1","SB_Hourly","0","2024-03-14 04:33:51","2024-05-08 08:18:15","2024-05-08 08:18:15","0","0","A4_HOURLY","synapse_sp"
"DataBricks-export_table_to_file-SFMC_etoroAffiliateDailyData","Gold/MC/SFMC_test/etoroAffiliateDailyData","1","Hourly","10","Daily","0","2026-04-28 14:52:01","2026-04-12 10:52:38","2026-04-28 14:52:01","54","6","A4_HOURLY","other"
"DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.Streams_dbo_Entries","CopyFromLake.Streams_dbo_Entries","1","Hourly","6","SB_Hourly","20","2025-09-07 08:49:06","2025-06-29 04:10:46","2025-09-07 08:49:06","0","0","A4_HOURLY","synapse_sp"
"BI_DataBricks-Dealing_volatility_bucket","BI_OUTPUT/Dealing/volatility_bucket","1","Monthly","12","Daily","0","2025-11-01 06:11:41","2025-09-30 09:06:58","2025-11-01 06:11:41","0","0","A4_MONTHLY","databricks_job"
"BI_DB_dbo.SP_M_Crypto_RECON","BI_DB_dbo.BI_DB_Crypto_Zero","1","Monthly","4","FinanceReportSPS","99","2025-01-01 04:01:34","","2025-01-01 04:01:34","0","0","A4_MONTHLY","synapse_sp"
"BI_DB_dbo.SP_M_LTV_BI_Actual_Snapshot","BI_DB_dbo.BI_DB_LTV_BI_Actual_Monthly_Snapshot","1","Monthly","1","SB_Daily","20","2024-01-01 09:22:49","","2024-01-01 09:22:49","0","0","A4_MONTHLY","synapse_sp"
