"ProcedureName","TableName","IsActive","FrequencySP","ProcessType","ProcessName","Priority","last_success","last_failure","last_seen","successes_90d","failures_90d","phase_a_verdict","proc_kind"
"BI_DB_dbo.SP_ASIC_ClientBalanceFinance","BI_DB_dbo.BI_DB_ASIC_ClientBalanceFinance","1","Daily","4","FinanceReportSPS","99","2025-01-21 04:01:33","","2025-01-21 04:01:33","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_AssignmentToolBacklog","BI_DB_dbo.BI_DB_AssignmentToolBacklog","1","Daily","1","SB_Daily","0","2024-03-19 04:57:16","","2024-03-19 04:57:16","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_AssignmentToolSLAs","BI_DB_dbo.BI_DB_AssignmentToolSLAs","1","Daily","1","SB_Daily","0","2024-03-07 07:09:27","2024-03-07 06:56:00","2024-03-07 07:09:27","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_AssignmentToolTasks","BI_DB_dbo.BI_DB_AssignmentToolTasks","1","Daily","1","SB_Daily","0","2024-03-07 07:03:47","2024-03-07 06:56:14","2024-03-07 07:03:47","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_AssignmentToolVolumes","BI_DB_dbo.BI_DB_AssignmentToolVolumes","1","Daily","1","SB_Daily","0","2024-03-07 05:28:24","2024-02-21 05:11:50","2024-03-07 05:28:24","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_BI_DB_ASIC_Monitoring_CFD","BI_DB_dbo.BI_DB_ASIC_Monitoring_CFD","1","Daily","1","SB_Daily","0","2023-11-05 04:20:15","","2023-11-05 04:20:15","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_BI_DB_ASIC_Monitoring_CFD_W_Sun","BI_DB_dbo.BI_DB_ASIC_Monitoring_CFD_W_Sun","1","Daily","1","SB_Daily","0","2023-11-05 12:51:51","","2023-11-05 12:51:51","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_BI_DB_Compliance_BI_Clients_Dashboard","BI_DB_dbo.BI_DB_Compliance_Clients_Dashboard_EOM_Pos","1","Daily","1","SB_Daily","0","2023-11-29 04:51:04","","2023-11-29 04:51:04","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_CB_Gap_Categorization","BI_DB_dbo.BI_DB_CB_CycleGap_Categorization","1","Daily","4","FinanceReportSPS","99","2025-01-21 04:01:33","","2025-01-21 04:01:33","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_CID_Daily_NWA","BI_DB_dbo.BI_DB_CID_Daily_NWA","1","Daily","4","FinanceReportSPS","99","2025-01-21 04:01:33","","2025-01-21 04:01:33","0","0","A4_DAILY_365D","synapse_sp"
