"file","schema","chunk_index","row_count"
"C:\Users\guyman\Documents\github\Databricks_Knowledge\audits\blacklist\_a3_work\validate\validate_BI_DB_dbo_00.sql","BI_DB_dbo","0","200"
"C:\Users\guyman\Documents\github\Databricks_Knowledge\audits\blacklist\_a3_work\validate\validate_BI_DB_dbo_01.sql","BI_DB_dbo","1","200"
"C:\Users\guyman\Documents\github\Databricks_Knowledge\audits\blacklist\_a3_work\validate\validate_BI_DB_dbo_02.sql","BI_DB_dbo","2","25"
"C:\Users\guyman\Documents\github\Databricks_Knowledge\audits\blacklist\_a3_work\validate\validate_Dealing_dbo_00.sql","Dealing_dbo","0","145"
