ProcedureName,ProcessName,Priority,IsActive,schema_prefix
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.FiatDwhDB_Dictionary_CardStatuses,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.FiatDwhDB_Dictionary_CurrencyBalanceStatuses,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.FiatDwhDB_Dictionary_PaymentSchemaType,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.FiatDwhDB_Dictionary_PaymentSpecificationStatusTypes,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.FiatDwhDB_Dictionary_PaymentSpecificationTypes,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.FiatDwhDB_Dictionary_Providers,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.FiatDwhDB_Dictionary_TransactionCategories,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.FiatDwhDB_Dictionary_TransactionStatuses,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.FiatDwhDB_Dictionary_TransactionTypes,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.FiatDwhDB_Dictionary_TribeScriptStatus,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.SettingsDB_Dictionary_CountryGroup,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.SettingsDB_Dictionary_CountryToCountryGroup,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.SettingsDB_Dictionary_DynamicGroup,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.WalletDB_Dictionary_ChecksumTypes,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.WalletDB_Dictionary_ConversionStatuses,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.WalletDB_Dictionary_CryptoCoinProviders,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.WalletDB_Dictionary_ManualApproveTransactionStatus,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.WalletDB_Dictionary_PaymentStatuses,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.WalletDB_Dictionary_ReceivedTransactionTypes,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.WalletDB_Dictionary_RequestStatuses,SB_Daily,80,1,DE_dbo
