column_name,occurrence_count,distinct_tables
user_sum_session_time_before_decision,33,33
FUTURE_friend_num_logins_after_decision_2m,33,33
CitizenshipCountryID,33,33
BidMarketPriceRateID,33,33
AskMarketPriceRateID,33,33
IsOpen,33,33
IsCopy,33,33
ExitOrderID,33,33
RegulationName,33,33
UpdateTime,33,33
FUTURE_friend_sum_session_time_after_decision_2m,33,33
CurrencyPriceID,33,33
USDConversionRateAskSpreaded,33,33
USDConversionPriceRateID,33,33
friend_sum_session_time_before_decision,33,33
USDConversionRateBidSpreaded,33,33
Account_Name,33,33
friend_num_logins_before_decision,33,33
FUTURE_user_num_logins_after_decision_2m,33,33
insert_date,33,33
ticker,33,33
FundingID,32,32
EndForexPriceRateID,32,32
Message,32,32
Side,32,32
SkewID,32,32
OccurredDate,32,32
StartDate,32,32
_fivetran_id,32,32
State,32,32
CloseMarkup,32,32
BonusCredit,32,32
OpenEtoroPrice,32,32
SellCurrencyID,31,31
BidLastOccurred,31,31
RegionID,31,31
Zip,31,31
RequestCloseOccurred,31,31
ExchangeID,31,31
PriceRateInsertTime,31,31
BidFirstOccurred,31,31
PriceRatio,31,31
WeekendFeePrecentage,31,31
symbol,31,31
real_cid,30,30
user_name,30,30
OriginalPositionID,30,30
Manager,30,30
log_id,30,30
TransactionID,30,30
AskLast,30,30
Trace,30,30
BirthDate,30,30
AskProvider,29,29
leverage,29,29
description,29,29
AmountInUnits,29,29
PhoneNumber,29,29
AccountCurrency,29,29
TotalCash,29,29
player_status,29,29
ClientViewRate,29,29
record_id,29,29
BidProvider,29,29
ExchangeRate,29,29
ExitOrderType,29,29
CloseMarketPriceRateID,29,29
CloseTotalFees,29,29
ClosePositionReasonID,29,29
IsFTD,29,29
IsAirDrop,28,28
CloseMarketSpread,28,28
BidMax,28,28
device,28,28
instrument_display_name,28,28
Delta,28,28
AskMaxOccurred,28,28
event_type,28,28
AskMax,28,28
eToro_Units,28,28
TotalEquity,28,28
CountrynName,28,28
AskLastOccurred,28,28
exchange,28,28
RiskScore,28,28
AskFirstOccurred,28,28
FirstDepositAmount,28,28
FunnelID,28,28
AskFirst,28,28
Account_Number,28,28
AskMin,28,28
BidMaxOccurred,28,28
UnitsNOP,28,28
BidMinOccurred,28,28
ClubSort,28,28
AskMinOccurred,28,28
BidMin,28,28
SymbolFull,27,27
FailReason,27,27
BuildingNumber,27,27
DownloadID,27,27
PrivacyPolicyID,27,27
insert_timestamp,27,27
ConversionAskSpreaded,27,27
ConversionBidSpreaded,27,27
ConversionAskDiscounted,27,27
impressions,27,27
OwnerID,27,27
CounterpartID,27,27
ParentUserName,26,26
position_id,26,26
scenario_29_shock_value,26,26
user_positions_count_until_decision_time,26,26
scenario_16_shock_value,26,26
scenario_18_shock_value,26,26
EndOfWeekFee,26,26
scenario_27_shock_value,26,26
scenario_12_shock_value,26,26
scenario_8_shock_value,26,26
friend_club,26,26
scenario_7_shock_value,26,26
scenario_30_shock_value,26,26
scenario_11_shock_value,26,26
SpreadGroupID,26,26
URL,26,26
CampaignID,26,26
scenario_13_shock_value,26,26
RedeemID,26,26
scenario_14_shock_value,26,26
scenario_15_shock_value,26,26
MarketBidDiscounted,26,26
MarketingRegionManualName,26,26
friend_positions_count_until_decision_time,26,26
scenario_24_shock_value,26,26
MarketAskSpreaded,26,26
scenario_32_shock_value,26,26
scenario_2_shock_value,26,26
invested_amount,26,26
SessionID,26,26
ConversionBidDiscounted,26,26
scenario_4_shock_value,26,26
scenario_21_shock_value,26,26
scenario_28_shock_value,26,26
MarketAskDiscounted,26,26
scenario_25_shock_value,26,26
TradeRange,26,26
scenario_26_shock_value,26,26
Phone,26,26
scenario_5_shock_value,26,26
MarketBidSpreaded,26,26
scenario_10_shock_value,26,26
user_amount_invested_now,26,26
scenario_19_shock_value,26,26
IP,26,26
MiddleName,26,26
scenario_23_shock_value,26,26
scenario_20_shock_value,26,26
crypto_id,26,26
scenario_6_shock_value,26,26
scenario_17_shock_value,26,26
CloseEtoroPrice,26,26
scenario_31_shock_value,26,26
load_timestamp,26,26
LastActivityDate,26,26
scenario_9_shock_value,26,26
scenario_22_shock_value,26,26
ExternalUserId,26,26
GuruStatusName,26,26
friend_amount_invested_now,26,26
scenario_3_shock_value,26,26
IsPhoneVerified,25,25
AUM,25,25
SerialID,25,25
LotCountGroupID,25,25
Rate,25,25
ErrorCode,25,25
clicks,25,25
Priority,25,25
run_date,25,25
PendingClosureStatusID,25,25
TableName,25,25
FileDate,25,25
AmountUSD,25,25
RegisteredReal,24,24
file_path,24,24
BaseExchangeRate,24,24
verification_level_id,24,24
currency,24,24
first_deposit_date,24,24
PartitionCol,24,24
Label,24,24
Trade_Date,24,24
IsOpenOpen,24,24
VolumeOnClose,24,24
CommunicationLanguage,24,24
event_id,24,24
Clients_Units,24,24
StartTime,24,24
Equity,24,24
CaseNumber,24,24
PnL_client_1,24,24
Action,24,24
alert_root_cause,23,23
EVAL_friend_cid,23,23
EVAL_friend_registered,23,23
EvMatchStatus,23,23
EVAL_friend_FTD_amount,23,23
event_time,23,23
portfolio,23,23
Ext_Identifier,23,23
EVAL_user_FTD,23,23
friend_v2_v1_diff,23,23
occurred,23,23
investigator_name,23,23
CaseID,23,23
AllowedOpenOrderType,23,23
InitialMarginInAssetCurrency,23,23
FUTURE_friend_new_positions_after_decision,23,23
investigation_jiralink,23,23
alert_type,23,23
EVAL_user_FTD_amount,23,23
FUTURE_user_new_positions_after_decision,23,23
date_of_alert_root_cause,23,23
TradeUnitType,23,23
user_FTD_amount_clipped,23,23
UnitsQuantityType,23,23
EVAL_user_registered,23,23
decision_time,23,23
EventTimestamp,23,23
friend_FTD_amount_clipped,23,23
DltID,23,23
Ticker,23,23
case_details,23,23
Buy/Sell,23,23
idBbCompany,23,23
AmountFormula,23,23
user_v2_v1_diff,23,23
Mid,23,23
OccurredAt,22,22
EVAL_user_cid,22,22
player_status_reason,22,22
amount_usd,22,22
PlayerStatusReason,22,22
RiskClassificationID,22,22
RiskStatusID,22,22
CryptoId,22,22
player_sub_reason,22,22
HC,22,22
registered_real,22,22
TableConversionRateUsed,22,22
PriceFeedRateFound,22,22
block_date,22,22
player_status_sub_reason_id,22,22
EVAL_friend_FTD,22,22
Source,22,22
DepotID,22,22
is_copy,22,22
synopsis,22,22
Comments,22,22
Desk,22,22
is_settled,22,22
UrbanDeviceId,22,22
DesignatedRegulation,22,22
NOPHedged,22,22
WithdrawID,22,22
IsGuaranteedSL,22,22
RequestTime,22,22
crypto_name,22,22
seychelles_categorization_id,22,22
mifid_categorization,22,22
timestamp,22,22
DeviceType,22,22
open_date_id,22,22
ProviderName,22,22
Report_time_history,22,22
ad_group_id,22,22
instrumentid,22,22
RedeemStatus,22,22
account_mgr,22,22
tran_id,22,22
player_status_reason_id,22,22
seychelles_categorization,22,22
deposit_date,22,22
updated_club,22,22
FullCommissionByUnits,22,22
CommissionByUnits,22,22
Outcome,21,21
UpdateDateDL,21,21
LastPosOpenDate,21,21
LastDepositDate,21,21
IsComputeForHedge,21,21
