pipeline_name,uc_table
DWH_Daily_Process_-_Entry_Point,dwh_daily_process.migration_tables.dim_customer
DWH_Daily_Process_-_Entry_Point,dwh_daily_process.migration_tables.dim_historysplitratio
DWH_Daily_Process_-_Entry_Point,dwh_daily_process.migration_tables.dim_mirror
DWH_Daily_Process_-_Entry_Point,dwh_daily_process.migration_tables.fact_cashout_state
DWH_Daily_Process_-_Entry_Point,dwh_daily_process.migration_tables.fact_currencypricewithsplit
DWH_Daily_Process_-_Entry_Point,dwh_daily_process.migration_tables.fact_deposit_state

