normalized_concept,hub_count,claiming_hubs,variant_count,variants,file_count,source_fields
main bi_db gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_customer_daily_status,2,domain-customer-and-identity; domain-payments,1,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_customer_daily_status,3,required_tables
main bi_db gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_customer_periodic_status,2,domain-customer-and-identity; domain-payments,1,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_customer_periodic_status,3,required_tables
main bi_db gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_mimo_allplatforms,2,domain-cross; domain-payments,1,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_mimo_allplatforms,4,required_tables
main bi_db gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_pnl,2,domain-payments; domain-trading,1,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_pnl,4,required_tables
main bi_db gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_trading_volumes_and_amounts,2,domain-payments; domain-trading,1,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_trading_volumes_and_amounts,4,required_tables
main bi_db gold_sql_dp_prod_we_bi_db_dbo_bi_db_first5actions,2,domain-cross; domain-customer-and-identity,1,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_first5actions,2,required_tables
main bi_db gold_sql_dp_prod_we_dealing_dbo_dealing_staking_results,2,domain-revenue-and-fees; domain-staking,1,main.bi_db.gold_sql_dp_prod_we_dealing_dbo_dealing_staking_results,6,required_tables
main bi_db gold_sql_dp_prod_we_emoney_dbo_emoney_dim_account,2,domain-cross; domain-payments,1,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_dim_account,4,required_tables
main bi_db gold_sql_dp_prod_we_emoney_dbo_emoney_dim_transaction,2,domain-cross; domain-payments,1,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_dim_transaction,4,required_tables
main bi_db gold_sql_dp_prod_we_exw_dbo_exw_facttransactions,2,domain-exw-wallet; domain-payments,1,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_facttransactions,3,required_tables
main bi_db gold_sql_dp_prod_we_exw_dbo_exw_walletinventory,2,domain-exw-wallet; domain-payments,1,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_walletinventory,4,required_tables
main bi_output bi_output_moneyfarm_customers,2,domain-moneyfarm; domain-revenue-and-fees,1,main.bi_output.bi_output_moneyfarm_customers,6,required_tables
main bi_output bi_output_moneyfarm_fact_portfolio_snapshot,2,domain-moneyfarm; domain-revenue-and-fees,1,main.bi_output.bi_output_moneyfarm_fact_portfolio_snapshot,6,required_tables
main bi_output bi_output_moneyfarm_fact_transactions,2,domain-moneyfarm; domain-revenue-and-fees,1,main.bi_output.bi_output_moneyfarm_fact_transactions,6,required_tables
main compliance bronze_userapidb_history_customeranswers,2,domain-compliance-and-aml; domain-customer-and-identity,1,main.compliance.bronze_userapidb_history_customeranswers,2,required_tables
main dealing gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,2,domain-revenue-and-fees; domain-trading,1,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,2,required_tables
main dealing gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_tradeactivity,2,domain-revenue-and-fees; domain-trading,1,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_tradeactivity,2,required_tables
