normalized_concept,hub_count,claiming_hubs,variant_count,variants,file_count,source_fields
daily-sends time-series for the past 30 days from silver_sfmc_sent,1,domain-marketing-and-acquisition,1,Daily-sends time-series for the past 30 days from silver_sfmc_sent,1,sample_questions
daily_portfolio_balances,1,domain-moneyfarm,1,daily_portfolio_balances,1,triggers
dailypool_startdate,1,domain-staking,1,DailyPool_StartDate,2,triggers
dailystatus_scd,1,domain-customer-and-identity,1,dailystatus_scd,1,triggers
dailytotalstakingpool,1,domain-staking,1,DailyTotalStakingPool,1,triggers
dashboard query,1,domain-spaceship,1,dashboard query,1,triggers
data freshness,1,cross-cutting,1,data freshness,2,triggers
data lag,1,cross-cutting,1,data lag,1,triggers
data latency,1,cross-cutting,1,data latency,2,triggers
data not yet available,1,cross-cutting,1,data not yet available,1,triggers
dataset 01338105,1,domain-spaceship,1,dataset 01338105,1,triggers
dataset 31cb2609,1,domain-spaceship,1,dataset 31cb2609,1,triggers
dataset 3b55071e,1,domain-spaceship,1,dataset 3b55071e,1,triggers
dataset 5ce11b5a,1,domain-spaceship,1,dataset 5ce11b5a,1,triggers
dataset b45ed899,1,domain-spaceship,1,dataset b45ed899,1,triggers
dataset b9e3c92e,1,domain-spaceship,1,dataset b9e3c92e,1,triggers
datazoo,1,domain-ops-and-onboarding,1,DataZoo,2,triggers
date_source_type,1,domain-moneyfarm,1,Date_Source_Type,1,triggers
date_source_type 3 rung,1,domain-moneyfarm,1,Date_Source_Type 3 rung,1,triggers
date_trunc week 6 days,1,domain-spaceship,1,DATE_TRUNC week + 6 days,1,triggers
daterangeid,1,domain-customer-and-identity,1,DateRangeID,1,triggers
datetime_firsttimedeposit,1,domain-ops-and-onboarding,1,DateTime_FirstTimeDeposit,1,triggers
datetime_verificationlevel0,1,domain-ops-and-onboarding,1,DateTime_VerificationLevel0,1,triggers
datetime_verificationlevel1,1,domain-ops-and-onboarding,1,DateTime_VerificationLevel1,1,triggers
datetime_verificationlevel2,1,domain-ops-and-onboarding,1,DateTime_VerificationLevel2,1,triggers
datetime_verificationlevel3,1,domain-ops-and-onboarding,1,DateTime_VerificationLevel3,1,triggers
dayofweek 1,1,domain-spaceship,1,DAYOFWEEK = 1,2,triggers
dayofweek mon fri,1,domain-spaceship,1,DAYOFWEEK Mon Fri,1,triggers
days_to_rejection,1,domain-ops-and-onboarding,1,days_to_rejection,2,triggers
daysfromftd,1,domain-customer-and-identity,1,DaysFromFTD,2,triggers
daystillftc,1,domain-customer-and-identity,1,DaysTillFTC,1,triggers
daystocheckminpositionsamountfromregistration,1,domain-marketing-and-acquisition,1,DaysToCheckMinPositionsAmountFromRegistration,2,triggers
daystoreplyemail,1,domain-customer-and-identity,1,DaysToReplyEmail,1,triggers
daystowaitfromftd,1,domain-marketing-and-acquisition,1,DaysToWaitFromFTD,2,triggers
dc alert,1,domain-compliance-and-aml,1,DC alert,1,triggers
dc1,1,domain-compliance-and-aml,1,DC1,2,triggers
dc10,1,domain-compliance-and-aml,1,DC10,1,triggers
dc11,1,domain-compliance-and-aml,1,DC11,1,triggers
dc2,1,domain-compliance-and-aml,1,DC2,1,triggers
dc21,1,domain-compliance-and-aml,1,DC21,1,triggers
dc3,1,domain-compliance-and-aml,1,DC3,1,triggers
dc4,1,domain-compliance-and-aml,1,DC4,1,triggers
dc5,1,domain-compliance-and-aml,1,DC5,1,triggers
dc6,1,domain-compliance-and-aml,1,DC6,1,triggers
dc7,1,domain-compliance-and-aml,1,DC7,1,triggers
dc8,1,domain-compliance-and-aml,1,DC8,1,triggers
dc9,1,domain-compliance-and-aml,1,DC9,1,triggers
ddr,1,domain-payments,1,DDR,2,triggers
ddr compliance,1,domain-customer-and-identity,1,DDR compliance,1,triggers
ddr snapshot,1,domain-customer-and-identity,1,DDR snapshot,1,triggers
ddr volumes,1,domain-trading,1,DDR volumes,1,triggers
ddr_aum_v,1,domain-customer-and-identity,1,ddr_aum_v,1,triggers
ddr_customer_current_flags,1,domain-customer-and-identity,1,ddr_customer_current_flags,1,triggers
ddr_fact_mimo_allplatforms,1,domain-payments,1,DDR_Fact_MIMO_AllPlatforms,1,triggers
ddr_fact_mimo_emoney_platform,1,domain-payments,1,DDR_Fact_MIMO_eMoney_Platform,1,triggers
ddr_fact_mimo_options_platform,1,domain-payments,1,DDR_Fact_MIMO_Options_Platform,1,triggers
ddr_fact_mimo_tp_platform,1,domain-payments,1,DDR_Fact_MIMO_TP_Platform,1,triggers
ddr_mimo_v,1,domain-customer-and-identity,1,ddr_mimo_v,1,triggers
ddr_revenue_v,1,domain-customer-and-identity,1,ddr_revenue_v,1,triggers
de_output_etoro_kpi_fact_customeraction_w_metrics,1,domain-customer-and-identity,1,de_output_etoro_kpi_fact_customeraction_w_metrics,1,triggers
de_output_monitoring_genies_views_raf_genie_views_checks,1,domain-marketing-and-acquisition,1,de_output_monitoring_genies_views_raf_genie_views_checks,1,triggers
de_output_onboarding_ev_cohort_enriched,1,domain-ops-and-onboarding,1,de_output_onboarding_ev_cohort_enriched,2,triggers
de_output_risk_classification,1,domain-compliance-and-aml,1,de_output_risk_classification,2,triggers
de_output_risk_classification_cysec,1,domain-compliance-and-aml,1,de_output_risk_classification_cysec,1,triggers
de_output_risk_classification_history,1,domain-compliance-and-aml,1,de_output_risk_classification_history,1,triggers
dealing bestexecution,1,domain-trading,1,dealing bestexecution,1,triggers
dealing desk operator,1,domain-trading,1,dealing desk operator,1,triggers
dealing hc,1,domain-trading,1,dealing HC,2,triggers
dealing investigation,1,domain-trading,1,dealing investigation,2,triggers
dealing investigation tool,1,domain-trading,1,dealing investigation tool,1,triggers
dealing investigation tool genie,1,domain-trading,1,Dealing Investigation Tool Genie,1,triggers
dealing staking,1,domain-revenue-and-fees,1,dealing staking,1,triggers
dealing_staking_club,1,domain-staking,1,Dealing_Staking_Club,2,triggers
dealing_staking_compensation,1,domain-staking,1,Dealing_Staking_Compensation,2,triggers
dealing_staking_dailypool,1,domain-staking,2,Dealing_Staking_DailyPool; dealing_staking_dailypool,2,triggers
dealing_staking_emails_new,1,domain-staking,1,Dealing_Staking_Emails_New,2,triggers
dealing_staking_optedout,1,domain-staking,2,Dealing_Staking_OptedOut; dealing_staking_optedout,2,triggers
dealing_staking_optedout_percid,1,domain-staking,1,Dealing_Staking_OptedOut_PerCID,2,triggers
dealing_staking_parameters,1,domain-staking,2,Dealing_Staking_Parameters; dealing_staking_parameters,2,triggers
dealing_staking_position,1,domain-staking,1,Dealing_Staking_Position,2,triggers
dealing_staking_results,1,domain-staking,2,Dealing_Staking_Results; dealing_staking_results,2,triggers
dealing_staking_summary,1,domain-staking,2,Dealing_Staking_Summary; dealing_staking_summary,2,triggers
dealingduco,1,domain-trading,1,DealingDuco,1,triggers
debit card,1,domain-payments,1,debit card,1,triggers
decision tree hc,1,domain-trading,1,decision tree HC,1,triggers
declaredincomeandassetsalert,1,domain-compliance-and-aml,1,DeclaredIncomeANDAssetsAlert,1,triggers
decline,1,domain-payments,1,decline,1,triggers
declinebyrre,1,domain-cross,1,DeclineByRRE,1,triggers
dedup row_number processdate,1,domain-options,1,dedup ROW_NUMBER ProcessDate,1,triggers
dedupe shadow,1,domain-staking,1,dedupe shadow,1,triggers
deep link,1,domain-marketing-and-acquisition,1,deep link,1,triggers
deep-link,1,domain-marketing-and-acquisition,1,deep-link,1,triggers
deferred deep link,1,domain-marketing-and-acquisition,1,deferred deep link,1,triggers
deferred deeplink,1,domain-marketing-and-acquisition,1,deferred deeplink,1,triggers
definition_date,1,domain-ops-and-onboarding,1,definition_date,1,triggers
definition_sla_bucket,1,domain-ops-and-onboarding,1,definition_sla_bucket,2,triggers
delete compensation,1,domain-staking,1,DELETE Compensation,1,triggers
delivered,1,domain-marketing-and-acquisition,1,Delivered,1,triggers
delta airdrop,1,domain-staking,1,delta airdrop,2,triggers
delta diffusion,1,domain-trading,1,delta diffusion,1,triggers
delta_perc,1,domain-product-analytics,1,delta_perc,1,triggers
democid,1,domain-customer-and-identity,1,DemoCID,1,triggers
deposit,1,domain-payments,1,deposit,2,triggers
deposit fee,1,domain-revenue-and-fees,1,deposit fee,1,triggers
deposit funnel,1,domain-cross,1,deposit funnel,1,triggers
deposit mimo experiment,1,domain-product-analytics,1,Deposit/MIMO experiment,1,triggers
deposit to trade,1,domain-cross,1,deposit to trade,1,triggers
deposit-driven volume,1,domain-cross,1,deposit-driven volume,1,triggers
deposit-to-trade lag distribution 1d 7d 30d bands,1,domain-cross,1,Deposit-to-trade lag distribution (1d / 7d / 30d bands),1,sample_questions
deposit_unique_for_ftdjoin,1,domain-options,1,DEPOSIT_UNIQUE_FOR_FTDJOIN,1,triggers
depositattempt,1,domain-ops-and-onboarding,1,DepositAttempt,1,triggers
depositcustomername,1,domain-ops-and-onboarding,1,DepositCustomerName,1,triggers
depositid,1,domain-payments,1,DepositID,1,triggers
depositnameconflict,1,domain-ops-and-onboarding,1,DepositNameConflict,1,triggers
depositwithdrawfee,1,domain-revenue-and-fees,1,depositwithdrawfee,1,triggers
depositwithdrawfee_reversals,1,domain-revenue-and-fees,1,depositwithdrawfee_reversals,1,triggers
depot,1,domain-revenue-and-fees,1,Depot,1,triggers
deprecated interest,1,domain-revenue-and-fees,1,deprecated interest,1,triggers
designated market area,1,domain-marketing-and-acquisition,1,Designated Market Area,1,triggers
designatedregulation,1,domain-ops-and-onboarding,1,DesignatedRegulation,2,triggers
designatedregulationid,1,domain-ops-and-onboarding,1,DesignatedRegulationID,2,triggers
desktoplogoutscreen,1,domain-marketing-and-acquisition,1,DesktopLogoutScreen,1,triggers
detach position from mirror,1,domain-customer-and-identity,1,Detach position from mirror,1,triggers
detachedpositionclose,1,domain-trading,1,DetachedPositionClose,1,triggers
dev customer support case analytics genie,1,domain-customer-and-identity,1,DEV Customer Support Case Analytics Genie,1,triggers
device cohort,1,domain-marketing-and-acquisition,1,device cohort,1,triggers
device id,1,domain-marketing-and-acquisition,1,device id,1,triggers
device identifier,1,domain-marketing-and-acquisition,1,device identifier,1,triggers
diamond,1,domain-staking,1,Diamond,2,triggers
diffusion analysis,1,domain-trading,1,diffusion analysis,1,triggers
digital wealth management,1,domain-moneyfarm,1,digital wealth management,1,triggers
dim_actiontype,1,domain-customer-and-identity,2,Dim_ActionType; dim_actiontype,1,triggers
dim_affiliate,1,domain-marketing-and-acquisition,1,dim_affiliate,2,triggers
dim_affiliate_masked,1,domain-marketing-and-acquisition,1,dim_affiliate_masked,2,triggers
dim_country,1,domain-customer-and-identity,1,Dim_Country,1,triggers
dim_customer,1,domain-customer-and-identity,1,Dim_Customer,2,triggers
dim_customer_masked,1,domain-customer-and-identity,1,dim_customer_masked,1,triggers
dim_customer_masked options,1,domain-options,1,dim_customer_masked options,1,triggers
dim_instrument,1,domain-trading,2,Dim_Instrument; dim_instrument,2,triggers
dim_mirror,1,domain-trading,1,Dim_Mirror,1,triggers
dim_position,1,domain-trading,1,Dim_Position,2,triggers
dim_regulation,1,domain-customer-and-identity,1,Dim_Regulation,1,triggers
dim_revenue_metrics,1,domain-revenue-and-fees,1,Dim_Revenue_Metrics,2,triggers
dipperads_int,1,domain-marketing-and-acquisition,1,dipperads_int,1,triggers
direct market access,1,domain-trading,1,Direct Market Access,1,triggers
disambiguation,1,cross-cutting,1,disambiguation,2,triggers
disambiguation contract,1,cross-cutting,1,disambiguation contract,2,triggers
discover experiment,1,domain-product-analytics,1,Discover experiment,1,triggers
dispute,1,domain-cross,1,dispute,1,triggers
dispute case,1,domain-cross,1,dispute case,1,triggers
dispute investigation,1,domain-cross,1,dispute investigation,1,triggers
distinct providers tried by country,1,domain-ops-and-onboarding,1,Distinct providers tried by country,1,sample_questions
distinct_id,1,domain-product-analytics,1,distinct_id,2,triggers
distribution of customers across crypto equities leveraged diversified clusters,1,domain-customer-and-identity,1,Distribution of customers across Crypto / Equities / Leveraged / Diversified clusters,1,sample_questions
distribution_startdate,1,domain-staking,1,Distribution_StartDate,2,triggers
diversified traders,1,domain-customer-and-identity,1,Diversified Traders,1,triggers
dividend,1,domain-revenue-and-fees,2,Dividend; dividend,2,triggers
dividend fee,1,domain-customer-and-identity,1,dividend fee,1,triggers
dividend pass-through,1,domain-revenue-and-fees,1,dividend pass-through,1,triggers
dividendcheckrequired,1,domain-ops-and-onboarding,1,DividendCheckRequired,1,triggers
dividendreport,1,domain-options,1,DividendReport,1,triggers
dividends,1,domain-revenue-and-fees,1,Dividends,1,triggers
dlt,1,domain-trading,1,DLT,1,triggers
dltclose,1,domain-customer-and-identity,1,DLTClose,1,triggers
dltid,1,domain-customer-and-identity,1,DltID,1,triggers
dltopen,1,domain-customer-and-identity,1,DLTOpen,1,triggers
dma,1,domain-marketing-and-acquisition,1,DMA,1,triggers
dnb report,1,domain-compliance-and-aml,1,DNB report,1,triggers
dnb report which customers are on the do-no-business list right now,1,domain-compliance-and-aml,1,DNB report — which customers are on the Do-No-Business list right now?,1,sample_questions
do moneyfarm fees flow into uc,1,domain-moneyfarm,1,Do MoneyFarm fees flow into UC?,1,sample_questions
do no business,1,domain-compliance-and-aml,1,Do No Business,1,triggers
do not abs super aud_amount,1,domain-spaceship,1,do not ABS Super aud_amount,1,triggers
docs_investigation_alert_history,1,domain-ops-and-onboarding,1,docs_investigation_alert_history,2,triggers
documentanalysis,1,domain-ops-and-onboarding,1,documentanalysis,2,triggers
documentclassification,1,domain-ops-and-onboarding,1,DocumentClassification,2,triggers
documentid,1,domain-ops-and-onboarding,1,DocumentID,2,triggers
documentsizeactiontypeid,1,domain-ops-and-onboarding,1,DocumentSizeActionTypeID,2,triggers
documenttype,1,domain-ops-and-onboarding,1,DocumentType,1,triggers
dollar floor,1,domain-staking,1,dollar floor,1,triggers
dollarratio,1,domain-trading,1,DollarRatio,1,triggers
dormant fee,1,domain-revenue-and-fees,1,dormant fee,2,triggers
dormant funded clients still classified high_risk allfundeddormantclients 1 and is_high_risk 1,1,domain-compliance-and-aml,1,Dormant funded clients still classified High_Risk (AllFundedDormantClients = 1 AND Is_High_Risk = 1),1,sample_questions
dormantfee,1,domain-revenue-and-fees,1,DormantFee,1,triggers
dot,1,domain-staking,1,DOT,2,triggers
dual_instrument_price_leak,1,domain-trading,1,DUAL_INSTRUMENT_PRICE_LEAK,1,triggers
duco,1,domain-trading,1,Duco,2,triggers
duco_activityrecon,1,domain-trading,1,Duco_ActivityRecon,1,triggers
duco_eodrecon,1,domain-trading,1,Duco_EODRecon,1,triggers
duplicate aum,1,domain-spaceship,1,duplicate AUM,1,triggers
duplicate detection,1,domain-customer-and-identity,1,duplicate detection,1,triggers
dv360,1,domain-marketing-and-acquisition,1,dv360,1,triggers
dynamic 15-70,1,domain-staking,1,dynamic 15-70,1,triggers
dynamic intro days,1,domain-staking,1,dynamic intro days,1,triggers
dynamic_risk_classification,1,domain-compliance-and-aml,1,Dynamic_Risk_Classification,2,triggers
early alerting,1,domain-product-analytics,1,early alerting,2,triggers
early_alerting_metric,1,domain-product-analytics,1,early_alerting_metric,2,triggers
early_alerting_mp_event_name,1,domain-product-analytics,1,early_alerting_mp_event_name,2,triggers
early_alerting_yeast_bound,1,domain-product-analytics,1,early_alerting_yeast_bound,2,triggers
early_alerting_yeast_latest_check_max_value,1,domain-product-analytics,1,early_alerting_yeast_latest_check_max_value,1,triggers
earth origin explorer galaxy,1,domain-spaceship,1,EARTH ORIGIN EXPLORER GALAXY,1,triggers
edge_int,1,domain-marketing-and-acquisition,1,edge_int,1,triggers
edit stoploss,1,domain-customer-and-identity,1,Edit StopLoss,1,triggers
edocs_poa_poi_base,1,domain-ops-and-onboarding,1,edocs_poa_poi_base,2,triggers
edocs_poa_poi_checks_classified,1,domain-ops-and-onboarding,1,edocs_poa_poi_checks_classified,2,triggers
effective date,1,cross-cutting,1,effective date,2,triggers
effective_closedate,1,domain-staking,1,Effective_CloseDate,2,triggers
effective_opendate,1,domain-staking,1,Effective_OpenDate,2,triggers
electronic verification,1,domain-ops-and-onboarding,1,electronic verification,1,triggers
electronic_verification_cohort,1,domain-ops-and-onboarding,1,electronic_verification_cohort,2,triggers
electronicverification_matchstatus,1,domain-ops-and-onboarding,1,ElectronicVerification_MatchStatus,1,triggers
electronicverification_matchstatusdatetime,1,domain-ops-and-onboarding,1,ElectronicVerification_MatchStatusDateTime,1,triggers
electronicverification_matchstatusid,1,domain-ops-and-onboarding,1,ElectronicVerification_MatchStatusID,1,triggers
eligibility,1,domain-staking,1,eligibility,1,triggers
eligibility status dictionary,1,domain-options,1,eligibility status dictionary,1,triggers
eligibilityrules,1,domain-cross,1,eligibilityrules,1,triggers
eligibilitytypeid,1,domain-marketing-and-acquisition,1,EligibilityTypeID,1,triggers
eligible,1,domain-staking,1,eligible,1,triggers
eligible_staking_days,1,domain-staking,1,Eligible_Staking_Days,2,triggers
email engagement open click for customer x in the last 90 days,1,domain-customer-and-identity,1,Email engagement (open/click) for customer X in the last 90 days,1,sample_questions
emailname,1,domain-marketing-and-acquisition,1,EmailName,2,triggers
emailverification,1,domain-ops-and-onboarding,1,EmailVerification,1,triggers
emoney,1,domain-payments,1,eMoney,2,triggers
emoney audit,1,domain-cross,1,eMoney audit,1,triggers
emoney fmi fmo first-card first-iban per cid,1,domain-payments,1,eMoney FMI / FMO / first-card / first-IBAN per CID,1,sample_questions
emoney ftd,1,domain-payments,1,eMoney FTD,2,triggers
emoney genie,1,domain-customer-and-identity,1,eMoney Genie,1,triggers
emoney iban balance per gcid on date d,1,domain-payments,1,eMoney IBAN balance per GCID on date D,1,sample_questions
emoney_card_instance_summary,1,domain-payments,1,eMoney_Card_Instance_Summary,1,triggers
emoney_clientrisk,1,domain-compliance-and-aml,1,eMoney_ClientRisk,2,triggers
emoney_dim_account,1,domain-payments,1,eMoney_Dim_Account,1,triggers
emoney_dim_transaction,1,domain-payments,1,eMoney_Dim_Transaction,1,triggers
emoney_fact_transaction_status,1,domain-payments,1,eMoney_Fact_Transaction_Status,1,triggers
emoney_high_risk_and_no_poa,1,domain-compliance-and-aml,1,eMoney_High_Risk_AND_No_POA,1,triggers
emoney_high_risk_and_no_poi,1,domain-compliance-and-aml,1,eMoney_High_Risk_AND_No_POI,1,triggers
emoney_panel_firstdates,1,domain-payments,1,eMoney_Panel_FirstDates,1,triggers
emoney_panel_retention_monthly,1,domain-payments,1,eMoney_Panel_Retention_Monthly,1,triggers
emoney_reports_acquisitionfunnel,1,domain-payments,1,eMoney_Reports_AcquisitionFunnel,1,triggers
emoney_reports_clubupgrade,1,domain-payments,1,eMoney_Reports_ClubUpgrade,1,triggers
emoneyclientbalance,1,domain-payments,1,eMoneyClientBalance,1,triggers
emoneystatus,1,domain-ops-and-onboarding,1,eMoneyStatus,1,triggers
employeeaccount,1,domain-customer-and-identity,1,EmployeeAccount,1,triggers
ems,1,domain-trading,1,EMS,1,triggers
ems order,1,domain-trading,1,EMS order,1,triggers
emsorderid,1,domain-trading,1,EMSOrderID,2,triggers
emsorders,1,domain-trading,1,EMSOrders,1,triggers
enableuninstalltracking,1,domain-marketing-and-acquisition,1,enableUninstallTracking,1,triggers
end of day price,1,domain-trading,1,end of day price,1,triggers
end of the week fee,1,domain-customer-and-identity,1,End Of The Week Fee,1,triggers
end of week fee,1,domain-customer-and-identity,1,End of Week Fee,1,triggers
end-to-end c2f drill for customer x in a window,1,domain-cross,1,End-to-end C2F drill for customer X in a window,1,sample_questions
enddate,1,domain-compliance-and-aml,1,EndDate,1,triggers
ens,1,domain-trading,1,ENS,1,triggers
entity_owner,1,domain-product-analytics,1,Entity_Owner,1,triggers
eod balance reconciliation per account,1,domain-cross,1,EOD balance reconciliation per account,1,sample_questions
eod recon,1,domain-trading,1,EOD recon,1,triggers
equilendid,1,domain-customer-and-identity,1,EquiLendID,1,triggers
equities crypto,1,domain-customer-and-identity,1,Equities Crypto,1,triggers
equities investors,1,domain-customer-and-identity,1,Equities Investors,1,triggers
equities traders,1,domain-customer-and-identity,1,Equities Traders,1,triggers
equity,1,domain-trading,1,equity,1,triggers
equity pfof aggregate clearingaccount 3et00001,1,domain-options,1,Equity PFOF aggregate ClearingAccount 3ET00001,1,triggers
equitycopy,1,domain-trading,1,EquityCopy,1,triggers
equityglobal,1,domain-aum-and-aua,1,EquityGlobal,1,triggers
equityscore,1,domain-customer-and-identity,1,EquityScore,1,triggers
equitytier,1,domain-customer-and-identity,1,EquityTier,1,triggers
erc-20,1,domain-payments,1,ERC-20,1,triggers
erm,1,domain-trading,1,ERM,1,triggers
etf,1,domain-trading,1,ETF,1,triggers
eth,1,domain-trading,1,ETH,2,triggers
eth 60 days,1,domain-staking,1,ETH 60 days,1,triggers
eth fee,1,domain-payments,1,ETH fee,1,triggers
eth gas fee,1,domain-exw-wallet,1,ETH gas fee,1,triggers
eth opt-in,1,domain-staking,1,ETH opt-in,2,triggers
eth opt-out,1,domain-staking,1,ETH opt-out,2,triggers
etha,1,domain-trading,1,ETHA,1,triggers
ethereum,1,domain-trading,1,Ethereum,1,triggers
ethereum etf,1,domain-trading,1,Ethereum ETF,1,triggers
etheur,1,domain-staking,1,ETHEUR,3,triggers
etl_accountsactivities,1,domain-cross,1,ETL_AccountsActivities,1,triggers
etm,1,domain-payments,1,ETM,1,triggers
etorian,1,domain-staking,1,Etorian,1,triggers
etorians,1,cross-cutting,1,etorians,2,triggers
etoro club,1,domain-customer-and-identity,1,eToro Club,1,triggers
etoro ddr genie,1,domain-customer-and-identity,1,eToro DDR Genie,1,triggers
etoro money,1,domain-payments,1,eToro Money,1,triggers
etoro options,1,domain-options,1,eToro options,1,triggers
etoro wallet,1,domain-exw-wallet,3,eToro Wallet; eToro wallet; etoro wallet,1,triggers
etoro wallet aum,1,domain-aum-and-aua,1,eToro wallet AUM,1,triggers
etoro_amount,1,domain-staking,1,Etoro_Amount,2,triggers
etoro_amount_usd,1,domain-staking,1,Etoro_Amount_USD,2,triggers
etoro_club genie,1,domain-customer-and-identity,1,etoro_club Genie,1,triggers
etoro_club_balances,1,domain-customer-and-identity,1,etoro_club_balances,1,triggers
etoro_history_splitratio,1,domain-trading,1,etoro_History_SplitRatio,1,triggers
etoro_kpi_prep,1,domain-spaceship,1,etoro_kpi_prep,1,triggers
etoro_trade_adminpositionlog,1,domain-staking,1,etoro_Trade_AdminPositionLog,2,triggers
etoro_units,1,domain-trading,1,eToro_Units,1,triggers
etoro_user_id,1,domain-customer-and-identity,1,etoro_user_id,1,triggers
etoroappid,1,domain-marketing-and-acquisition,1,EtoroAppID,1,triggers
etoroappname,1,domain-marketing-and-acquisition,1,EtoroAppName,1,triggers
etorocrypto,1,domain-marketing-and-acquisition,1,eToroCrypto,1,triggers
etororeport,1,domain-marketing-and-acquisition,1,EtoroReport,2,triggers
etorousd,1,domain-staking,1,EtoroUSD,1,triggers
etoroweb,1,domain-marketing-and-acquisition,1,eToroWeb,1,triggers
etoroyield,1,domain-staking,1,EtoroYield,2,triggers
etr_y,1,domain-product-analytics,1,etr_y,1,triggers
etr_ym,1,domain-product-analytics,1,etr_ym,1,triggers
etr_ymd,1,domain-product-analytics,1,etr_ymd,1,triggers
etr_ymd partition,1,domain-product-analytics,1,etr_ymd partition,1,triggers
eur variant,1,domain-staking,1,EUR variant,2,triggers
eurotech,1,domain-trading,1,Eurotech,1,triggers
ev cohort,1,domain-ops-and-onboarding,1,ev cohort,2,triggers
ev match status,1,domain-ops-and-onboarding,1,EV match status,1,triggers
ev provider,1,domain-ops-and-onboarding,1,EV provider,1,triggers
ev_if_positive,1,domain-customer-and-identity,1,ev_if_positive,1,triggers
ev_investigation_alert_history,1,domain-ops-and-onboarding,1,ev_investigation_alert_history,2,triggers
ev_match_status_date,1,domain-ops-and-onboarding,1,ev_match_status_date,1,triggers
ev_match_status_name,1,domain-ops-and-onboarding,1,ev_match_status_name,1,triggers
eventname,1,domain-marketing-and-acquisition,1,EventName,2,triggers
eventname pascalcase,1,domain-product-analytics,1,EventName PascalCase,1,triggers
eventpayloadrowdata,1,domain-product-analytics,1,EventPayloadRowData,2,triggers
eventpayloadrowdata_entity,1,domain-product-analytics,1,EventPayloadRowData_Entity,2,triggers
eventpayloadrowdata_entity_editstatus,1,domain-product-analytics,1,EventPayloadRowData_Entity_EditStatus,1,triggers
eventpayloadrowdata_entity_id,1,domain-product-analytics,1,EventPayloadRowData_Entity_Id,1,triggers
eventpayloadrowdata_entity_isspam,1,domain-product-analytics,1,EventPayloadRowData_Entity_IsSpam,1,triggers
eventpayloadrowdata_entity_message,1,domain-product-analytics,1,EventPayloadRowData_Entity_Message,1,triggers
eventpayloadrowdata_entity_metadata,1,domain-product-analytics,1,EventPayloadRowData_Entity_Metadata,1,triggers
eventpayloadrowdata_entity_metadata_copy,1,domain-product-analytics,1,EventPayloadRowData_Entity_Metadata_Copy,1,triggers
eventpayloadrowdata_entity_metadata_marketevent,1,domain-product-analytics,1,EventPayloadRowData_Entity_Metadata_MarketEvent,1,triggers
eventpayloadrowdata_entity_metadata_order,1,domain-product-analytics,1,EventPayloadRowData_Entity_Metadata_Order,1,triggers
eventpayloadrowdata_entity_metadata_poll,1,domain-product-analytics,1,EventPayloadRowData_Entity_Metadata_Poll,1,triggers
eventpayloadrowdata_entity_metadata_share,1,domain-product-analytics,1,EventPayloadRowData_Entity_Metadata_Share,1,triggers
eventpayloadrowdata_entity_metadata_trade,1,domain-product-analytics,1,EventPayloadRowData_Entity_Metadata_Trade,1,triggers
eventpayloadrowdata_entity_owner,1,domain-product-analytics,1,EventPayloadRowData_Entity_Owner,2,triggers
eventpayloadrowdata_entity_type,1,domain-product-analytics,1,EventPayloadRowData_Entity_Type,1,triggers
eventpayloadrowdata_requester,1,domain-product-analytics,1,EventPayloadRowData_Requester,2,triggers
eventpayloadrowdata_requester_countrycode,1,domain-product-analytics,1,EventPayloadRowData_Requester_CountryCode,1,triggers
eventpayloadrowdata_requester_id,1,domain-product-analytics,1,EventPayloadRowData_Requester_Id,1,triggers
eventpayloadrowdata_requester_pilevel,1,domain-product-analytics,1,EventPayloadRowData_Requester_PiLevel,1,triggers
eventpayloadrowdata_requester_username,1,domain-product-analytics,1,EventPayloadRowData_Requester_Username,1,triggers
eventrevenue,1,domain-marketing-and-acquisition,1,EventRevenue,1,triggers
eventrevenuecurrency,1,domain-marketing-and-acquisition,1,EventRevenueCurrency,1,triggers
eventrevenueusd,1,domain-marketing-and-acquisition,1,EventRevenueUSD,1,triggers
eventsource,1,domain-marketing-and-acquisition,1,EventSource,2,triggers
eventtype,1,domain-marketing-and-acquisition,1,EventType,1,triggers
eventvalue,1,domain-marketing-and-acquisition,1,EventValue,1,triggers
evidence_sources_best_single_vendor,1,domain-ops-and-onboarding,1,evidence_sources_best_single_vendor,1,triggers
evidence_sources_chosen_for_decision,1,domain-ops-and-onboarding,1,evidence_sources_chosen_for_decision,1,triggers
evidence_sources_sum_across_vendors,1,domain-ops-and-onboarding,1,evidence_sources_sum_across_vendors,1,triggers
exausteddate,1,domain-marketing-and-acquisition,1,ExaustedDate,1,triggers
exchange,1,domain-trading,1,Exchange,1,triggers
exchange fee,1,domain-payments,1,exchange fee,1,triggers
exchangefee,1,domain-revenue-and-fees,1,ExchangeFee,1,triggers
exchangefeepercentage,1,domain-revenue-and-fees,1,ExchangeFeePercentage,1,triggers
exchangerate,1,domain-revenue-and-fees,1,ExchangeRate,1,triggers
exclude from meta-analysis,1,domain-product-analytics,1,Exclude from Meta-analysis,1,triggers
exclude list,1,domain-customer-and-identity,1,exclude list,1,triggers
excluded,1,domain-staking,1,excluded,1,triggers
excluded_countries,1,domain-staking,1,Excluded_Countries,2,triggers
excludereason,1,domain-customer-and-identity,1,excludeReason,1,triggers
exclusion,1,domain-staking,1,exclusion,1,triggers
execsumm,1,domain-trading,1,ExecSumm,1,triggers
