flow_id,job_name,job_id,run_id,qa_pass_migration_vs_gold,delta_rows,delta_metric_1,delta_metric_2,delta_metric_3,status_note
dim_mirror,DWH_Daily_Process__SP_Dim_Mirror_AutoPOC,41164888702495,29300014296669,True,0,delta_sum_Amount=0,delta_sum_RealziedPnL=0,delta_sum_RealizedEquity=0,Parity achieved
fact_currencypricewithsplit,DWH_Daily_Process__SP_Fact_CurrencyPriceWithSplit_AutoPOC,47151272781154,827461669375753,True,0,delta_sum_RateLastEx=0,delta_sum_ConvertRateIsBuy_1=0,delta_sum_ConvertRateIsBuy_0=0,Parity achieved after AutoPOC patch
fact_deposit_state,DWH_Daily_Process__SP_Fact_Deposit_State_AutoPOC,238415453771594,305840350062332,True,0,delta_sum_AmountInUSD=0,delta_sum_Amount=0,delta_sum_BaseExchangeRate=0,Parity achieved on common available comparison date
